num_removed,accuracy
0,0.7815
1,0.78
2,0.7815
3,0.781
4,0.7805
5,0.781
6,0.781
7,0.7805
8,0.78
9,0.7785
10,0.778
11,0.776
12,0.777
13,0.778
14,0.777
15,0.777
16,0.777
17,0.7775
18,0.7785
19,0.7775
20,0.7765
21,0.776
22,0.777
23,0.777
24,0.776
25,0.7765
26,0.776
27,0.778
28,0.777
29,0.7765
30,0.7765
31,0.776
32,0.7765
33,0.777
34,0.7795
35,0.779
36,0.7775
37,0.7765
38,0.777
39,0.777
40,0.778
41,0.775
42,0.7745
43,0.7765
44,0.775
45,0.775
46,0.7765
47,0.7745
48,0.7725
49,0.7745
50,0.771
51,0.772
52,0.7715
53,0.771
54,0.7705
55,0.771
56,0.7715
57,0.7715
58,0.773
59,0.772
60,0.772
61,0.771
62,0.771
63,0.7705
64,0.769
65,0.77
66,0.769
67,0.7705
68,0.7705
69,0.769
70,0.7675
71,0.7665
72,0.7655
73,0.7655
74,0.769
75,0.7695
76,0.768
77,0.7655
78,0.766
79,0.7665
80,0.767
81,0.767
82,0.7665
83,0.766
84,0.765
85,0.765
86,0.7645
87,0.7635
88,0.763
89,0.7625
90,0.763
91,0.7605
92,0.7595
93,0.759
94,0.7595
95,0.7595
96,0.7605
97,0.761
98,0.7605
99,0.7615
100,0.762
101,0.762
102,0.7615
103,0.7615
104,0.76
105,0.7605
106,0.7585
107,0.7585
108,0.76
109,0.759
110,0.7595
111,0.76
112,0.761
113,0.761
114,0.761
115,0.758
116,0.76
117,0.7595
118,0.759
119,0.756
120,0.7575
121,0.756
122,0.757
123,0.7555
124,0.755
125,0.756
126,0.756
127,0.7575
128,0.7575
129,0.7585
130,0.754
131,0.755
132,0.7555
133,0.752
134,0.753
135,0.751
136,0.749
137,0.7485
138,0.7505
139,0.749
140,0.7505
141,0.7495
142,0.748
143,0.747
144,0.746
145,0.748
146,0.7465
147,0.7465
148,0.7435
149,0.744
150,0.744
151,0.7435
152,0.7435
153,0.7415
154,0.743
155,0.745
156,0.745
157,0.7465
158,0.7455
159,0.745
160,0.7455
161,0.7455
162,0.744
163,0.744
164,0.744
165,0.7455
166,0.744
167,0.7435
168,0.7425
169,0.7415
170,0.7415
171,0.7405
172,0.7405
173,0.74
174,0.74
175,0.738
176,0.738
177,0.7365
178,0.734
179,0.7345
180,0.7395
181,0.741
182,0.74
183,0.737
184,0.737
185,0.7375
186,0.7375
187,0.7375
188,0.7365
189,0.7365
190,0.7355
191,0.733
192,0.7345
193,0.729
194,0.73
195,0.7305
196,0.7305
197,0.7305
198,0.731
199,0.7285
200,0.727
201,0.7305
202,0.73
203,0.7255
204,0.725
205,0.725
206,0.7275
207,0.726
208,0.728
209,0.726
210,0.728
211,0.724
212,0.722
213,0.721
214,0.7255
215,0.7245
216,0.7215
217,0.7205
218,0.72
219,0.719
220,0.7195
221,0.7185
222,0.7185
223,0.722
224,0.72
225,0.7175
226,0.7165
227,0.7135
228,0.7105
229,0.705
230,0.6995
231,0.698
232,0.6955
233,0.693
234,0.69
235,0.69
236,0.6895
237,0.69
238,0.689
239,0.6885
240,0.689
241,0.689
242,0.6895
243,0.6865
244,0.6865
245,0.6865
246,0.6865
247,0.6895
248,0.69
249,0.689
250,0.6895
251,0.6915
252,0.6905
253,0.691
254,0.6885
255,0.6885
256,0.6895
257,0.69
258,0.6895
259,0.689
260,0.6865
261,0.687
262,0.6855
263,0.6855
264,0.6845
265,0.68
266,0.6795
267,0.6835
268,0.683
269,0.682
270,0.682
271,0.68
272,0.6805
273,0.6805
274,0.6825
275,0.6825
276,0.683
277,0.682
278,0.6795
279,0.679
280,0.675
281,0.6695
282,0.6645
283,0.6605
284,0.643
285,0.6355
286,0.636
287,0.6215
288,0.6035
289,0.5885
290,0.5865
291,0.5865
292,0.5875
293,0.589
294,0.591
295,0.5905
296,0.5875
297,0.589
298,0.5895
299,0.59
300,0.5875
301,0.59
302,0.5895
303,0.5915
304,0.5905
305,0.5925
306,0.592
307,0.5905
308,0.5935
309,0.5915
310,0.58
311,0.5815
312,0.5815
313,0.58
314,0.581
315,0.5805
316,0.58
317,0.58
318,0.5795
319,0.581
320,0.5825
321,0.583
322,0.592
323,0.5925
324,0.5865
325,0.584
326,0.5835
327,0.5785
328,0.577
329,0.5755
330,0.5755
331,0.573
332,0.5705
333,0.5715
334,0.57
335,0.568
336,0.5695
337,0.5685
338,0.567
339,0.5695
340,0.5715
341,0.567
342,0.5645
343,0.566
344,0.564
345,0.5635
346,0.565
347,0.5645
348,0.564
349,0.5575
350,0.552
351,0.5325
352,0.5245
353,0.527
354,0.525
355,0.5245
356,0.5225
357,0.5215
358,0.52
359,0.5145
360,0.513
361,0.5145
362,0.5155
363,0.514
364,0.512
365,0.5205
366,0.5205
367,0.5195
368,0.5175
369,0.5045
370,0.496
371,0.4965
372,0.496
373,0.497
374,0.5005
375,0.501
376,0.5015
377,0.4965
378,0.5005
379,0.4955
380,0.4965
381,0.494
382,0.494
383,0.4955
384,0.4935
385,0.4905
386,0.4935
387,0.491
388,0.493
389,0.491
390,0.4925
391,0.4875
392,0.489
393,0.486
394,0.4855
395,0.481
396,0.4785
397,0.481
398,0.48
399,0.4705
400,0.4585
401,0.451
402,0.4415
403,0.4385
404,0.441
405,0.4335
406,0.441
407,0.429
408,0.4325
409,0.433
410,0.4275
411,0.4275
412,0.431
413,0.427
414,0.432
415,0.4275
416,0.4385
417,0.443
418,0.4415
419,0.4425
420,0.445
421,0.444
422,0.442
423,0.438
424,0.435
425,0.422
426,0.414
427,0.4105
428,0.4125
429,0.4
430,0.3905
431,0.3795
432,0.3815
433,0.3925
434,0.393
435,0.3895
436,0.3865
437,0.389
438,0.378
439,0.3735
440,0.375
441,0.3625
442,0.351
443,0.351
444,0.354
445,0.337
446,0.339
447,0.3415
448,0.3315
449,0.3345
450,0.327
451,0.3225
452,0.304
453,0.284
454,0.281
455,0.277
456,0.27
457,0.2475
458,0.2495
459,0.2485
460,0.244
461,0.243
462,0.245
463,0.234
464,0.21
465,0.2125
466,0.2045
467,0.205
468,0.209
469,0.218
470,0.223
471,0.2165
472,0.211
473,0.1935
474,0.166
475,0.164
476,0.1475
477,0.1525
478,0.1415
479,0.131
480,0.138
481,0.143
482,0.139
483,0.1445
484,0.155
485,0.153
486,0.1355
487,0.133
488,0.143
489,0.1275
490,0.128
491,0.1185
492,0.108
493,0.106
494,0.101
495,0.116
496,0.1275
497,0.1105
498,0.102
499,0.102
