num_removed,accuracy
0,0.7805
1,0.781
2,0.7775
3,0.7765
4,0.778
5,0.7775
6,0.776
7,0.775
8,0.7755
9,0.775
10,0.775
11,0.7745
12,0.7755
13,0.7755
14,0.775
15,0.7745
16,0.775
17,0.7755
18,0.776
19,0.776
20,0.7765
21,0.7765
22,0.775
23,0.7755
24,0.775
25,0.774
26,0.775
27,0.7745
28,0.7755
29,0.7755
30,0.7745
31,0.7735
32,0.7735
33,0.773
34,0.7725
35,0.772
36,0.772
37,0.772
38,0.772
39,0.772
40,0.772
41,0.773
42,0.772
43,0.7705
44,0.7715
45,0.771
46,0.771
47,0.7715
48,0.771
49,0.771
50,0.771
51,0.7705
52,0.771
53,0.77
54,0.768
55,0.769
56,0.7685
57,0.7665
58,0.7665
59,0.767
60,0.766
61,0.7665
62,0.7665
63,0.7665
64,0.766
65,0.765
66,0.7645
67,0.7635
68,0.761
69,0.7615
70,0.7615
71,0.761
72,0.7625
73,0.762
74,0.764
75,0.764
76,0.764
77,0.764
78,0.7645
79,0.7645
80,0.763
81,0.7635
82,0.762
83,0.7635
84,0.763
85,0.7635
86,0.764
87,0.7625
88,0.763
89,0.764
90,0.7655
91,0.767
92,0.767
93,0.764
94,0.764
95,0.7635
96,0.7635
97,0.7615
98,0.7625
99,0.762
100,0.762
101,0.7615
102,0.76
103,0.7605
104,0.7575
105,0.7585
106,0.758
107,0.758
108,0.7575
109,0.7605
110,0.761
111,0.761
112,0.76
113,0.7605
114,0.761
115,0.761
116,0.761
117,0.7605
118,0.762
119,0.7615
120,0.759
121,0.759
122,0.7575
123,0.7585
124,0.7595
125,0.7595
126,0.76
127,0.758
128,0.7595
129,0.758
130,0.758
131,0.757
132,0.756
133,0.756
134,0.754
135,0.7525
136,0.755
137,0.7535
138,0.7515
139,0.751
140,0.751
141,0.75
142,0.749
143,0.75
144,0.7455
145,0.745
146,0.7455
147,0.745
148,0.7455
149,0.744
150,0.746
151,0.7475
152,0.7475
153,0.746
154,0.744
155,0.746
156,0.7465
157,0.7455
158,0.7405
159,0.7395
160,0.7385
161,0.742
162,0.742
163,0.7415
164,0.7385
165,0.7395
166,0.742
167,0.7425
168,0.7445
169,0.745
170,0.7455
171,0.743
172,0.7395
173,0.74
174,0.7365
175,0.735
176,0.734
177,0.7335
178,0.73
179,0.727
180,0.728
181,0.727
182,0.726
183,0.7265
184,0.728
185,0.728
186,0.7255
187,0.7255
188,0.7255
189,0.723
190,0.7235
191,0.7245
192,0.725
193,0.726
194,0.7245
195,0.7235
196,0.7245
197,0.725
198,0.7255
199,0.7245
200,0.722
201,0.7215
202,0.721
203,0.718
204,0.713
205,0.713
206,0.712
207,0.713
208,0.7105
209,0.7105
210,0.7105
211,0.702
212,0.7015
213,0.6985
214,0.7005
215,0.701
216,0.697
217,0.6985
218,0.698
219,0.697
220,0.6965
221,0.696
222,0.6975
223,0.697
224,0.695
225,0.6935
226,0.693
227,0.691
228,0.6925
229,0.693
230,0.6925
231,0.692
232,0.691
233,0.691
234,0.69
235,0.691
236,0.6915
237,0.691
238,0.6895
239,0.6885
240,0.689
241,0.688
242,0.6885
243,0.6855
244,0.6865
245,0.683
246,0.682
247,0.6835
248,0.687
249,0.6835
250,0.683
251,0.683
252,0.68
253,0.6795
254,0.6785
255,0.6805
256,0.6765
257,0.6755
258,0.677
259,0.6765
260,0.6805
261,0.683
262,0.6835
263,0.674
264,0.6665
265,0.667
266,0.6655
267,0.666
268,0.662
269,0.662
270,0.6645
271,0.663
272,0.6635
273,0.662
274,0.662
275,0.6615
276,0.664
277,0.663
278,0.6635
279,0.6675
280,0.668
281,0.667
282,0.668
283,0.6605
284,0.6595
285,0.656
286,0.6475
287,0.647
288,0.6465
289,0.6485
290,0.645
291,0.639
292,0.6365
293,0.6365
294,0.633
295,0.6285
296,0.6285
297,0.628
298,0.6265
299,0.6225
300,0.6205
301,0.6135
302,0.6065
303,0.607
304,0.6015
305,0.594
306,0.598
307,0.593
308,0.592
309,0.5905
310,0.5885
311,0.5855
312,0.5805
313,0.579
314,0.578
315,0.5795
316,0.579
317,0.571
318,0.5725
319,0.5735
320,0.566
321,0.5665
322,0.5615
323,0.5535
324,0.549
325,0.546
326,0.538
327,0.5395
328,0.536
329,0.534
330,0.538
331,0.5325
332,0.5375
333,0.5325
334,0.5295
335,0.5295
336,0.5305
337,0.53
338,0.5325
339,0.5285
340,0.523
341,0.525
342,0.5275
343,0.5185
344,0.5115
345,0.5055
346,0.495
347,0.494
348,0.4895
349,0.488
350,0.4855
351,0.475
352,0.4745
353,0.4575
354,0.459
355,0.4555
356,0.4535
357,0.448
358,0.4455
359,0.4445
360,0.4375
361,0.4355
362,0.4345
363,0.43
364,0.4315
365,0.413
366,0.4125
367,0.4125
368,0.404
369,0.404
370,0.4045
371,0.4045
372,0.408
373,0.404
374,0.3985
375,0.399
376,0.3995
377,0.4055
378,0.386
379,0.385
380,0.3765
381,0.379
382,0.373
383,0.371
384,0.3705
385,0.3655
386,0.356
387,0.3585
388,0.3515
389,0.3415
390,0.3415
391,0.345
392,0.343
393,0.3465
394,0.3435
395,0.3415
396,0.335
397,0.3375
398,0.336
399,0.337
400,0.3335
401,0.32
402,0.3205
403,0.315
404,0.3025
405,0.3005
406,0.2985
407,0.285
408,0.28
409,0.288
410,0.2885
411,0.289
412,0.2955
413,0.294
414,0.291
415,0.282
416,0.28
417,0.2775
418,0.2755
419,0.2745
420,0.277
421,0.281
422,0.27
423,0.2795
424,0.2675
425,0.266
426,0.27
427,0.2775
428,0.274
429,0.2725
430,0.276
431,0.2835
432,0.2745
433,0.273
434,0.2685
435,0.2675
436,0.255
437,0.257
438,0.2555
439,0.2525
440,0.2555
441,0.254
442,0.267
443,0.2695
444,0.276
445,0.273
446,0.251
447,0.2225
448,0.2195
449,0.218
450,0.2125
451,0.206
452,0.202
453,0.184
454,0.1895
455,0.199
456,0.192
457,0.1895
458,0.174
459,0.1675
460,0.165
461,0.1575
462,0.1615
463,0.1565
464,0.153
465,0.148
466,0.1505
467,0.1515
468,0.151
469,0.1495
470,0.1555
471,0.165
472,0.16
473,0.144
474,0.151
475,0.147
476,0.1425
477,0.1355
478,0.1355
479,0.1425
480,0.1355
481,0.129
482,0.108
483,0.1065
484,0.103
485,0.1
486,0.0875
487,0.089
488,0.105
489,0.1075
490,0.092
491,0.0945
492,0.094
493,0.0825
494,0.0635
495,0.0575
496,0.056
497,0.067
498,0.0465
499,0.1125
