num_removed,accuracy
0,0.7805
1,0.779
2,0.774
3,0.7795
4,0.78
5,0.7785
6,0.778
7,0.778
8,0.781
9,0.7795
10,0.7825
11,0.7825
12,0.7795
13,0.778
14,0.7795
15,0.7795
16,0.7775
17,0.7795
18,0.783
19,0.785
20,0.786
21,0.788
22,0.7845
23,0.7835
24,0.784
25,0.786
26,0.7865
27,0.784
28,0.7845
29,0.7825
30,0.783
31,0.784
32,0.7855
33,0.7865
34,0.784
35,0.7795
36,0.7835
37,0.784
38,0.7855
39,0.7825
40,0.7845
41,0.786
42,0.7835
43,0.783
44,0.7845
45,0.786
46,0.788
47,0.787
48,0.7875
49,0.7885
50,0.79
51,0.7925
52,0.7905
53,0.789
54,0.7875
55,0.7885
56,0.7875
57,0.7815
58,0.781
59,0.782
60,0.782
61,0.783
62,0.783
63,0.781
64,0.7825
65,0.781
66,0.781
67,0.781
68,0.781
69,0.7825
70,0.7835
71,0.7835
72,0.7865
73,0.786
74,0.7855
75,0.784
76,0.7855
77,0.7875
78,0.7875
79,0.786
80,0.7855
81,0.784
82,0.7845
83,0.7845
84,0.783
85,0.7815
86,0.782
87,0.782
88,0.7825
89,0.7815
90,0.782
91,0.783
92,0.7825
93,0.782
94,0.782
95,0.7825
96,0.7825
97,0.7825
98,0.7825
99,0.777
100,0.7775
101,0.7795
102,0.7785
103,0.7765
104,0.776
105,0.778
106,0.7765
107,0.776
108,0.7755
109,0.7775
110,0.7785
111,0.7785
112,0.778
113,0.778
114,0.78
115,0.7755
116,0.775
117,0.7745
118,0.7735
119,0.7735
120,0.774
121,0.7745
122,0.773
123,0.774
124,0.7735
125,0.7735
126,0.772
127,0.77
128,0.77
129,0.7695
130,0.769
131,0.7685
132,0.768
133,0.7695
134,0.7685
135,0.7685
136,0.77
137,0.7685
138,0.769
139,0.765
140,0.764
141,0.7625
142,0.762
143,0.761
144,0.764
145,0.7635
146,0.7625
147,0.765
148,0.764
149,0.7645
150,0.764
151,0.7625
152,0.762
153,0.7625
154,0.761
155,0.763
156,0.7635
157,0.763
158,0.7585
159,0.7605
160,0.761
161,0.761
162,0.762
163,0.762
164,0.7615
165,0.7605
166,0.754
167,0.7545
168,0.7545
169,0.7545
170,0.755
171,0.753
172,0.754
173,0.754
174,0.759
175,0.76
176,0.7585
177,0.759
178,0.755
179,0.755
180,0.754
181,0.753
182,0.751
183,0.753
184,0.753
185,0.751
186,0.752
187,0.7515
188,0.7505
189,0.749
190,0.749
191,0.745
192,0.746
193,0.745
194,0.7455
195,0.746
196,0.746
197,0.744
198,0.743
199,0.744
200,0.7455
201,0.7445
202,0.743
203,0.743
204,0.7435
205,0.7445
206,0.743
207,0.7425
208,0.74
209,0.739
210,0.74
211,0.7385
212,0.738
213,0.737
214,0.737
215,0.738
216,0.739
217,0.737
218,0.736
219,0.737
220,0.7355
221,0.7355
222,0.736
223,0.7355
224,0.735
225,0.737
226,0.736
227,0.7375
228,0.7325
229,0.7315
230,0.7295
231,0.7295
232,0.728
233,0.7295
234,0.729
235,0.7285
236,0.7285
237,0.728
238,0.731
239,0.727
240,0.725
241,0.7255
242,0.7245
243,0.725
244,0.7225
245,0.7225
246,0.7195
247,0.7175
248,0.716
249,0.7155
250,0.713
251,0.7135
252,0.7105
253,0.711
254,0.71
255,0.7085
256,0.707
257,0.7085
258,0.706
259,0.7055
260,0.7065
261,0.7055
262,0.706
263,0.7055
264,0.7045
265,0.7
266,0.7005
267,0.701
268,0.699
269,0.698
270,0.6995
271,0.699
272,0.7005
273,0.699
274,0.6965
275,0.6965
276,0.6975
277,0.696
278,0.6945
279,0.6955
280,0.693
281,0.694
282,0.694
283,0.693
284,0.694
285,0.692
286,0.692
287,0.691
288,0.6875
289,0.6855
290,0.685
291,0.6895
292,0.6915
293,0.6915
294,0.689
295,0.6885
296,0.687
297,0.686
298,0.6885
299,0.6895
300,0.689
301,0.687
302,0.6835
303,0.681
304,0.68
305,0.6785
306,0.679
307,0.679
308,0.683
309,0.6825
310,0.684
311,0.683
312,0.684
313,0.683
314,0.6775
315,0.6765
316,0.6745
317,0.6745
318,0.676
319,0.6715
320,0.6715
321,0.6725
322,0.6735
323,0.673
324,0.673
325,0.677
326,0.675
327,0.671
328,0.6715
329,0.6725
330,0.6735
331,0.674
332,0.672
333,0.6725
334,0.672
335,0.6715
336,0.671
337,0.668
338,0.6685
339,0.6705
340,0.6705
341,0.67
342,0.6715
343,0.669
344,0.671
345,0.669
346,0.6675
347,0.6685
348,0.67
349,0.665
350,0.661
351,0.664
352,0.665
353,0.6605
354,0.6625
355,0.66
356,0.659
357,0.6535
358,0.6545
359,0.653
360,0.655
361,0.656
362,0.653
363,0.656
364,0.6585
365,0.6625
366,0.66
367,0.661
368,0.661
369,0.6605
370,0.6585
371,0.658
372,0.659
373,0.662
374,0.6585
375,0.652
376,0.654
377,0.655
378,0.655
379,0.655
380,0.648
381,0.6465
382,0.6485
383,0.647
384,0.6405
385,0.6415
386,0.6395
387,0.6435
388,0.6355
389,0.637
390,0.6385
391,0.6295
392,0.6345
393,0.64
394,0.65
395,0.6475
396,0.6415
397,0.638
398,0.6375
399,0.634
400,0.6345
401,0.6365
402,0.6375
403,0.6445
404,0.6435
405,0.642
406,0.638
407,0.634
408,0.635
409,0.627
410,0.635
411,0.6375
412,0.6355
413,0.629
414,0.62
415,0.615
416,0.62
417,0.617
418,0.611
419,0.602
420,0.6005
421,0.6015
422,0.603
423,0.5985
424,0.594
425,0.591
426,0.5975
427,0.5925
428,0.595
429,0.588
430,0.587
431,0.594
432,0.5935
433,0.5925
434,0.593
435,0.5935
436,0.5845
437,0.586
438,0.581
439,0.582
440,0.5845
441,0.572
442,0.5755
443,0.5705
444,0.5715
445,0.579
446,0.569
447,0.562
448,0.5505
449,0.557
450,0.558
451,0.558
452,0.5515
453,0.536
454,0.5325
455,0.511
456,0.514
457,0.509
458,0.5065
459,0.501
460,0.5045
461,0.498
462,0.471
463,0.476
464,0.464
465,0.4575
466,0.4475
467,0.4605
468,0.4665
469,0.4625
470,0.4425
