num_removed,accuracy
0,0.7805
1,0.777
2,0.7775
3,0.7765
4,0.774
5,0.773
6,0.771
7,0.7715
8,0.7715
9,0.769
10,0.7675
11,0.7665
12,0.7675
13,0.7695
14,0.7695
15,0.769
16,0.7675
17,0.767
18,0.7675
19,0.771
20,0.7685
21,0.7695
22,0.7675
23,0.7655
24,0.7655
25,0.7645
26,0.7635
27,0.7625
28,0.762
29,0.762
30,0.7615
31,0.7595
32,0.758
33,0.757
34,0.7575
35,0.76
36,0.7575
37,0.7565
38,0.7575
39,0.756
40,0.7545
41,0.752
42,0.75
43,0.748
44,0.7495
45,0.7485
46,0.7475
47,0.7455
48,0.7455
49,0.7455
50,0.745
51,0.745
52,0.744
53,0.745
54,0.745
55,0.7445
56,0.7465
57,0.7435
58,0.7425
59,0.7445
60,0.742
61,0.7425
62,0.742
63,0.7405
64,0.742
65,0.7405
66,0.74
67,0.738
68,0.738
69,0.7385
70,0.7375
71,0.737
72,0.7365
73,0.7365
74,0.7385
75,0.738
76,0.738
77,0.7385
78,0.739
79,0.739
80,0.738
81,0.7385
82,0.7395
83,0.74
84,0.7405
85,0.739
86,0.7385
87,0.739
88,0.739
89,0.736
90,0.738
91,0.7375
92,0.737
93,0.737
94,0.737
95,0.736
96,0.736
97,0.7345
98,0.734
99,0.733
100,0.7355
101,0.734
102,0.73
103,0.728
104,0.726
105,0.725
106,0.7255
107,0.726
108,0.7225
109,0.7235
110,0.723
111,0.7235
112,0.724
113,0.722
114,0.7195
115,0.7195
116,0.718
117,0.714
118,0.7145
119,0.714
120,0.714
121,0.713
122,0.711
123,0.713
124,0.712
125,0.713
126,0.71
127,0.71
128,0.7095
129,0.711
130,0.709
131,0.708
132,0.705
133,0.703
134,0.7025
135,0.7015
136,0.7025
137,0.704
138,0.704
139,0.698
140,0.6965
141,0.697
142,0.695
143,0.6965
144,0.6975
145,0.6965
146,0.697
147,0.6945
148,0.695
149,0.6935
150,0.693
151,0.69
152,0.689
153,0.6875
154,0.686
155,0.689
156,0.6875
157,0.6875
158,0.6865
159,0.689
160,0.6885
161,0.6885
162,0.6925
163,0.6935
164,0.692
165,0.688
166,0.689
167,0.687
168,0.687
169,0.6865
170,0.6885
171,0.6885
172,0.6885
173,0.689
174,0.687
175,0.6795
176,0.6805
177,0.6795
178,0.6815
179,0.682
180,0.6815
181,0.681
182,0.681
183,0.681
184,0.6805
185,0.6785
186,0.6755
187,0.675
188,0.6755
189,0.6755
190,0.6745
191,0.6745
192,0.6705
193,0.6695
194,0.6715
195,0.6705
196,0.669
197,0.67
198,0.669
199,0.6685
200,0.667
201,0.6665
202,0.6635
203,0.664
204,0.661
205,0.663
206,0.6605
207,0.6595
208,0.659
209,0.661
210,0.6605
211,0.6585
212,0.657
213,0.6565
214,0.6525
215,0.651
216,0.6505
217,0.652
218,0.651
219,0.6495
220,0.6525
221,0.648
222,0.6485
223,0.6505
224,0.6505
225,0.65
226,0.6475
227,0.648
228,0.6485
229,0.647
230,0.6455
231,0.646
232,0.6425
233,0.6425
234,0.6405
235,0.64
236,0.6355
237,0.6345
238,0.6335
239,0.6345
240,0.633
241,0.629
242,0.628
243,0.629
244,0.631
245,0.63
246,0.6305
247,0.623
248,0.6235
249,0.6235
250,0.623
251,0.6225
252,0.6185
253,0.6225
254,0.6215
255,0.62
256,0.6185
257,0.618
258,0.6185
259,0.616
260,0.6175
261,0.616
262,0.6155
263,0.6165
264,0.6155
265,0.616
266,0.61
267,0.6095
268,0.6115
269,0.6075
270,0.607
271,0.605
272,0.6085
273,0.607
274,0.602
275,0.6015
276,0.6005
277,0.5995
278,0.5985
279,0.5925
280,0.595
281,0.594
282,0.593
283,0.5885
284,0.5905
285,0.5895
286,0.59
287,0.587
288,0.5875
289,0.5875
290,0.589
291,0.589
292,0.587
293,0.587
294,0.586
295,0.5885
296,0.5895
297,0.5875
298,0.5775
299,0.5645
300,0.5655
301,0.564
302,0.5575
303,0.555
304,0.5535
305,0.55
306,0.551
307,0.549
308,0.548
309,0.5455
310,0.5455
311,0.5425
312,0.5315
313,0.5345
314,0.5365
315,0.538
316,0.539
317,0.5375
318,0.537
319,0.541
320,0.537
321,0.536
322,0.532
323,0.532
324,0.53
325,0.514
326,0.5155
327,0.52
328,0.5215
329,0.52
330,0.517
331,0.5145
332,0.5125
333,0.5115
334,0.514
335,0.5085
336,0.5025
337,0.5015
338,0.499
339,0.5
340,0.5
341,0.5015
342,0.5005
343,0.498
344,0.497
345,0.4965
346,0.498
347,0.4905
348,0.493
349,0.484
350,0.4855
351,0.486
352,0.485
353,0.476
354,0.478
355,0.478
356,0.4735
357,0.4705
358,0.468
359,0.468
360,0.4725
361,0.4625
362,0.4595
363,0.4625
364,0.462
365,0.4525
366,0.4435
367,0.4405
368,0.4375
369,0.4295
370,0.43
371,0.4145
372,0.416
373,0.416
374,0.3975
375,0.3915
376,0.395
377,0.3925
378,0.391
379,0.3865
380,0.391
381,0.391
382,0.3915
383,0.3895
384,0.391
385,0.3855
386,0.3845
387,0.3775
388,0.3795
389,0.3775
390,0.3695
391,0.3655
392,0.364
393,0.355
394,0.353
395,0.352
396,0.3455
397,0.3455
398,0.3445
399,0.341
400,0.341
401,0.3465
402,0.3425
403,0.338
404,0.3365
405,0.3215
406,0.3225
407,0.318
408,0.318
409,0.302
410,0.2925
411,0.2975
412,0.2995
413,0.2975
414,0.258
415,0.258
416,0.248
417,0.25
418,0.2495
419,0.2525
420,0.2465
421,0.2475
422,0.244
423,0.2305
424,0.234
425,0.227
426,0.2245
427,0.2255
428,0.219
429,0.2075
430,0.1975
431,0.1965
432,0.198
433,0.1965
434,0.19
435,0.188
436,0.1885
437,0.1795
438,0.183
439,0.1855
440,0.1825
441,0.1825
442,0.1775
443,0.1785
444,0.1785
445,0.1735
446,0.1735
447,0.168
448,0.1665
449,0.166
450,0.1535
451,0.158
452,0.1565
453,0.1525
454,0.1585
455,0.1635
456,0.153
457,0.155
458,0.152
459,0.1525
460,0.156
461,0.151
462,0.1565
463,0.1605
464,0.154
465,0.1535
466,0.158
467,0.16
468,0.1685
469,0.1585
470,0.156
471,0.1685
472,0.169
473,0.1575
474,0.1555
475,0.166
476,0.1655
477,0.154
478,0.1555
479,0.155
480,0.1655
481,0.17
482,0.1565
483,0.134
484,0.136
485,0.126
486,0.134
487,0.1365
488,0.119
489,0.127
490,0.121
491,0.1235
492,0.1125
493,0.0955
494,0.111
495,0.0815
496,0.095
497,0.0895
498,0.098
499,0.098
