num_removed,accuracy
0,0.7705
1,0.771
2,0.7725
3,0.7675
4,0.768
5,0.7665
6,0.7675
7,0.7675
8,0.7685
9,0.769
10,0.7715
11,0.768
12,0.766
13,0.766
14,0.768
15,0.769
16,0.773
17,0.7745
18,0.777
19,0.775
20,0.7755
21,0.774
22,0.774
23,0.7755
24,0.7755
25,0.775
26,0.7755
27,0.773
28,0.774
29,0.7735
30,0.771
31,0.7745
32,0.7725
33,0.7715
34,0.7695
35,0.7705
36,0.7675
37,0.768
38,0.766
39,0.766
40,0.766
41,0.7675
42,0.7665
43,0.7655
44,0.765
45,0.7655
46,0.7635
47,0.7625
48,0.765
49,0.7645
50,0.7665
51,0.7665
52,0.7665
53,0.7685
54,0.7685
55,0.7685
56,0.7695
57,0.769
58,0.7695
59,0.7695
60,0.7665
61,0.769
62,0.7675
63,0.7685
64,0.7695
65,0.767
66,0.766
67,0.766
68,0.7675
69,0.7715
70,0.771
71,0.7715
72,0.771
73,0.7695
74,0.7685
75,0.7665
76,0.765
77,0.7685
78,0.765
79,0.7665
80,0.7665
81,0.764
82,0.764
83,0.7635
84,0.7605
85,0.761
86,0.76
87,0.7605
88,0.7605
89,0.7595
90,0.759
91,0.759
92,0.7605
93,0.761
94,0.7605
95,0.759
96,0.7595
97,0.762
98,0.762
99,0.7615
100,0.762
101,0.7615
102,0.762
103,0.7635
104,0.763
105,0.761
106,0.764
107,0.7635
108,0.762
109,0.758
110,0.757
111,0.7595
112,0.762
113,0.761
114,0.759
115,0.7625
116,0.766
117,0.764
118,0.761
119,0.7595
120,0.76
121,0.757
122,0.7585
123,0.762
124,0.758
125,0.7575
126,0.757
127,0.755
128,0.7545
129,0.754
130,0.7545
131,0.754
132,0.7545
133,0.755
134,0.754
135,0.752
136,0.754
137,0.7575
138,0.7575
139,0.757
140,0.7575
141,0.756
142,0.757
143,0.756
144,0.7575
145,0.755
146,0.7545
147,0.753
148,0.7535
149,0.756
150,0.755
151,0.7545
152,0.751
153,0.752
154,0.751
155,0.751
156,0.752
157,0.7525
158,0.7525
159,0.752
160,0.752
161,0.7505
162,0.75
163,0.748
164,0.7465
165,0.7465
166,0.746
167,0.747
168,0.7475
169,0.747
170,0.7435
171,0.744
172,0.7425
173,0.7415
174,0.741
175,0.742
176,0.741
177,0.7425
178,0.7415
179,0.741
180,0.741
181,0.74
182,0.741
183,0.7415
184,0.743
185,0.7415
186,0.742
187,0.741
188,0.741
189,0.738
190,0.7385
191,0.738
192,0.7385
193,0.735
194,0.736
195,0.738
196,0.7385
197,0.7365
198,0.7375
199,0.739
200,0.742
201,0.743
202,0.744
203,0.742
204,0.739
205,0.7385
206,0.7405
207,0.7375
208,0.7385
209,0.7385
210,0.7395
211,0.738
212,0.738
213,0.7375
214,0.737
215,0.737
216,0.737
217,0.7375
218,0.7335
219,0.7335
220,0.731
221,0.7315
222,0.7335
223,0.732
224,0.735
225,0.7345
226,0.733
227,0.734
228,0.7305
229,0.731
230,0.73
231,0.7305
232,0.73
233,0.73
234,0.7295
235,0.726
236,0.7265
237,0.7245
238,0.7175
239,0.718
240,0.72
241,0.716
242,0.7145
243,0.714
244,0.711
245,0.704
246,0.705
247,0.7025
248,0.702
249,0.699
250,0.6985
251,0.698
252,0.6955
253,0.695
254,0.691
255,0.691
256,0.691
257,0.6925
258,0.692
259,0.6915
260,0.691
261,0.6915
262,0.6915
263,0.691
264,0.691
265,0.69
266,0.6885
267,0.688
268,0.688
269,0.688
270,0.689
271,0.69
272,0.6885
273,0.6875
274,0.6875
275,0.686
276,0.685
277,0.6855
278,0.6865
279,0.686
280,0.6875
281,0.6845
282,0.684
283,0.6835
284,0.685
285,0.686
286,0.683
287,0.6845
288,0.683
289,0.681
290,0.6825
291,0.681
292,0.682
293,0.6795
294,0.6795
295,0.6775
296,0.6765
297,0.675
298,0.682
299,0.681
300,0.6825
301,0.6795
302,0.677
303,0.676
304,0.6745
305,0.6735
306,0.671
307,0.671
308,0.6735
309,0.671
310,0.6685
311,0.6685
312,0.6665
313,0.667
314,0.6635
315,0.6655
316,0.6665
317,0.6675
318,0.669
319,0.6685
320,0.666
321,0.669
322,0.6715
323,0.67
324,0.669
325,0.6665
326,0.664
327,0.6665
328,0.667
329,0.67
330,0.6665
331,0.6675
332,0.667
333,0.6665
334,0.6605
335,0.66
336,0.66
337,0.6635
338,0.662
339,0.6605
340,0.6595
341,0.659
342,0.659
343,0.655
344,0.656
345,0.6295
346,0.6205
347,0.6015
348,0.601
349,0.5925
350,0.566
351,0.554
352,0.5535
353,0.552
354,0.552
355,0.552
356,0.5505
357,0.5485
358,0.5485
359,0.535
360,0.53
361,0.527
362,0.5295
363,0.5265
364,0.524
365,0.522
366,0.522
367,0.5235
368,0.5205
369,0.521
370,0.5275
371,0.5235
372,0.519
373,0.513
374,0.5125
375,0.5105
376,0.5115
377,0.5135
378,0.5115
379,0.5105
380,0.512
381,0.515
382,0.5115
383,0.511
384,0.5105
385,0.508
386,0.509
387,0.503
388,0.49
389,0.495
390,0.497
391,0.493
