num_removed,accuracy
0,0.7705
1,0.7715
2,0.771
3,0.77
4,0.77
5,0.77
6,0.771
7,0.7705
8,0.769
9,0.769
10,0.768
11,0.7685
12,0.769
13,0.768
14,0.7675
15,0.7675
16,0.767
17,0.767
18,0.766
19,0.7645
20,0.7655
21,0.7655
22,0.766
23,0.765
24,0.765
25,0.7665
26,0.765
27,0.7655
28,0.765
29,0.762
30,0.763
31,0.7625
32,0.7615
33,0.762
34,0.7625
35,0.7625
36,0.761
37,0.762
38,0.761
39,0.763
40,0.762
41,0.762
42,0.761
43,0.7605
44,0.7605
45,0.7605
46,0.761
47,0.7615
48,0.762
49,0.7635
50,0.7635
51,0.763
52,0.7625
53,0.7605
54,0.7605
55,0.76
56,0.7595
57,0.761
58,0.7625
59,0.763
60,0.761
61,0.7605
62,0.7605
63,0.763
64,0.763
65,0.763
66,0.7615
67,0.7615
68,0.7605
69,0.7615
70,0.7595
71,0.7605
72,0.7605
73,0.76
74,0.7595
75,0.7605
76,0.76
77,0.7585
78,0.7615
79,0.7605
80,0.761
81,0.7615
82,0.762
83,0.761
84,0.7605
85,0.7615
86,0.76
87,0.762
88,0.7625
89,0.762
90,0.7625
91,0.763
92,0.765
93,0.766
94,0.766
95,0.7655
96,0.766
97,0.7675
98,0.7685
99,0.7675
100,0.767
101,0.7675
102,0.7665
103,0.7675
104,0.765
105,0.7665
106,0.766
107,0.7655
108,0.766
109,0.7665
110,0.7645
111,0.7665
112,0.766
113,0.7665
114,0.768
115,0.7685
116,0.768
117,0.767
118,0.767
119,0.7665
120,0.765
121,0.764
122,0.764
123,0.7625
124,0.763
125,0.7625
126,0.766
127,0.7655
128,0.7655
129,0.766
130,0.767
131,0.7675
132,0.7645
133,0.7635
134,0.7635
135,0.7645
136,0.7675
137,0.767
138,0.7615
139,0.7615
140,0.7605
141,0.7625
142,0.763
143,0.763
144,0.763
145,0.7585
146,0.7575
147,0.7595
148,0.7605
149,0.759
150,0.758
151,0.7585
152,0.759
153,0.756
154,0.754
155,0.753
156,0.753
157,0.753
158,0.754
159,0.754
160,0.753
161,0.752
162,0.7525
163,0.7525
164,0.755
165,0.755
166,0.754
167,0.753
168,0.755
169,0.757
170,0.7535
171,0.752
172,0.752
173,0.7525
174,0.751
175,0.752
176,0.7505
177,0.749
178,0.748
179,0.7475
180,0.7475
181,0.746
182,0.7455
183,0.746
184,0.746
185,0.7485
186,0.749
187,0.7505
188,0.749
189,0.749
190,0.7495
191,0.747
192,0.746
193,0.7445
194,0.745
195,0.7415
196,0.7415
197,0.7425
198,0.7405
199,0.7415
200,0.741
201,0.74
202,0.7385
203,0.7385
204,0.7395
205,0.7395
206,0.7405
207,0.7395
208,0.74
209,0.74
210,0.7365
211,0.734
212,0.7365
213,0.732
214,0.7335
215,0.7315
216,0.7325
217,0.7345
218,0.734
219,0.7325
220,0.732
221,0.733
222,0.7335
223,0.7335
224,0.733
225,0.7335
226,0.736
227,0.7335
228,0.7335
229,0.733
230,0.7295
231,0.7285
232,0.7275
233,0.731
234,0.7315
235,0.7305
236,0.73
237,0.726
238,0.726
239,0.725
240,0.7255
241,0.723
242,0.724
243,0.723
244,0.7255
245,0.724
246,0.7205
247,0.7215
248,0.721
249,0.7195
250,0.721
251,0.7185
252,0.7185
253,0.719
254,0.7195
255,0.7195
256,0.7155
257,0.716
258,0.7175
259,0.718
260,0.7195
261,0.7175
262,0.722
263,0.7245
264,0.7245
265,0.724
266,0.7205
267,0.7195
268,0.7215
269,0.7205
270,0.7205
271,0.7205
272,0.7215
273,0.7225
274,0.722
275,0.7215
276,0.721
277,0.7165
278,0.7175
279,0.718
280,0.7215
281,0.722
282,0.718
283,0.7195
284,0.7175
285,0.715
286,0.7165
287,0.7135
288,0.714
289,0.713
290,0.7145
291,0.714
292,0.7175
293,0.7165
294,0.716
295,0.7165
296,0.7185
297,0.716
298,0.719
299,0.7165
300,0.717
301,0.7155
302,0.7145
303,0.716
304,0.715
305,0.7135
306,0.7145
307,0.715
308,0.714
309,0.713
310,0.714
311,0.7115
312,0.7105
313,0.716
314,0.715
315,0.714
316,0.7115
317,0.711
318,0.7105
319,0.705
320,0.7055
321,0.7065
322,0.7075
323,0.708
324,0.7055
325,0.7055
326,0.704
327,0.7015
328,0.7025
329,0.704
330,0.701
331,0.6965
332,0.6975
333,0.695
334,0.6955
335,0.694
336,0.694
337,0.695
338,0.693
339,0.698
340,0.6935
341,0.6955
342,0.696
343,0.695
344,0.693
345,0.688
346,0.6825
347,0.6815
348,0.682
349,0.681
350,0.6845
351,0.6855
352,0.686
353,0.681
354,0.674
355,0.672
356,0.6755
357,0.675
358,0.674
359,0.677
360,0.677
361,0.6785
362,0.6785
363,0.6795
364,0.679
365,0.675
366,0.67
367,0.6665
368,0.665
369,0.666
370,0.6595
371,0.652
372,0.658
373,0.6535
374,0.649
375,0.6455
376,0.639
377,0.638
378,0.637
379,0.6345
380,0.6315
381,0.6275
382,0.632
383,0.6315
384,0.6265
385,0.6265
386,0.632
387,0.6325
388,0.6315
389,0.6285
390,0.6255
391,0.624
392,0.628
393,0.6275
