num_removed,accuracy
0,0.7705
1,0.769
2,0.7705
3,0.771
4,0.7695
5,0.7685
6,0.768
7,0.767
8,0.7665
9,0.767
10,0.7655
11,0.7645
12,0.7615
13,0.764
14,0.7595
15,0.7595
16,0.761
17,0.7605
18,0.7585
19,0.7575
20,0.7565
21,0.7555
22,0.7565
23,0.755
24,0.7545
25,0.752
26,0.7525
27,0.7475
28,0.7465
29,0.7475
30,0.747
31,0.747
32,0.744
33,0.7435
34,0.7435
35,0.7445
36,0.7445
37,0.744
38,0.7465
39,0.746
40,0.745
41,0.7475
42,0.747
43,0.7465
44,0.7425
45,0.7395
46,0.7395
47,0.7405
48,0.74
49,0.7405
50,0.74
51,0.74
52,0.739
53,0.735
54,0.7345
55,0.7345
56,0.733
57,0.7325
58,0.732
59,0.7305
60,0.729
61,0.726
62,0.726
63,0.724
64,0.7255
65,0.724
66,0.7235
67,0.7225
68,0.7235
69,0.723
70,0.7215
71,0.7255
72,0.7225
73,0.7225
74,0.7215
75,0.722
76,0.7215
77,0.7205
78,0.722
79,0.7215
80,0.725
81,0.723
82,0.722
83,0.7215
84,0.7225
85,0.722
86,0.722
87,0.723
88,0.7235
89,0.72
90,0.7185
91,0.7175
92,0.7155
93,0.7155
94,0.7175
95,0.7165
96,0.7185
97,0.719
98,0.7155
99,0.7145
100,0.714
101,0.714
102,0.7145
103,0.7135
104,0.7125
105,0.7115
106,0.713
107,0.7125
108,0.711
109,0.71
110,0.7115
111,0.71
112,0.7085
113,0.7095
114,0.7095
115,0.7075
116,0.707
117,0.7055
118,0.709
119,0.7075
120,0.708
121,0.706
122,0.705
123,0.7055
124,0.7055
125,0.7035
126,0.704
127,0.7015
128,0.699
129,0.6985
130,0.697
131,0.6975
132,0.6995
133,0.7
134,0.6995
135,0.7005
136,0.6985
137,0.699
138,0.699
139,0.699
140,0.698
141,0.6985
142,0.697
143,0.6985
144,0.6975
145,0.6965
146,0.696
147,0.6925
148,0.6925
149,0.6945
150,0.695
151,0.696
152,0.6975
153,0.698
154,0.6975
155,0.6965
156,0.6945
157,0.694
158,0.694
159,0.6925
160,0.694
161,0.693
