num_removed,accuracy
0,0.793
1,0.7915
2,0.7925
3,0.793
4,0.7915
5,0.792
6,0.792
7,0.791
8,0.7925
9,0.792
10,0.792
11,0.795
12,0.7955
13,0.7945
14,0.7955
15,0.7925
16,0.7915
17,0.7945
18,0.7935
19,0.7955
20,0.7945
21,0.793
22,0.79
23,0.791
24,0.791
25,0.7915
26,0.7885
27,0.7895
28,0.792
29,0.794
30,0.7925
31,0.7935
32,0.7935
33,0.7925
34,0.793
35,0.7945
36,0.7945
37,0.791
38,0.7895
39,0.787
40,0.788
41,0.7885
42,0.7905
43,0.791
44,0.789
45,0.79
46,0.789
47,0.791
48,0.7915
49,0.7945
50,0.7955
51,0.793
52,0.792
53,0.79
54,0.7915
55,0.7945
56,0.7985
57,0.8005
58,0.801
59,0.7985
60,0.8015
61,0.802
62,0.801
63,0.8
64,0.803
65,0.8025
66,0.802
67,0.8005
68,0.801
69,0.799
70,0.798
71,0.7975
72,0.798
73,0.801
74,0.801
75,0.8015
76,0.801
77,0.7995
78,0.801
79,0.8025
80,0.797
81,0.7955
82,0.795
83,0.7945
84,0.794
85,0.794
86,0.7955
87,0.796
88,0.797
89,0.799
90,0.798
91,0.7985
92,0.8005
93,0.798
94,0.799
95,0.7995
96,0.799
97,0.7995
98,0.7995
99,0.7975
100,0.796
101,0.7955
102,0.792
103,0.794
104,0.794
105,0.794
106,0.794
107,0.7965
108,0.7975
109,0.7965
110,0.7955
111,0.796
112,0.7955
113,0.7945
114,0.7955
115,0.796
116,0.7955
117,0.7945
118,0.7915
119,0.794
120,0.7945
121,0.792
122,0.792
123,0.7925
124,0.7915
125,0.7905
126,0.7895
127,0.7895
128,0.788
129,0.792
130,0.79
131,0.7895
132,0.788
133,0.7885
134,0.7865
135,0.786
136,0.7885
137,0.789
138,0.787
139,0.787
140,0.787
141,0.7885
142,0.789
143,0.788
144,0.786
145,0.7865
146,0.786
147,0.7865
148,0.787
149,0.7865
150,0.7815
151,0.7815
152,0.7795
153,0.7805
154,0.7805
155,0.782
156,0.783
157,0.783
158,0.78
159,0.7805
160,0.7845
161,0.784
162,0.787
163,0.7845
164,0.785
165,0.785
