num_removed,accuracy
0,0.793
1,0.7895
2,0.7885
3,0.786
4,0.787
5,0.7865
6,0.7885
7,0.79
8,0.7865
9,0.788
10,0.788
11,0.7865
12,0.7865
13,0.7885
14,0.788
15,0.786
16,0.7865
17,0.787
18,0.787
19,0.785
20,0.7855
21,0.783
22,0.781
23,0.782
24,0.7815
25,0.777
26,0.7765
27,0.775
28,0.7755
29,0.773
30,0.773
31,0.773
32,0.774
33,0.773
34,0.7735
35,0.775
36,0.775
37,0.776
38,0.7755
39,0.7735
40,0.774
41,0.773
42,0.772
43,0.7715
44,0.77
45,0.7715
46,0.7705
47,0.771
48,0.7705
49,0.7685
50,0.7685
51,0.7675
52,0.77
53,0.7695
54,0.7695
55,0.7695
56,0.7695
57,0.7695
58,0.7695
59,0.7685
60,0.769
61,0.7675
62,0.7685
63,0.767
64,0.768
65,0.767
66,0.766
67,0.765
68,0.767
69,0.7665
70,0.7665
71,0.763
72,0.7625
73,0.7625
74,0.762
75,0.762
76,0.761
77,0.7615
78,0.76
79,0.7585
80,0.759
81,0.7625
82,0.763
83,0.7625
84,0.76
85,0.7625
86,0.7595
87,0.758
88,0.7585
89,0.7595
90,0.759
91,0.7585
92,0.759
93,0.757
94,0.7575
95,0.756
96,0.7555
97,0.7555
98,0.755
99,0.7565
100,0.757
101,0.7555
102,0.7545
103,0.7505
104,0.7485
105,0.748
106,0.7475
107,0.745
108,0.7435
109,0.7435
110,0.7435
111,0.744
112,0.7435
113,0.7435
114,0.7425
115,0.742
116,0.7415
117,0.7425
118,0.741
119,0.7385
120,0.738
121,0.736
122,0.7385
123,0.7385
124,0.739
125,0.737
126,0.736
127,0.7355
128,0.737
129,0.7365
130,0.7365
131,0.7345
132,0.7315
133,0.7315
134,0.733
135,0.7345
136,0.7335
137,0.7325
138,0.731
139,0.7315
140,0.7305
141,0.729
142,0.7305
143,0.731
144,0.7305
145,0.7295
146,0.7295
147,0.7295
148,0.73
149,0.729
150,0.7295
151,0.7265
152,0.7255
153,0.7245
154,0.725
155,0.724
156,0.7245
157,0.726
158,0.7295
159,0.7285
160,0.722
161,0.7245
162,0.724
163,0.7215
164,0.7235
165,0.7215
166,0.7195
167,0.7175
168,0.715
169,0.7145
170,0.7155
171,0.714
172,0.7145
173,0.7165
174,0.7155
175,0.716
176,0.7135
177,0.711
178,0.709
179,0.7085
180,0.71
181,0.7105
182,0.709
183,0.708
184,0.7105
185,0.7105
186,0.708
187,0.708
188,0.7025
189,0.702
190,0.704
191,0.702
192,0.7025
193,0.706
194,0.7035
195,0.704
196,0.704
197,0.7045
198,0.7055
199,0.7055
200,0.707
201,0.7065
202,0.7045
203,0.706
204,0.705
205,0.704
206,0.7015
207,0.703
208,0.7055
209,0.701
210,0.7
211,0.699
212,0.6975
213,0.694
214,0.6925
215,0.694
216,0.691
217,0.693
218,0.6865
219,0.689
220,0.685
221,0.6865
222,0.6845
223,0.684
224,0.678
225,0.678
226,0.6785
227,0.6765
228,0.6775
229,0.676
230,0.6765
231,0.6745
232,0.676
233,0.675
234,0.6765
235,0.676
236,0.6735
237,0.6735
238,0.6755
239,0.6765
240,0.676
241,0.675
242,0.6735
243,0.6715
244,0.665
245,0.666
246,0.667
247,0.666
248,0.6655
249,0.6655
250,0.667
251,0.667
252,0.662
253,0.6615
254,0.6645
255,0.6625
256,0.663
257,0.6595
258,0.6605
259,0.6605
260,0.6605
261,0.6535
262,0.6565
263,0.655
264,0.6515
265,0.6515
266,0.653
267,0.646
268,0.646
269,0.6455
270,0.6485
271,0.648
272,0.647
273,0.6455
274,0.6445
275,0.6425
276,0.6385
277,0.64
278,0.64
279,0.6365
280,0.6305
281,0.6355
282,0.636
283,0.637
284,0.6375
285,0.637
286,0.6395
287,0.64
288,0.6365
289,0.6245
290,0.622
291,0.62
292,0.621
293,0.623
294,0.6225
295,0.612
296,0.6105
297,0.6055
298,0.608
299,0.607
300,0.611
301,0.6105
302,0.6065
303,0.6055
304,0.607
305,0.608
306,0.605
307,0.604
308,0.603
309,0.591
310,0.591
311,0.585
312,0.5835
313,0.587
314,0.5865
315,0.5815
316,0.582
317,0.5825
318,0.5815
319,0.5715
320,0.563
321,0.564
322,0.563
323,0.5645
324,0.565
325,0.5655
326,0.562
327,0.559
328,0.5555
329,0.5605
330,0.5595
331,0.559
332,0.5585
333,0.554
334,0.5545
335,0.554
336,0.5505
337,0.5505
338,0.5515
339,0.5505
340,0.5545
341,0.557
342,0.5585
343,0.556
344,0.5555
345,0.554
346,0.5565
347,0.5545
348,0.551
349,0.546
350,0.5435
351,0.5425
352,0.5395
353,0.541
354,0.5405
355,0.5365
356,0.533
357,0.5335
358,0.531
359,0.5295
360,0.533
361,0.5295
362,0.5215
363,0.52
364,0.5225
365,0.5175
366,0.51
367,0.5085
368,0.509
