num_removed,accuracy
0,0.7435
1,0.7435
2,0.7435
3,0.7435
4,0.7435
5,0.7435
6,0.7435
7,0.7435
8,0.7435
9,0.7435
10,0.7435
11,0.743
12,0.743
13,0.743
14,0.743
15,0.7435
16,0.7435
17,0.744
18,0.744
19,0.744
20,0.7435
21,0.743
22,0.743
23,0.743
24,0.743
25,0.743
26,0.7435
27,0.7435
28,0.744
29,0.744
30,0.744
31,0.744
32,0.744
33,0.744
34,0.745
35,0.745
36,0.745
37,0.745
38,0.745
39,0.745
40,0.745
41,0.745
42,0.745
43,0.745
44,0.7455
45,0.7455
46,0.7455
47,0.7455
48,0.745
49,0.745
50,0.745
51,0.745
52,0.745
53,0.745
54,0.745
55,0.7455
56,0.7455
57,0.746
58,0.7455
59,0.746
60,0.7455
61,0.7455
62,0.7455
63,0.7455
64,0.746
65,0.746
66,0.746
67,0.746
68,0.747
69,0.7465
70,0.7465
71,0.746
72,0.746
73,0.746
74,0.7465
75,0.747
76,0.7465
77,0.747
78,0.7465
79,0.746
80,0.7465
81,0.746
82,0.7465
83,0.746
84,0.7465
85,0.7465
86,0.7455
87,0.746
88,0.7455
89,0.7455
90,0.7455
91,0.746
92,0.7465
93,0.7465
94,0.746
95,0.746
96,0.746
97,0.746
98,0.747
99,0.747
100,0.747
101,0.7465
102,0.7465
103,0.747
104,0.748
105,0.747
106,0.7475
107,0.7485
108,0.7485
109,0.7485
110,0.7485
111,0.749
112,0.7495
113,0.7495
114,0.75
115,0.75
116,0.75
117,0.75
118,0.7505
119,0.752
120,0.7515
121,0.7515
122,0.7525
123,0.7535
124,0.7525
125,0.7535
126,0.754
127,0.754
128,0.7555
129,0.7555
130,0.756
131,0.756
132,0.756
133,0.755
134,0.755
135,0.754
136,0.7535
137,0.7535
138,0.754
139,0.754
140,0.7555
141,0.756
142,0.7545
143,0.755
144,0.755
145,0.7555
146,0.755
147,0.755
148,0.755
149,0.7555
150,0.757
151,0.7565
152,0.757
153,0.7565
154,0.756
155,0.755
156,0.7555
157,0.7545
158,0.7555
159,0.757
160,0.756
161,0.7525
162,0.7515
163,0.752
164,0.751
165,0.751
166,0.7495
167,0.7495
168,0.7495
169,0.748
170,0.7495
171,0.7485
172,0.7485
173,0.7435
174,0.7455
175,0.7445
176,0.745
177,0.745
178,0.7445
179,0.7475
180,0.747
181,0.744
182,0.7455
183,0.7435
184,0.7405
185,0.739
186,0.7375
187,0.738
188,0.7385
189,0.738
190,0.7335
191,0.7335
192,0.724
193,0.724
194,0.723
195,0.7225
196,0.7235
197,0.723
198,0.7235
199,0.7235
200,0.7205
201,0.719
202,0.719
203,0.7195
204,0.717
205,0.7095
206,0.7075
207,0.705
208,0.703
209,0.695
210,0.688
211,0.683
212,0.6855
213,0.6795
214,0.674
215,0.66
216,0.6525
217,0.648
218,0.6495
219,0.651
220,0.6485
221,0.6405
222,0.6415
223,0.6355
224,0.6285
225,0.631
226,0.6275
227,0.6245
228,0.6245
229,0.6075
230,0.571
231,0.5645
232,0.566
233,0.557
234,0.556
235,0.557
236,0.5535
237,0.531
238,0.5255
239,0.523
240,0.5095
241,0.4895
242,0.488
243,0.484
244,0.4845
245,0.483
246,0.481
247,0.4695
248,0.4705
249,0.4675
250,0.4565
251,0.4555
252,0.4495
253,0.4485
254,0.444
255,0.4335
256,0.436
257,0.434
258,0.424
259,0.421
260,0.4205
261,0.418
262,0.42
263,0.4135
264,0.4075
265,0.4085
266,0.407
267,0.4075
268,0.407
269,0.4055
270,0.402
271,0.401
272,0.3995
273,0.399
274,0.3915
275,0.393
276,0.3945
277,0.3945
278,0.386
279,0.363
280,0.3665
281,0.366
282,0.364
283,0.366
284,0.337
285,0.3365
286,0.3355
287,0.3375
288,0.3345
289,0.334
290,0.332
291,0.3315
292,0.3355
293,0.3335
294,0.3295
295,0.3275
296,0.342
297,0.324
298,0.326
299,0.3275
300,0.3265
301,0.326
302,0.3255
303,0.3235
304,0.323
305,0.3225
306,0.322
307,0.319
308,0.318
309,0.317
310,0.3165
311,0.296
312,0.316
313,0.315
314,0.312
315,0.3165
316,0.317
317,0.315
318,0.316
319,0.3165
320,0.3025
321,0.2945
322,0.292
323,0.297
324,0.309
325,0.307
326,0.3045
327,0.3
328,0.2985
329,0.296
330,0.296
331,0.297
332,0.295
333,0.2935
334,0.298
335,0.2955
336,0.2945
337,0.2925
338,0.2925
339,0.295
340,0.2915
341,0.291
342,0.288
343,0.291
344,0.289
345,0.2885
346,0.2885
347,0.288
