num_removed,accuracy
0,0.7435
1,0.7425
2,0.745
3,0.744
4,0.748
5,0.752
6,0.752
7,0.7525
8,0.7535
9,0.7545
10,0.7565
11,0.761
12,0.7615
13,0.7635
14,0.7635
15,0.7635
16,0.7645
17,0.7645
18,0.764
19,0.7635
20,0.763
21,0.763
22,0.763
23,0.763
24,0.763
25,0.763
26,0.764
27,0.7645
28,0.765
29,0.7645
30,0.7645
31,0.765
32,0.765
33,0.765
34,0.766
35,0.766
36,0.7655
37,0.7655
38,0.765
39,0.765
40,0.765
41,0.765
42,0.7665
43,0.7665
44,0.7665
45,0.7665
46,0.7665
47,0.7665
48,0.766
49,0.766
50,0.7665
51,0.7665
52,0.7665
53,0.7665
54,0.7665
55,0.767
56,0.767
57,0.767
58,0.767
59,0.767
60,0.766
61,0.7655
62,0.7655
63,0.766
64,0.766
65,0.766
66,0.766
67,0.766
68,0.7675
69,0.7675
70,0.769
71,0.768
72,0.7675
73,0.768
74,0.7685
75,0.768
76,0.768
77,0.7685
78,0.7685
79,0.7685
80,0.769
81,0.769
82,0.769
83,0.769
84,0.769
85,0.77
86,0.77
87,0.7695
88,0.7695
89,0.769
90,0.7695
91,0.768
92,0.77
93,0.77
94,0.77
95,0.77
96,0.7705
97,0.7705
98,0.769
99,0.769
100,0.77
101,0.7705
102,0.769
103,0.7695
104,0.77
105,0.7735
106,0.773
107,0.773
108,0.773
109,0.773
110,0.7735
111,0.7735
112,0.7725
113,0.7735
114,0.7725
115,0.7735
116,0.774
117,0.7735
118,0.773
119,0.7725
120,0.7705
121,0.7705
122,0.774
123,0.7725
124,0.77
125,0.7725
126,0.769
127,0.767
128,0.766
129,0.764
130,0.764
131,0.766
132,0.765
133,0.7645
134,0.764
135,0.7625
136,0.763
137,0.762
138,0.76
139,0.76
140,0.76
141,0.76
142,0.761
143,0.762
144,0.759
145,0.7575
146,0.7565
147,0.7575
148,0.758
149,0.757
150,0.755
151,0.755
152,0.755
153,0.754
154,0.752
155,0.751
156,0.753
157,0.753
158,0.753
159,0.753
160,0.7525
161,0.7525
162,0.7525
163,0.7525
164,0.7525
165,0.7555
166,0.757
167,0.7565
168,0.7565
169,0.7565
170,0.7565
171,0.7565
172,0.7565
173,0.758
174,0.757
175,0.757
176,0.7575
177,0.757
178,0.7575
179,0.757
180,0.7565
181,0.757
182,0.7565
183,0.7565
184,0.757
185,0.7575
186,0.7575
187,0.7585
188,0.7585
189,0.7585
190,0.7585
191,0.759
192,0.76
193,0.7615
194,0.7615
195,0.7605
196,0.7605
197,0.761
198,0.761
199,0.7625
200,0.7625
201,0.764
202,0.763
203,0.763
204,0.76
205,0.76
206,0.76
207,0.7605
208,0.761
209,0.761
210,0.761
211,0.7605
212,0.7625
213,0.763
214,0.7635
215,0.7635
216,0.7635
217,0.764
218,0.764
219,0.7635
220,0.763
221,0.7625
222,0.7625
223,0.7625
224,0.7625
225,0.7635
226,0.7645
227,0.765
228,0.7645
229,0.7645
230,0.765
231,0.765
232,0.765
233,0.7635
234,0.7635
235,0.7665
236,0.7665
237,0.7665
238,0.766
239,0.7655
240,0.767
241,0.767
242,0.767
243,0.767
244,0.7665
245,0.768
246,0.7685
247,0.7685
248,0.7635
249,0.764
250,0.764
251,0.7685
252,0.7685
253,0.7685
254,0.769
255,0.7685
256,0.769
257,0.769
258,0.7685
259,0.7675
260,0.7665
261,0.7665
262,0.7665
263,0.768
264,0.7675
265,0.7675
266,0.768
267,0.7625
268,0.7585
269,0.7595
270,0.759
271,0.759
272,0.759
273,0.7595
274,0.7635
275,0.764
276,0.764
277,0.763
278,0.763
279,0.763
280,0.7625
281,0.762
282,0.764
283,0.7635
284,0.7635
285,0.7635
286,0.765
287,0.765
288,0.765
289,0.7645
290,0.763
291,0.7635
292,0.7695
293,0.768
294,0.7745
295,0.7755
296,0.7655
297,0.764
298,0.764
299,0.7665
300,0.766
301,0.766
302,0.766
303,0.767
304,0.766
305,0.767
306,0.766
307,0.7675
308,0.7645
309,0.766
310,0.767
311,0.767
312,0.7645
313,0.7675
314,0.766
315,0.7675
316,0.768
317,0.767
318,0.7685
319,0.7685
320,0.7685
321,0.7695
322,0.766
323,0.765
324,0.7645
325,0.7645
326,0.766
327,0.7675
328,0.7675
329,0.7645
330,0.7645
331,0.7625
332,0.7615
333,0.759
334,0.7595
335,0.7595
336,0.7555
337,0.748
338,0.748
339,0.74
340,0.74
341,0.723
342,0.7325
343,0.731
344,0.7295
345,0.729
346,0.729
347,0.7295
348,0.729
349,0.729
350,0.712
351,0.708
352,0.7085
353,0.704
354,0.701
355,0.701
356,0.701
357,0.692
358,0.693
359,0.6925
360,0.6925
361,0.6895
362,0.689
363,0.6835
364,0.6825
365,0.6825
366,0.6795
367,0.6745
368,0.6715
369,0.671
370,0.6675
371,0.6655
372,0.655
373,0.648
374,0.6485
375,0.6325
376,0.633
377,0.6345
378,0.6405
379,0.6455
380,0.6365
381,0.624
382,0.623
383,0.6355
384,0.621
385,0.6175
386,0.608
387,0.6085
388,0.5875
389,0.5655
390,0.475
391,0.4675
392,0.467
393,0.444
394,0.4255
395,0.459
396,0.473
397,0.4675
398,0.4605
399,0.452
400,0.3795
401,0.425
402,0.2935
403,0.2935
404,0.2935
405,0.2935
406,0.2935
407,0.2935
408,0.2935
409,0.2935
410,0.2935
411,0.2935
412,0.2935
413,0.2935
414,0.2935
415,0.2935
416,0.2935
417,0.2935
418,0.2935
419,0.2935
420,0.2935
421,0.2935
422,0.2935
423,0.2935
424,0.2935
425,0.2935
426,0.2935
427,0.2935
428,0.2935
429,0.2935
430,0.2935
431,0.2935
432,0.2935
433,0.2935
434,0.2935
435,0.2935
436,0.2935
437,0.2935
438,0.2935
439,0.2935
440,0.2935
441,0.2935
442,0.2935
443,0.2935
444,0.2935
445,0.2935
446,0.2935
447,0.2935
448,0.2935
449,0.2935
450,0.2935
451,0.2935
452,0.2935
453,0.2935
454,0.2935
455,0.2935
456,0.2935
457,0.2935
458,0.2935
459,0.2935
460,0.2935
461,0.301
462,0.3015
463,0.3025
464,0.3025
465,0.3025
466,0.3025
467,0.3005
468,0.3
469,0.3
470,0.2935
471,0.2935
472,0.2935
473,0.2935
474,0.2935
475,0.2935
476,0.2935
477,0.2935
478,0.2935
479,0.2935
480,0.2935
481,0.2935
482,0.2935
483,0.2935
484,0.2935
485,0.2935
486,0.2935
487,0.2935
488,0.2935
489,0.2935
490,0.2935
491,0.2935
492,0.2935
493,0.2935
494,0.2935
495,0.2935
496,0.2935
497,0.2935
498,0.2935
499,0.2935
