num_removed,accuracy
0,0.7595
1,0.7595
2,0.759
3,0.759
4,0.7595
5,0.7595
6,0.7595
7,0.7585
8,0.759
9,0.7575
10,0.757
11,0.7565
12,0.757
13,0.758
14,0.7555
15,0.7565
16,0.7585
17,0.7585
18,0.758
19,0.758
20,0.7585
21,0.7585
22,0.7565
23,0.7585
24,0.759
25,0.7595
26,0.758
27,0.7565
28,0.7565
29,0.7565
30,0.758
31,0.758
32,0.759
33,0.759
34,0.759
35,0.759
36,0.759
37,0.759
38,0.759
39,0.7595
40,0.759
41,0.7605
42,0.76
43,0.7605
44,0.7605
45,0.7605
46,0.7605
47,0.7605
48,0.7605
49,0.7605
50,0.7605
51,0.759
52,0.7595
53,0.76
54,0.7605
55,0.76
56,0.7615
57,0.759
58,0.759
59,0.76
60,0.76
61,0.76
62,0.759
63,0.7585
64,0.7585
65,0.7585
66,0.7585
67,0.7585
68,0.7585
69,0.7585
70,0.7585
71,0.7595
72,0.7595
73,0.7605
74,0.7595
75,0.7595
76,0.7595
77,0.7605
78,0.761
79,0.761
80,0.762
81,0.7625
82,0.7625
83,0.762
84,0.762
85,0.762
86,0.762
87,0.7625
88,0.764
89,0.763
90,0.763
91,0.763
92,0.764
93,0.764
94,0.765
95,0.765
96,0.764
97,0.7635
98,0.7635
99,0.764
100,0.763
101,0.7625
102,0.7625
103,0.764
104,0.7655
105,0.765
106,0.764
107,0.7635
108,0.7635
109,0.7635
110,0.764
111,0.7645
112,0.763
113,0.7625
114,0.7625
115,0.763
116,0.7625
117,0.7635
118,0.7645
119,0.7635
120,0.7635
121,0.7635
122,0.763
123,0.7625
124,0.763
125,0.7625
126,0.763
127,0.764
128,0.762
129,0.762
130,0.7615
131,0.7615
132,0.762
133,0.762
134,0.762
135,0.7625
136,0.7625
137,0.762
138,0.7635
139,0.762
140,0.7625
141,0.7635
142,0.7645
143,0.769
144,0.769
145,0.769
146,0.769
147,0.769
148,0.7695
149,0.7695
150,0.7695
151,0.7695
152,0.7675
153,0.7655
154,0.7675
155,0.7665
156,0.767
157,0.7675
158,0.767
159,0.767
160,0.7665
161,0.767
162,0.7665
163,0.767
164,0.7655
165,0.7655
166,0.7665
167,0.7675
168,0.7675
169,0.7675
170,0.768
171,0.768
172,0.769
173,0.766
174,0.768
175,0.768
176,0.7685
177,0.767
178,0.767
179,0.7665
180,0.7675
181,0.7675
182,0.7665
183,0.7645
184,0.7655
185,0.765
186,0.7645
187,0.765
188,0.769
189,0.7675
190,0.7675
191,0.7725
192,0.7735
193,0.772
194,0.771
195,0.771
196,0.7715
197,0.7715
198,0.771
199,0.7705
200,0.771
201,0.7715
202,0.7705
203,0.77
204,0.77
205,0.77
206,0.772
207,0.7705
208,0.7695
209,0.771
210,0.769
211,0.769
212,0.7685
213,0.768
214,0.7685
215,0.7685
216,0.7685
217,0.7695
218,0.7685
219,0.7685
220,0.7685
221,0.769
222,0.7685
223,0.77
224,0.768
225,0.7685
226,0.7685
227,0.769
228,0.7695
229,0.7695
230,0.7705
231,0.7705
232,0.773
233,0.7725
234,0.773
235,0.771
236,0.771
237,0.7735
238,0.774
239,0.774
240,0.772
241,0.7715
242,0.772
243,0.773
244,0.7745
245,0.7745
246,0.773
247,0.773
248,0.773
249,0.7725
250,0.773
251,0.773
252,0.7745
253,0.774
254,0.7725
255,0.771
256,0.773
257,0.772
258,0.772
259,0.7725
260,0.772
261,0.7705
262,0.7705
263,0.7695
264,0.7695
265,0.769
266,0.769
267,0.768
268,0.768
269,0.768
270,0.769
271,0.7685
272,0.7685
273,0.7685
274,0.7695
275,0.7695
276,0.7695
277,0.769
278,0.7705
279,0.7655
280,0.7685
281,0.768
282,0.767
283,0.767
284,0.768
285,0.7665
286,0.768
287,0.7685
288,0.768
289,0.767
290,0.767
291,0.767
292,0.7665
293,0.768
294,0.769
295,0.769
296,0.767
297,0.7695
298,0.7695
299,0.7695
300,0.7705
301,0.77
302,0.77
303,0.771
304,0.77
305,0.771
306,0.771
307,0.7705
308,0.7705
309,0.771
310,0.7715
311,0.771
312,0.771
313,0.7725
314,0.7705
315,0.7715
316,0.7715
317,0.7705
318,0.771
319,0.773
320,0.773
321,0.772
322,0.772
323,0.772
324,0.772
325,0.771
326,0.772
327,0.7715
328,0.771
329,0.7725
330,0.7725
331,0.772
332,0.773
333,0.7725
334,0.7715
335,0.771
336,0.772
337,0.773
338,0.772
339,0.773
340,0.7705
341,0.7705
342,0.77
343,0.7705
344,0.7735
345,0.7735
346,0.771
347,0.771
348,0.7655
349,0.765
350,0.763
351,0.7565
352,0.7555
353,0.7555
354,0.756
355,0.7565
356,0.756
357,0.756
358,0.755
359,0.755
360,0.755
361,0.7545
362,0.754
363,0.754
364,0.754
365,0.7555
366,0.754
367,0.7545
368,0.7555
369,0.7525
370,0.743
371,0.743
372,0.754
373,0.7525
374,0.754
375,0.754
376,0.754
377,0.744
378,0.7445
379,0.742
380,0.7515
381,0.7515
382,0.742
383,0.749
384,0.749
385,0.7485
386,0.742
387,0.7425
388,0.7425
389,0.743
390,0.7445
391,0.7445
392,0.745
393,0.745
394,0.7445
395,0.7455
396,0.746
397,0.746
398,0.747
399,0.746
400,0.7465
401,0.749
402,0.7485
403,0.7475
404,0.744
405,0.745
406,0.745
407,0.745
408,0.7445
409,0.745
410,0.745
411,0.7395
412,0.7395
413,0.7385
414,0.7415
415,0.7425
416,0.7415
417,0.752
418,0.754
419,0.7535
420,0.7525
421,0.7455
422,0.7455
423,0.746
424,0.746
425,0.748
426,0.7555
427,0.7535
428,0.7535
429,0.7515
430,0.757
431,0.757
432,0.7545
433,0.752
434,0.7535
435,0.7535
436,0.762
437,0.765
438,0.763
439,0.7635
440,0.761
441,0.761
442,0.7615
443,0.76
444,0.76
445,0.76
446,0.76
447,0.76
448,0.7595
449,0.76
450,0.761
451,0.761
452,0.7605
453,0.7595
454,0.7595
455,0.7645
456,0.764
457,0.763
458,0.763
459,0.762
460,0.762
461,0.7625
462,0.765
463,0.752
464,0.752
465,0.7525
466,0.7435
467,0.7435
468,0.7455
469,0.7445
470,0.737
471,0.735
472,0.7345
473,0.7265
474,0.748
475,0.749
476,0.747
477,0.746
478,0.7275
479,0.755
480,0.752
481,0.755
482,0.754
483,0.756
484,0.759
485,0.7575
486,0.77
487,0.761
488,0.6685
489,0.6375
490,0.6765
491,0.698
492,0.695
493,0.693
494,0.733
495,0.2935
496,0.2935
497,0.2935
498,0.2935
499,0.2935
