num_removed,accuracy
0,0.7595
1,0.7595
2,0.76
3,0.7595
4,0.7595
5,0.7595
6,0.7595
7,0.759
8,0.758
9,0.755
10,0.755
11,0.754
12,0.7525
13,0.7485
14,0.7495
15,0.7485
16,0.75
17,0.75
18,0.7495
19,0.749
20,0.749
21,0.7485
22,0.7485
23,0.747
24,0.7465
25,0.7475
26,0.7455
27,0.7455
28,0.746
29,0.7455
30,0.746
31,0.7455
32,0.745
33,0.741
34,0.739
35,0.739
36,0.739
37,0.7365
38,0.7335
39,0.732
40,0.729
41,0.7285
42,0.728
43,0.7265
44,0.7245
45,0.7225
46,0.7225
47,0.7235
48,0.723
49,0.7225
50,0.7225
51,0.7225
52,0.722
53,0.7215
54,0.7205
55,0.7195
56,0.7205
57,0.719
58,0.719
59,0.7185
60,0.716
61,0.717
62,0.713
63,0.7125
64,0.7115
65,0.712
66,0.7135
67,0.712
68,0.7105
69,0.7115
70,0.7105
71,0.712
72,0.709
73,0.7095
74,0.709
75,0.71
76,0.711
77,0.7095
78,0.7095
79,0.7095
80,0.7105
81,0.71
82,0.71
83,0.7085
84,0.708
85,0.7085
86,0.7075
87,0.707
88,0.7065
89,0.7065
90,0.706
91,0.7065
92,0.7065
93,0.7075
94,0.7075
95,0.7075
96,0.7075
97,0.7075
98,0.7075
99,0.7075
100,0.706
101,0.7065
102,0.707
103,0.7065
104,0.7065
105,0.707
106,0.707
107,0.707
108,0.706
109,0.7085
110,0.7085
111,0.7085
112,0.7065
113,0.7075
114,0.7085
115,0.708
116,0.709
117,0.7085
118,0.7085
119,0.7075
120,0.7095
121,0.709
122,0.7095
123,0.7095
124,0.709
125,0.709
126,0.712
127,0.712
128,0.711
129,0.712
130,0.711
131,0.711
132,0.711
133,0.7095
134,0.71
135,0.712
136,0.712
137,0.711
138,0.711
139,0.7105
140,0.71
141,0.708
142,0.7065
143,0.7075
144,0.7055
145,0.705
146,0.7055
147,0.7055
148,0.7055
149,0.704
150,0.7025
151,0.701
152,0.7015
153,0.702
154,0.7025
155,0.7025
156,0.7025
157,0.7025
158,0.702
159,0.7025
160,0.703
161,0.704
162,0.7035
163,0.7025
164,0.7025
165,0.7015
166,0.701
167,0.701
168,0.701
169,0.701
170,0.7005
171,0.7005
172,0.699
173,0.699
174,0.699
175,0.6965
176,0.694
177,0.695
178,0.6935
179,0.697
180,0.6975
181,0.7025
182,0.703
183,0.703
184,0.7
185,0.7005
186,0.7005
187,0.6985
188,0.6985
189,0.6985
190,0.698
191,0.698
192,0.698
193,0.698
194,0.698
195,0.697
196,0.695
197,0.694
198,0.6925
199,0.691
200,0.6895
201,0.6885
202,0.6875
203,0.688
204,0.6915
205,0.691
206,0.6935
207,0.6935
208,0.693
209,0.6925
210,0.6945
211,0.695
212,0.6955
213,0.692
214,0.692
215,0.694
216,0.6945
217,0.6955
218,0.6955
219,0.6935
220,0.6925
221,0.6925
222,0.69
223,0.6875
224,0.6895
225,0.6885
226,0.6855
227,0.6855
228,0.682
229,0.682
230,0.681
231,0.681
232,0.676
233,0.6765
234,0.672
235,0.6695
236,0.6705
237,0.6665
238,0.6665
239,0.6655
240,0.6665
241,0.663
242,0.663
243,0.6645
244,0.6615
245,0.661
246,0.661
247,0.661
248,0.659
249,0.659
250,0.659
251,0.659
252,0.6595
253,0.6595
254,0.661
255,0.6615
256,0.6565
257,0.6565
258,0.6545
259,0.6555
260,0.651
261,0.651
262,0.6525
263,0.6525
264,0.656
265,0.644
266,0.6445
267,0.644
268,0.644
269,0.6435
270,0.6435
271,0.643
272,0.643
273,0.6425
274,0.641
275,0.641
276,0.639
277,0.644
278,0.644
279,0.644
280,0.6395
281,0.6395
282,0.641
283,0.64
284,0.64
285,0.64
286,0.636
287,0.637
288,0.631
289,0.6295
290,0.627
291,0.6265
292,0.6255
293,0.6255
294,0.621
295,0.6205
296,0.6205
297,0.6195
298,0.618
299,0.6165
300,0.612
301,0.61
302,0.6085
303,0.604
304,0.604
305,0.6045
306,0.604
307,0.606
308,0.6065
309,0.6075
310,0.607
311,0.6065
312,0.6015
313,0.601
314,0.5995
315,0.6005
316,0.601
317,0.6005
318,0.596
319,0.596
320,0.596
321,0.595
322,0.5915
323,0.592
324,0.5915
325,0.59
326,0.586
327,0.5855
328,0.5805
329,0.58
330,0.58
331,0.5785
332,0.5705
333,0.5695
334,0.5685
335,0.567
336,0.5605
337,0.559
338,0.5575
339,0.552
340,0.552
341,0.551
342,0.5555
343,0.558
344,0.545
345,0.5445
346,0.538
347,0.5185
348,0.5135
349,0.5055
350,0.506
351,0.504
352,0.5025
353,0.499
354,0.501
355,0.4985
356,0.4965
357,0.4945
358,0.494
359,0.4925
360,0.4965
361,0.4955
362,0.494
363,0.498
364,0.492
365,0.4715
366,0.4695
367,0.465
368,0.464
369,0.4595
370,0.459
371,0.459
372,0.4585
373,0.457
374,0.4525
375,0.4365
376,0.438
377,0.4235
378,0.4225
379,0.424
380,0.419
381,0.424
382,0.4135
383,0.4185
384,0.412
385,0.419
386,0.419
387,0.418
388,0.3975
389,0.3965
390,0.395
391,0.3885
392,0.378
393,0.381
394,0.381
395,0.3665
396,0.3695
397,0.3635
398,0.364
399,0.3575
400,0.3575
401,0.3515
402,0.3505
403,0.35
404,0.353
405,0.327
406,0.328
407,0.312
408,0.3125
409,0.3125
410,0.2665
411,0.257
412,0.258
413,0.265
414,0.2535
415,0.26
416,0.259
417,0.2615
418,0.2625
419,0.264
420,0.2635
421,0.26
422,0.2295
423,0.23
424,0.231
425,0.231
426,0.2305
427,0.231
428,0.23
429,0.231
430,0.2295
431,0.2295
432,0.238
433,0.2385
434,0.2365
435,0.241
436,0.237
437,0.234
438,0.233
439,0.233
440,0.2325
441,0.2315
442,0.2295
443,0.2295
444,0.23
445,0.2285
446,0.229
447,0.2275
448,0.2275
449,0.2265
450,0.2275
451,0.227
452,0.226
453,0.2275
454,0.228
455,0.2265
456,0.229
457,0.2285
458,0.2275
459,0.227
460,0.228
461,0.228
462,0.228
463,0.228
464,0.231
465,0.232
466,0.2385
467,0.238
468,0.2385
469,0.239
470,0.2655
471,0.268
472,0.272
473,0.2825
474,0.2765
475,0.27
476,0.2705
477,0.2565
478,0.251
479,0.2475
480,0.246
481,0.2435
482,0.243
483,0.242
484,0.2445
485,0.244
486,0.2435
487,0.245
488,0.246
489,0.257
490,0.2555
491,0.248
492,0.25
493,0.259
494,0.7065
495,0.7065
496,0.7065
497,0.7065
498,0.7065
499,0.7065
