num_removed,accuracy
0,0.745
1,0.7455
2,0.7455
3,0.745
4,0.7455
5,0.7455
6,0.7455
7,0.7455
8,0.745
9,0.7455
10,0.7455
11,0.745
12,0.7455
13,0.745
14,0.748
15,0.749
16,0.7495
17,0.749
18,0.7485
19,0.7485
20,0.749
21,0.7515
22,0.751
23,0.751
24,0.751
25,0.751
26,0.7505
27,0.7505
28,0.75
29,0.7505
30,0.7535
31,0.7505
32,0.7505
33,0.7505
34,0.7505
35,0.751
36,0.7515
37,0.754
38,0.754
39,0.7545
40,0.7545
41,0.7545
42,0.7545
43,0.756
44,0.756
45,0.7565
46,0.756
47,0.756
48,0.756
49,0.756
50,0.755
51,0.756
52,0.757
53,0.753
54,0.7525
55,0.7535
56,0.7535
57,0.753
58,0.7535
59,0.7535
60,0.753
61,0.7525
62,0.7525
63,0.753
64,0.7525
65,0.7525
66,0.751
67,0.7515
68,0.7515
69,0.752
70,0.752
71,0.751
72,0.7505
73,0.751
74,0.7515
75,0.752
76,0.7515
77,0.7515
78,0.7515
79,0.7505
80,0.7515
81,0.752
82,0.752
83,0.7525
84,0.7525
85,0.753
86,0.753
87,0.7535
88,0.7535
89,0.7535
90,0.754
91,0.754
92,0.7535
93,0.752
94,0.7525
95,0.751
96,0.752
97,0.752
98,0.7525
99,0.7535
100,0.7535
101,0.754
102,0.7545
103,0.7545
104,0.7515
105,0.7515
106,0.7515
107,0.7515
108,0.7515
109,0.7485
110,0.748
111,0.748
112,0.7485
113,0.748
114,0.748
115,0.7495
116,0.749
117,0.7505
118,0.75
119,0.749
120,0.7495
121,0.751
122,0.7515
123,0.751
124,0.752
125,0.7525
126,0.752
127,0.7525
128,0.7525
129,0.752
130,0.752
131,0.753
132,0.753
133,0.753
134,0.752
135,0.7535
136,0.755
137,0.753
138,0.7505
139,0.7515
140,0.7535
141,0.753
142,0.753
143,0.755
144,0.7545
145,0.7555
146,0.7535
147,0.753
148,0.7505
149,0.7495
150,0.7485
151,0.7455
152,0.7445
153,0.7435
154,0.7435
155,0.745
156,0.74
157,0.74
158,0.7415
159,0.7435
160,0.744
161,0.7405
162,0.739
163,0.741
164,0.7405
165,0.742
166,0.7425
167,0.7395
168,0.7385
169,0.743
