num_removed,accuracy
0,0.745
1,0.746
2,0.7445
3,0.7445
4,0.747
5,0.7485
6,0.753
7,0.7535
8,0.7525
9,0.7535
10,0.7545
11,0.754
12,0.755
13,0.755
14,0.754
15,0.753
16,0.755
17,0.7535
18,0.7545
19,0.752
20,0.753
21,0.7545
22,0.758
23,0.759
24,0.7605
25,0.7575
26,0.7605
27,0.761
28,0.7635
29,0.762
30,0.762
31,0.7615
32,0.761
33,0.762
34,0.763
35,0.762
36,0.762
37,0.7645
38,0.766
39,0.764
40,0.7645
41,0.7665
42,0.767
43,0.769
44,0.769
45,0.769
46,0.7685
47,0.768
48,0.7645
49,0.7675
50,0.7695
51,0.77
52,0.7695
53,0.77
54,0.77
55,0.7705
56,0.77
57,0.7705
58,0.7705
59,0.771
60,0.771
61,0.7705
62,0.7705
63,0.77
64,0.7725
65,0.772
66,0.772
67,0.772
68,0.77
69,0.77
70,0.769
71,0.7685
72,0.7685
73,0.7685
74,0.771
75,0.771
76,0.771
77,0.771
78,0.771
79,0.7735
80,0.774
81,0.774
82,0.774
83,0.774
84,0.7715
85,0.7725
86,0.772
87,0.7705
88,0.77
89,0.772
90,0.772
91,0.772
92,0.7705
93,0.7705
94,0.77
95,0.7705
96,0.7705
97,0.7705
98,0.7705
99,0.7705
100,0.77
101,0.77
102,0.77
103,0.7695
104,0.77
105,0.7715
106,0.7705
107,0.7665
108,0.767
109,0.767
110,0.7665
111,0.7665
112,0.767
113,0.7695
114,0.77
115,0.7695
116,0.77
117,0.7685
118,0.769
119,0.768
120,0.7665
121,0.7665
122,0.767
123,0.767
124,0.767
125,0.7685
126,0.7685
127,0.7685
128,0.77
129,0.77
130,0.77
131,0.7695
132,0.7695
133,0.7695
134,0.769
135,0.772
136,0.7725
137,0.77
138,0.77
139,0.7705
140,0.771
141,0.771
142,0.7705
143,0.7705
144,0.7675
145,0.767
146,0.768
147,0.7675
148,0.766
149,0.7665
150,0.766
151,0.7665
152,0.767
153,0.7655
154,0.767
155,0.7685
156,0.7675
157,0.7645
158,0.763
159,0.7625
160,0.7605
161,0.761
162,0.761
163,0.761
164,0.7615
165,0.7615
166,0.7615
167,0.7615
168,0.7645
169,0.7605
170,0.7605
171,0.7605
172,0.759
173,0.7595
174,0.7595
175,0.7595
176,0.757
177,0.7565
178,0.756
179,0.756
180,0.756
181,0.7565
182,0.7565
183,0.7565
184,0.757
185,0.7585
186,0.7575
187,0.758
188,0.7585
189,0.757
190,0.7575
191,0.757
192,0.759
193,0.759
194,0.7585
195,0.759
196,0.7595
197,0.7595
198,0.7575
199,0.755
200,0.755
201,0.757
202,0.7545
203,0.7545
204,0.755
205,0.755
206,0.7535
207,0.7535
208,0.7535
209,0.7535
210,0.7535
211,0.7515
212,0.75
213,0.751
214,0.7505
215,0.751
216,0.751
217,0.751
218,0.7495
219,0.749
220,0.749
221,0.749
222,0.75
223,0.7495
224,0.7515
225,0.7515
226,0.7515
227,0.7515
228,0.7515
229,0.752
230,0.752
231,0.752
232,0.75
233,0.75
234,0.7505
235,0.749
236,0.749
237,0.7485
238,0.7485
239,0.7485
240,0.7485
241,0.748
242,0.7475
243,0.754
244,0.754
245,0.754
246,0.7535
247,0.7535
248,0.7535
249,0.754
250,0.754
251,0.7505
252,0.7505
253,0.75
254,0.7505
255,0.7505
256,0.7515
257,0.751
258,0.751
259,0.747
260,0.747
261,0.747
262,0.746
263,0.746
264,0.746
265,0.7475
266,0.7475
267,0.7475
268,0.7455
269,0.746
270,0.746
271,0.746
272,0.7445
273,0.745
274,0.7465
275,0.7465
276,0.7465
277,0.747
278,0.7475
279,0.748
280,0.749
281,0.7475
282,0.7475
283,0.747
284,0.747
285,0.747
286,0.7465
287,0.747
288,0.7465
289,0.747
290,0.7485
291,0.7485
292,0.7485
293,0.7485
294,0.746
295,0.746
296,0.746
297,0.7495
298,0.7495
299,0.749
300,0.749
301,0.749
302,0.749
303,0.7475
304,0.7475
305,0.7475
306,0.7445
307,0.7455
308,0.74
309,0.7395
310,0.7395
311,0.7395
312,0.7395
313,0.7395
314,0.7395
315,0.7365
316,0.7365
317,0.737
318,0.737
319,0.737
320,0.737
321,0.7375
322,0.736
323,0.736
324,0.738
325,0.738
326,0.738
327,0.7375
328,0.7375
329,0.7375
330,0.7375
331,0.7375
332,0.7315
333,0.7315
334,0.7315
335,0.7335
336,0.735
337,0.7355
338,0.7355
339,0.7365
340,0.7445
341,0.7445
342,0.744
343,0.7435
344,0.7435
345,0.7435
346,0.742
347,0.7415
348,0.742
349,0.742
350,0.742
351,0.742
352,0.742
353,0.745
354,0.745
355,0.743
356,0.743
357,0.743
358,0.7435
359,0.7435
360,0.7435
361,0.7435
362,0.7435
363,0.7435
364,0.7435
365,0.738
366,0.738
367,0.738
368,0.738
369,0.738
370,0.738
371,0.738
372,0.738
373,0.738
374,0.738
375,0.738
376,0.738
377,0.738
378,0.738
379,0.738
380,0.741
381,0.741
382,0.74
383,0.74
384,0.74
385,0.7405
386,0.7405
387,0.7405
388,0.7405
389,0.74
390,0.74
391,0.74
392,0.7415
393,0.741
394,0.741
395,0.741
396,0.741
397,0.737
398,0.7365
399,0.7365
400,0.737
401,0.7375
402,0.7375
403,0.7375
404,0.737
405,0.7375
406,0.73
407,0.7305
408,0.714
409,0.714
410,0.714
411,0.714
412,0.714
413,0.713
414,0.7125
415,0.7125
416,0.713
417,0.7125
418,0.7125
419,0.7125
420,0.7125
421,0.7125
422,0.7125
423,0.7125
424,0.7125
425,0.7125
426,0.7125
427,0.7125
428,0.7125
429,0.7125
430,0.7125
431,0.7125
432,0.7125
433,0.7125
434,0.7125
435,0.7125
436,0.7125
437,0.7125
438,0.7125
439,0.7125
440,0.7125
441,0.7125
442,0.7125
443,0.7125
444,0.7125
445,0.7125
446,0.7125
447,0.7125
448,0.7195
449,0.7195
450,0.719
451,0.7065
452,0.7065
453,0.7065
454,0.7065
455,0.7065
456,0.7065
457,0.7065
458,0.7065
459,0.7065
460,0.7065
461,0.7065
462,0.7065
463,0.7065
464,0.7065
465,0.7065
466,0.7065
467,0.7065
468,0.7065
469,0.7065
470,0.7065
471,0.7065
472,0.7065
473,0.7065
474,0.7065
475,0.7065
476,0.7065
477,0.7065
478,0.7065
479,0.7065
480,0.7065
481,0.7065
482,0.7065
483,0.7065
484,0.7065
485,0.7065
486,0.7065
487,0.7065
488,0.7065
489,0.7065
