num_removed,accuracy
0,0.745
1,0.745
2,0.746
3,0.7495
4,0.753
5,0.753
6,0.7555
7,0.753
8,0.755
9,0.7575
10,0.759
11,0.761
12,0.7605
13,0.7625
14,0.7655
15,0.7655
16,0.767
17,0.7685
18,0.7685
19,0.7695
20,0.771
21,0.773
22,0.772
23,0.7715
24,0.772
25,0.7735
26,0.774
27,0.7735
28,0.778
29,0.7785
30,0.778
31,0.778
32,0.779
33,0.779
34,0.779
35,0.778
36,0.78
37,0.779
38,0.7785
39,0.78
40,0.778
41,0.7765
42,0.778
43,0.7785
44,0.778
45,0.778
46,0.777
47,0.777
48,0.776
49,0.778
50,0.779
51,0.778
52,0.7775
53,0.778
54,0.777
55,0.777
56,0.7805
57,0.7795
58,0.7785
59,0.778
60,0.778
61,0.776
62,0.7775
63,0.778
64,0.7775
65,0.7775
66,0.7765
67,0.777
68,0.776
69,0.777
70,0.7775
71,0.7775
72,0.778
73,0.7785
74,0.7795
75,0.779
76,0.779
77,0.7785
78,0.779
79,0.779
80,0.7785
81,0.7785
82,0.779
83,0.7785
84,0.7775
85,0.7775
86,0.7785
87,0.7785
88,0.7765
89,0.7765
90,0.7765
91,0.7775
92,0.7785
93,0.7785
94,0.7785
95,0.778
96,0.7785
97,0.777
98,0.7785
99,0.778
100,0.777
101,0.777
102,0.7785
103,0.779
104,0.7775
105,0.7775
106,0.777
107,0.777
108,0.777
109,0.777
110,0.778
111,0.7775
112,0.7775
113,0.7775
114,0.7775
115,0.777
116,0.777
117,0.777
118,0.777
119,0.776
120,0.776
121,0.776
122,0.7755
123,0.7765
124,0.775
125,0.7775
126,0.7785
127,0.779
128,0.7795
129,0.777
130,0.777
131,0.777
132,0.7765
133,0.7765
134,0.777
135,0.7785
136,0.7785
137,0.7785
138,0.7775
139,0.7775
140,0.7775
141,0.778
142,0.778
143,0.7775
144,0.777
145,0.777
146,0.777
147,0.777
148,0.7775
149,0.7775
150,0.7775
151,0.7775
152,0.7775
153,0.7775
154,0.777
155,0.777
156,0.777
157,0.777
158,0.777
159,0.777
160,0.777
161,0.7775
162,0.778
163,0.778
164,0.777
165,0.777
166,0.777
167,0.777
168,0.777
169,0.777
170,0.777
171,0.777
172,0.777
173,0.777
174,0.777
175,0.777
176,0.777
177,0.777
178,0.777
179,0.777
180,0.7775
181,0.778
182,0.7785
183,0.7785
184,0.7785
185,0.7795
186,0.779
187,0.779
188,0.78
189,0.78
190,0.7805
191,0.7795
192,0.78
193,0.78
194,0.78
195,0.78
196,0.7795
197,0.779
198,0.7795
199,0.779
200,0.7785
201,0.7785
202,0.7795
203,0.7815
204,0.7815
205,0.7815
206,0.7815
207,0.7815
208,0.7815
209,0.7815
210,0.7815
211,0.7815
212,0.7815
213,0.7805
214,0.7835
215,0.7835
216,0.7825
217,0.7825
218,0.7825
219,0.7825
220,0.7825
221,0.7825
222,0.7825
223,0.7825
224,0.7825
225,0.7825
226,0.7825
227,0.7825
228,0.7825
229,0.7825
230,0.7835
231,0.7835
232,0.783
233,0.783
234,0.783
235,0.782
236,0.782
237,0.782
238,0.782
239,0.7835
240,0.7805
241,0.7805
242,0.7805
243,0.7805
244,0.782
245,0.782
246,0.7815
247,0.7815
248,0.782
249,0.782
250,0.782
251,0.781
252,0.781
253,0.781
254,0.781
255,0.781
256,0.781
257,0.781
258,0.781
259,0.7825
260,0.7825
261,0.7825
262,0.7825
263,0.7825
264,0.7825
265,0.7815
266,0.7815
267,0.7815
268,0.7815
269,0.7815
270,0.783
271,0.7815
272,0.7815
273,0.781
274,0.781
275,0.781
276,0.781
277,0.781
278,0.7825
279,0.7825
280,0.783
281,0.783
282,0.7785
283,0.7785
284,0.7785
285,0.7765
286,0.7765
287,0.776
288,0.7765
289,0.776
290,0.776
291,0.7755
292,0.7755
293,0.7755
294,0.7755
295,0.7775
296,0.777
297,0.777
298,0.7775
299,0.777
300,0.7775
301,0.7775
302,0.7775
303,0.7775
304,0.777
305,0.777
306,0.777
307,0.7765
308,0.777
309,0.777
310,0.7775
311,0.778
312,0.778
313,0.777
314,0.777
315,0.7785
316,0.779
317,0.779
318,0.779
319,0.778
320,0.778
321,0.7775
322,0.7775
323,0.7775
324,0.7775
325,0.7775
326,0.7775
327,0.7755
328,0.7755
329,0.773
330,0.773
331,0.773
332,0.7735
333,0.7755
334,0.776
335,0.7755
336,0.7755
337,0.776
338,0.7735
339,0.773
340,0.7735
341,0.774
342,0.774
343,0.7745
344,0.7745
345,0.7745
346,0.775
347,0.7745
348,0.7745
349,0.7745
350,0.775
351,0.7745
352,0.7745
353,0.7745
354,0.7745
355,0.7745
356,0.7755
357,0.7755
358,0.7755
359,0.7745
360,0.7745
361,0.775
362,0.775
363,0.7745
364,0.7755
365,0.7745
366,0.7745
367,0.774
368,0.7745
369,0.775
370,0.7755
371,0.774
372,0.774
373,0.774
374,0.7735
375,0.773
376,0.774
377,0.775
378,0.775
379,0.776
380,0.775
381,0.7755
382,0.776
383,0.7765
384,0.7755
385,0.775
386,0.775
387,0.7745
388,0.773
389,0.773
390,0.773
391,0.773
392,0.7735
393,0.7735
394,0.773
395,0.773
396,0.7735
397,0.7735
398,0.7735
399,0.774
400,0.7745
401,0.7745
402,0.775
403,0.7745
404,0.7745
405,0.774
406,0.774
407,0.7735
408,0.774
409,0.7735
410,0.774
411,0.774
412,0.7735
413,0.775
414,0.774
415,0.773
416,0.773
417,0.773
418,0.7735
419,0.775
420,0.7745
421,0.776
422,0.775
423,0.7745
424,0.7745
425,0.7735
426,0.773
427,0.773
428,0.773
429,0.7715
430,0.772
431,0.7725
432,0.7715
433,0.7715
434,0.7725
435,0.772
436,0.772
437,0.773
438,0.773
439,0.773
440,0.772
441,0.7725
442,0.772
443,0.772
444,0.772
445,0.772
446,0.7725
447,0.7725
448,0.7725
449,0.7725
450,0.773
451,0.773
452,0.7715
453,0.7725
454,0.7735
455,0.774
456,0.7745
457,0.7725
458,0.7725
459,0.7735
460,0.7735
461,0.7735
462,0.772
463,0.773
464,0.7725
465,0.7725
466,0.773
467,0.7735
468,0.7725
469,0.772
470,0.772
471,0.772
472,0.7725
473,0.7755
474,0.7755
475,0.775
476,0.777
477,0.776
478,0.7765
479,0.7755
480,0.7735
481,0.7755
482,0.776
483,0.7795
484,0.779
485,0.7765
486,0.777
487,0.7765
488,0.775
489,0.773
490,0.7745
491,0.7745
492,0.769
493,0.7685
494,0.75
495,0.7535
496,0.75
497,0.7005
498,0.682
499,0.7065
