num_removed,accuracy
0,0.7525
1,0.7525
2,0.7525
3,0.7525
4,0.752
5,0.752
6,0.752
7,0.752
8,0.752
9,0.752
10,0.752
11,0.752
12,0.752
13,0.7525
14,0.7525
15,0.753
16,0.753
17,0.7535
18,0.7535
19,0.7535
20,0.7535
21,0.753
22,0.753
23,0.7525
24,0.7525
25,0.7525
26,0.753
27,0.7525
28,0.753
29,0.7525
30,0.753
31,0.753
32,0.7535
33,0.7535
34,0.7535
35,0.7535
36,0.753
37,0.753
38,0.753
39,0.7535
40,0.7535
41,0.7535
42,0.7525
43,0.7525
44,0.7535
45,0.7535
46,0.7535
47,0.7545
48,0.755
49,0.755
50,0.755
51,0.7545
52,0.7545
53,0.7545
54,0.755
55,0.755
56,0.756
57,0.7555
58,0.7555
59,0.7555
60,0.7555
61,0.755
62,0.7555
63,0.7555
64,0.755
65,0.755
66,0.7555
67,0.755
68,0.755
69,0.7555
70,0.756
71,0.756
72,0.756
73,0.756
74,0.756
75,0.7555
76,0.756
77,0.7555
78,0.756
79,0.756
80,0.7555
81,0.7555
82,0.7555
83,0.756
84,0.756
85,0.7565
86,0.7565
87,0.7565
88,0.757
89,0.7565
90,0.757
91,0.757
92,0.7565
93,0.757
94,0.757
95,0.757
96,0.7575
97,0.758
98,0.7585
99,0.758
100,0.7585
101,0.7585
102,0.758
103,0.7605
104,0.7605
105,0.7605
106,0.7615
107,0.7615
108,0.7615
109,0.761
110,0.7615
111,0.76
112,0.76
113,0.761
114,0.7615
115,0.7615
116,0.7615
117,0.761
118,0.761
119,0.761
120,0.761
121,0.7615
122,0.7615
123,0.7615
124,0.762
125,0.762
126,0.761
127,0.762
128,0.7625
129,0.7625
130,0.7625
131,0.763
132,0.7625
133,0.7625
134,0.762
135,0.762
136,0.762
137,0.763
138,0.763
139,0.763
140,0.763
141,0.7625
142,0.7625
143,0.7615
144,0.762
145,0.762
146,0.762
147,0.7625
148,0.763
149,0.7635
150,0.7635
151,0.763
152,0.7625
153,0.763
154,0.7605
155,0.7605
156,0.761
157,0.7605
158,0.761
159,0.76
160,0.7575
161,0.7555
162,0.755
163,0.756
164,0.7565
165,0.7515
166,0.7525
167,0.755
168,0.7545
169,0.7285
170,0.699
171,0.698
172,0.692
173,0.69
174,0.69
175,0.688
176,0.687
177,0.676
178,0.6495
179,0.647
180,0.643
181,0.6415
182,0.6235
183,0.624
184,0.624
185,0.6195
186,0.6205
187,0.621
188,0.623
189,0.621
190,0.6145
191,0.6135
192,0.5925
193,0.594
194,0.596
195,0.596
196,0.5945
197,0.5795
198,0.58
199,0.5785
200,0.577
201,0.577
202,0.5695
203,0.5685
204,0.5695
205,0.571
206,0.573
207,0.5685
208,0.5725
209,0.574
210,0.57
211,0.569
212,0.5605
213,0.562
214,0.5555
215,0.5555
216,0.555
217,0.5505
218,0.54
219,0.5385
220,0.5395
221,0.5375
222,0.526
223,0.524
224,0.5255
225,0.526
226,0.524
227,0.521
228,0.5165
229,0.5145
230,0.5125
231,0.51
232,0.5065
233,0.5035
234,0.501
235,0.4985
236,0.492
237,0.4805
238,0.469
239,0.4685
240,0.4665
241,0.4615
242,0.4615
243,0.46
244,0.4555
245,0.4525
246,0.4545
247,0.451
248,0.453
249,0.435
250,0.434
251,0.432
252,0.4315
253,0.4305
254,0.428
255,0.4275
256,0.4265
257,0.422
258,0.419
259,0.419
260,0.419
261,0.417
262,0.415
263,0.413
264,0.4095
265,0.4085
266,0.407
267,0.4075
268,0.405
269,0.4035
270,0.402
271,0.397
272,0.394
273,0.391
274,0.3845
275,0.382
276,0.377
277,0.3735
278,0.371
279,0.364
280,0.3725
281,0.3705
282,0.363
283,0.3595
284,0.3615
285,0.3575
286,0.355
287,0.352
288,0.3505
289,0.347
290,0.3415
291,0.339
292,0.3375
293,0.3315
294,0.329
295,0.329
296,0.326
297,0.3235
298,0.3265
299,0.326
300,0.324
301,0.3215
302,0.3185
303,0.3145
304,0.3055
305,0.3085
306,0.302
307,0.3
308,0.302
309,0.302
310,0.3
311,0.298
312,0.295
313,0.2925
314,0.292
315,0.2895
316,0.288
317,0.2885
318,0.2855
319,0.282
320,0.281
321,0.279
322,0.2785
323,0.3145
324,0.314
325,0.3165
326,0.316
327,0.3155
328,0.312
329,0.313
330,0.313
331,0.3135
332,0.3145
333,0.3135
334,0.311
335,0.306
336,0.306
337,0.3015
338,0.3015
339,0.303
340,0.302
341,0.3025
342,0.3025
343,0.289
344,0.289
345,0.2885
346,0.29
347,0.288
348,0.2875
349,0.287
350,0.289
351,0.289
352,0.285
353,0.286
354,0.2855
355,0.286
356,0.285
357,0.284
358,0.286
359,0.2855
360,0.286
361,0.2855
362,0.286
363,0.2865
364,0.287
365,0.287
366,0.286
367,0.285
368,0.2865
369,0.286
370,0.2835
371,0.284
372,0.287
373,0.287
374,0.2845
375,0.2855
376,0.2815
377,0.281
378,0.2815
379,0.282
380,0.285
381,0.286
382,0.285
383,0.282
384,0.282
385,0.276
386,0.278
387,0.2765
388,0.276
389,0.277
390,0.2785
391,0.2775
392,0.2725
393,0.273
394,0.274
395,0.2735
396,0.2715
397,0.272
398,0.2725
399,0.27
400,0.2685
401,0.2685
402,0.2675
403,0.2675
404,0.269
405,0.269
406,0.2685
407,0.268
408,0.267
409,0.266
410,0.261
411,0.2605
412,0.261
413,0.259
414,0.26
415,0.2605
416,0.261
417,0.262
418,0.2615
419,0.2665
420,0.267
421,0.264
422,0.2635
423,0.264
424,0.264
425,0.264
426,0.2655
427,0.2635
428,0.2645
429,0.265
430,0.2645
431,0.2635
432,0.2595
433,0.26
434,0.262
435,0.2595
436,0.257
437,0.2545
438,0.251
439,0.252
440,0.2615
441,0.2765
442,0.2775
443,0.2765
444,0.2755
445,0.2745
446,0.2745
447,0.2745
448,0.276
449,0.278
450,0.2785
451,0.281
452,0.29
453,0.2985
454,0.3995
455,0.3995
456,0.687
457,0.684
458,0.683
459,0.6885
460,0.6885
461,0.688
462,0.6885
463,0.6895
464,0.689
465,0.686
466,0.6925
467,0.6925
468,0.693
469,0.693
470,0.6935
471,0.695
472,0.6945
473,0.694
