num_removed,accuracy
0,0.7525
1,0.7525
2,0.7525
3,0.7525
4,0.7525
5,0.7525
6,0.753
7,0.7525
8,0.7525
9,0.753
10,0.7535
11,0.7535
12,0.7565
13,0.7575
14,0.7575
15,0.758
16,0.7585
17,0.759
18,0.7565
19,0.7565
20,0.758
21,0.757
22,0.756
23,0.756
24,0.756
25,0.7565
26,0.7565
27,0.7565
28,0.7565
29,0.7555
30,0.755
31,0.7535
32,0.7555
33,0.755
34,0.7565
35,0.757
36,0.757
37,0.7565
38,0.7585
39,0.7585
40,0.7595
41,0.76
42,0.759
43,0.7605
44,0.761
45,0.7595
46,0.7595
47,0.758
48,0.759
49,0.759
50,0.758
51,0.7595
52,0.7605
53,0.7625
54,0.763
55,0.7625
56,0.7635
57,0.7635
58,0.766
59,0.766
60,0.7665
61,0.767
62,0.7685
63,0.7685
64,0.7685
65,0.7685
66,0.7695
67,0.767
68,0.768
69,0.7665
70,0.768
71,0.7685
72,0.7685
73,0.7685
74,0.768
75,0.768
76,0.768
77,0.769
78,0.768
79,0.7675
80,0.7675
81,0.7675
82,0.77
83,0.769
84,0.769
85,0.769
86,0.769
87,0.769
88,0.7685
89,0.769
90,0.7685
91,0.7685
92,0.77
93,0.77
94,0.7705
95,0.7705
96,0.7705
97,0.7705
98,0.7705
99,0.771
100,0.769
101,0.7685
102,0.7685
103,0.7685
104,0.769
105,0.77
106,0.769
107,0.769
108,0.769
109,0.7695
110,0.7695
111,0.7705
112,0.771
113,0.7705
114,0.7705
115,0.7705
116,0.77
117,0.7715
118,0.77
119,0.7695
120,0.7695
121,0.767
122,0.7675
123,0.7665
124,0.7665
125,0.7685
126,0.7685
127,0.768
128,0.768
129,0.7685
130,0.7685
131,0.769
132,0.7695
133,0.7675
134,0.7685
135,0.769
136,0.7675
137,0.7685
138,0.7685
139,0.769
140,0.7685
141,0.768
142,0.768
143,0.768
144,0.768
145,0.768
146,0.768
147,0.768
148,0.7655
149,0.7685
150,0.769
151,0.769
152,0.7685
153,0.768
154,0.7685
155,0.7685
156,0.7685
157,0.7685
158,0.7675
159,0.7695
160,0.768
161,0.768
162,0.7685
163,0.7695
164,0.77
165,0.771
166,0.7695
167,0.7695
168,0.7695
169,0.7685
170,0.768
171,0.768
172,0.7695
173,0.768
174,0.7685
175,0.7685
176,0.7685
177,0.7665
178,0.767
179,0.764
180,0.7645
181,0.765
182,0.7655
183,0.763
184,0.7645
185,0.764
186,0.761
187,0.7615
188,0.7615
189,0.7655
190,0.764
191,0.7635
192,0.7625
193,0.7625
194,0.7625
195,0.7605
196,0.76
197,0.759
198,0.759
199,0.756
200,0.7565
201,0.759
202,0.759
203,0.759
204,0.759
205,0.759
206,0.76
207,0.7605
208,0.7585
209,0.7585
210,0.755
211,0.7585
212,0.7595
213,0.7585
214,0.758
215,0.7585
216,0.7595
217,0.759
218,0.759
219,0.759
220,0.759
221,0.7595
222,0.7585
223,0.759
224,0.7585
225,0.7605
226,0.7605
227,0.7605
228,0.7615
229,0.76
230,0.761
231,0.761
232,0.761
233,0.7605
234,0.763
235,0.7635
236,0.76
237,0.761
238,0.757
239,0.7575
240,0.753
241,0.753
242,0.7535
243,0.755
244,0.755
245,0.754
246,0.754
247,0.754
248,0.7545
249,0.755
250,0.7545
251,0.756
252,0.7565
253,0.756
254,0.757
255,0.757
256,0.756
257,0.755
258,0.755
259,0.7565
260,0.757
261,0.7585
262,0.7595
263,0.7565
264,0.757
265,0.7555
266,0.7555
267,0.758
268,0.759
269,0.761
270,0.7615
271,0.76
272,0.76
273,0.7595
274,0.759
275,0.759
276,0.7595
277,0.7595
278,0.7615
279,0.762
280,0.7615
281,0.7625
282,0.763
283,0.763
284,0.763
285,0.763
286,0.7615
287,0.7625
288,0.7595
289,0.759
290,0.7585
291,0.7575
292,0.7555
293,0.755
294,0.755
295,0.757
296,0.7575
297,0.76
298,0.76
299,0.76
300,0.7605
301,0.759
302,0.762
303,0.763
304,0.7605
305,0.7605
306,0.761
307,0.761
308,0.7575
309,0.758
310,0.7605
311,0.759
312,0.7585
313,0.764
314,0.766
315,0.766
316,0.7635
317,0.7605
318,0.762
319,0.766
320,0.7665
321,0.7605
322,0.761
323,0.7605
324,0.7605
325,0.7605
326,0.7605
327,0.7605
328,0.7605
329,0.759
330,0.7585
331,0.7585
332,0.7585
333,0.759
334,0.755
335,0.7545
336,0.754
337,0.7565
338,0.756
339,0.7585
340,0.7545
341,0.7565
342,0.756
343,0.756
344,0.758
345,0.7575
346,0.7585
347,0.7575
348,0.755
349,0.753
350,0.753
351,0.753
352,0.749
353,0.7495
354,0.7505
355,0.7515
356,0.7495
357,0.756
358,0.755
359,0.757
360,0.755
361,0.7555
362,0.758
363,0.7585
364,0.757
365,0.757
366,0.7545
367,0.753
368,0.753
369,0.752
370,0.752
371,0.754
372,0.759
373,0.759
374,0.7605
375,0.761
376,0.7615
377,0.759
378,0.7605
379,0.7565
380,0.7565
381,0.755
382,0.7585
383,0.755
384,0.756
385,0.7465
386,0.7475
387,0.7505
388,0.7515
389,0.7505
390,0.751
391,0.7465
392,0.752
393,0.7525
394,0.7525
395,0.7515
396,0.7475
397,0.7485
398,0.7485
399,0.7505
400,0.7495
401,0.7485
402,0.7365
403,0.7445
404,0.7435
405,0.7345
406,0.7305
407,0.732
408,0.7415
409,0.7345
410,0.735
411,0.735
412,0.7385
413,0.727
414,0.723
415,0.7235
416,0.7245
417,0.7245
418,0.7195
419,0.713
420,0.7125
421,0.71
422,0.71
423,0.71
424,0.71
425,0.714
426,0.709
427,0.7085
428,0.7015
429,0.7015
430,0.706
431,0.707
432,0.707
433,0.701
434,0.7075
435,0.706
436,0.7185
437,0.72
438,0.7205
439,0.7165
440,0.7245
441,0.7315
442,0.7335
443,0.7415
444,0.7545
445,0.755
446,0.7455
447,0.7655
448,0.7655
449,0.7375
450,0.7315
451,0.728
452,0.729
453,0.7325
454,0.7325
455,0.729
456,0.725
457,0.716
458,0.7175
459,0.7205
460,0.7095
461,0.749
462,0.736
463,0.746
464,0.7425
465,0.742
466,0.6905
467,0.7035
468,0.7005
