num_removed,accuracy
0,0.7785
1,0.7795
2,0.7775
3,0.7805
4,0.7875
5,0.779
6,0.7735
7,0.778
8,0.7715
9,0.7745
10,0.7795
11,0.777
12,0.774
13,0.7775
14,0.768
15,0.778
16,0.7805
17,0.7785
18,0.77
19,0.766
20,0.774
21,0.7635
22,0.7675
23,0.765
24,0.7675
25,0.7625
26,0.771
27,0.7765
28,0.772
29,0.771
30,0.7705
31,0.77
32,0.7725
33,0.7685
34,0.773
35,0.7695
36,0.7635
37,0.767
38,0.776
39,0.7645
40,0.7675
41,0.7725
42,0.768
43,0.7605
44,0.762
45,0.763
46,0.7585
47,0.759
48,0.7605
49,0.765
50,0.7585
51,0.7645
52,0.767
53,0.757
54,0.7575
55,0.7495
56,0.753
57,0.76
58,0.7585
59,0.7645
60,0.7605
61,0.7605
62,0.76
63,0.76
64,0.7565
65,0.75
66,0.7545
67,0.7565
68,0.75
69,0.751
70,0.751
71,0.7485
72,0.7555
73,0.75
74,0.743
75,0.7435
76,0.7545
77,0.739
78,0.7475
79,0.7465
80,0.7485
81,0.737
82,0.745
83,0.746
84,0.741
85,0.743
86,0.7465
87,0.729
88,0.7335
89,0.7325
90,0.745
91,0.7255
92,0.73
93,0.736
94,0.724
95,0.728
96,0.7355
97,0.734
98,0.735
99,0.7355
100,0.725
101,0.73
102,0.7405
103,0.7325
104,0.7275
105,0.729
106,0.7335
107,0.7265
108,0.7285
109,0.725
110,0.743
111,0.731
112,0.737
113,0.738
114,0.732
115,0.737
116,0.7205
117,0.736
118,0.732
119,0.728
120,0.7285
121,0.7295
122,0.7195
123,0.7245
124,0.7275
125,0.721
126,0.719
127,0.717
128,0.718
129,0.721
130,0.729
131,0.7285
132,0.7285
133,0.727
134,0.7345
135,0.7255
136,0.7205
137,0.726
138,0.717
139,0.7235
140,0.7205
141,0.719
142,0.73
143,0.7245
144,0.7245
145,0.731
146,0.7265
147,0.725
148,0.7235
149,0.735
150,0.726
151,0.712
152,0.7195
153,0.716
154,0.727
155,0.7135
156,0.7105
157,0.721
158,0.713
159,0.714
160,0.7185
161,0.7105
162,0.719
163,0.7015
164,0.7155
165,0.711
166,0.7105
167,0.7095
168,0.7095
169,0.7155
170,0.7065
171,0.707
172,0.71
173,0.707
174,0.7075
175,0.6915
176,0.7015
177,0.6895
178,0.687
179,0.6975
180,0.6845
181,0.684
182,0.681
183,0.687
184,0.682
185,0.6785
186,0.6725
187,0.6865
188,0.664
189,0.6815
190,0.6775
191,0.6765
192,0.6605
193,0.678
194,0.6735
195,0.6855
196,0.6805
197,0.678
198,0.6835
199,0.6735
200,0.681
201,0.6785
202,0.6635
203,0.6725
204,0.67
205,0.6765
206,0.6735
207,0.663
208,0.665
209,0.6665
210,0.678
211,0.666
212,0.6595
213,0.6795
214,0.6725
215,0.674
216,0.676
217,0.6655
218,0.6515
219,0.658
220,0.6645
221,0.668
222,0.661
223,0.658
224,0.657
225,0.658
226,0.642
227,0.646
228,0.641
229,0.642
230,0.6505
231,0.648
232,0.648
233,0.649
234,0.64
235,0.638
236,0.6405
237,0.6355
238,0.6365
239,0.6405
240,0.6385
241,0.643
242,0.638
243,0.6215
244,0.6325
245,0.6225
246,0.626
247,0.629
248,0.63
249,0.617
250,0.6185
251,0.619
252,0.6295
253,0.624
254,0.6315
255,0.629
256,0.622
257,0.623
258,0.6175
259,0.628
260,0.62
