num_removed,accuracy
0,0.7685
1,0.7685
2,0.773
3,0.7745
4,0.7705
5,0.764
6,0.772
7,0.7725
8,0.7735
9,0.7705
10,0.7745
11,0.7695
12,0.7735
13,0.779
14,0.7705
15,0.776
16,0.7775
17,0.7785
18,0.7745
19,0.778
20,0.773
21,0.776
22,0.7725
23,0.7685
24,0.769
25,0.764
26,0.767
27,0.762
28,0.768
29,0.7705
30,0.768
31,0.7745
32,0.7685
33,0.771
34,0.7725
35,0.7745
36,0.774
37,0.7755
38,0.7695
39,0.77
40,0.776
41,0.781
42,0.7755
43,0.785
44,0.7835
45,0.7835
46,0.78
47,0.7765
48,0.7805
49,0.779
50,0.7795
51,0.7755
52,0.7655
53,0.783
54,0.772
55,0.7755
56,0.7805
57,0.782
58,0.779
59,0.764
60,0.7735
61,0.766
62,0.7715
63,0.7735
64,0.774
65,0.7715
66,0.768
67,0.7705
68,0.765
69,0.7675
70,0.776
71,0.777
72,0.773
73,0.765
74,0.7725
75,0.772
76,0.776
77,0.774
78,0.7755
79,0.7615
80,0.775
81,0.772
82,0.774
83,0.7835
84,0.7865
85,0.7745
86,0.7835
87,0.78
88,0.787
89,0.7775
90,0.7875
91,0.7815
92,0.7835
93,0.779
94,0.78
95,0.778
96,0.7815
97,0.7835
98,0.775
99,0.7765
100,0.7815
101,0.77
102,0.7725
103,0.791
104,0.7835
105,0.7825
106,0.781
107,0.7755
108,0.7815
109,0.7885
110,0.777
111,0.7865
112,0.7785
113,0.7915
114,0.786
115,0.7865
116,0.782
117,0.779
118,0.7735
119,0.7805
120,0.7795
121,0.7845
122,0.78
123,0.7775
124,0.778
125,0.7835
126,0.781
127,0.7785
128,0.7815
129,0.7815
130,0.785
131,0.7875
132,0.786
133,0.7895
134,0.7925
135,0.795
136,0.796
137,0.7845
138,0.786
139,0.7865
140,0.7865
141,0.7865
142,0.7825
143,0.782
144,0.785
145,0.79
146,0.789
147,0.786
148,0.787
149,0.7975
150,0.7845
151,0.785
152,0.7865
153,0.7835
154,0.7905
155,0.7845
156,0.7855
157,0.7905
158,0.7905
159,0.793
160,0.788
161,0.7845
162,0.7855
163,0.7905
164,0.791
165,0.7885
166,0.791
167,0.782
168,0.7715
169,0.78
170,0.7765
171,0.789
172,0.7855
173,0.7885
174,0.795
175,0.7895
176,0.775
177,0.7845
178,0.7835
179,0.778
180,0.786
181,0.7755
182,0.7795
183,0.775
184,0.783
185,0.7835
186,0.7805
187,0.773
188,0.7755
189,0.7865
190,0.7735
191,0.7785
192,0.778
193,0.7795
194,0.7745
195,0.7655
196,0.7625
197,0.764
198,0.7695
199,0.764
200,0.764
201,0.7685
202,0.771
203,0.767
204,0.7665
205,0.77
206,0.7735
207,0.7725
208,0.7695
209,0.7715
210,0.772
211,0.77
212,0.759
213,0.761
214,0.758
215,0.7575
216,0.751
217,0.758
218,0.762
219,0.7635
220,0.7575
221,0.758
222,0.751
223,0.762
224,0.7625
225,0.7515
226,0.751
227,0.7605
228,0.768
229,0.763
230,0.7595
231,0.757
232,0.7665
233,0.7585
234,0.766
235,0.7575
236,0.77
237,0.764
238,0.7625
239,0.7785
240,0.762
241,0.7605
242,0.7595
243,0.759
244,0.7615
245,0.755
246,0.7545
247,0.755
248,0.7615
249,0.761
250,0.7625
251,0.7615
252,0.758
253,0.765
254,0.775
255,0.766
256,0.761
257,0.764
258,0.7685
259,0.7615
260,0.757
261,0.7605
262,0.761
263,0.769
264,0.772
265,0.7655
266,0.756
267,0.7635
268,0.756
269,0.7685
270,0.7715
271,0.7685
272,0.7745
273,0.7685
274,0.77
275,0.763
276,0.77
277,0.776
278,0.775
279,0.7755
280,0.7725
281,0.767
282,0.7705
283,0.7655
284,0.7635
285,0.7655
286,0.766
287,0.777
288,0.7665
289,0.7615
290,0.772
291,0.771
292,0.7745
293,0.769
294,0.769
295,0.7725
296,0.7625
297,0.7685
298,0.7665
299,0.771
300,0.775
301,0.7725
302,0.77
303,0.767
304,0.765
305,0.7615
306,0.7555
307,0.766
308,0.773
309,0.763
310,0.764
311,0.772
312,0.7645
313,0.76
314,0.758
