num_removed,accuracy
0,0.7685
1,0.766
2,0.7685
3,0.7715
4,0.7635
5,0.7785
6,0.775
7,0.775
8,0.7675
9,0.774
10,0.7725
11,0.7575
12,0.771
13,0.7675
14,0.7705
15,0.7655
16,0.77
17,0.77
18,0.768
19,0.7645
20,0.763
21,0.7635
22,0.7645
23,0.766
24,0.765
25,0.767
26,0.7635
27,0.7685
28,0.7705
29,0.7615
30,0.7655
31,0.7655
32,0.761
33,0.7615
34,0.758
35,0.763
36,0.763
37,0.763
38,0.7495
39,0.754
40,0.752
41,0.7555
42,0.7565
43,0.7475
44,0.749
45,0.753
46,0.754
47,0.757
48,0.7475
49,0.7535
50,0.7455
51,0.746
52,0.746
53,0.741
54,0.742
55,0.745
56,0.736
57,0.7395
58,0.7385
59,0.744
60,0.735
61,0.7355
62,0.7385
63,0.739
64,0.734
65,0.7305
66,0.7405
67,0.7355
68,0.739
69,0.7305
70,0.733
71,0.7285
72,0.7265
73,0.725
74,0.727
75,0.7255
76,0.723
77,0.727
78,0.7245
79,0.736
80,0.726
81,0.7335
82,0.721
83,0.7305
84,0.7205
85,0.7195
86,0.7215
87,0.7185
88,0.7165
89,0.7205
90,0.728
91,0.7185
92,0.7145
93,0.7185
94,0.72
95,0.7155
96,0.716
97,0.717
98,0.7265
99,0.719
100,0.717
101,0.721
102,0.717
103,0.721
104,0.7095
105,0.71
106,0.7115
107,0.7175
108,0.7095
109,0.713
110,0.7095
111,0.6995
112,0.7055
113,0.7035
114,0.712
115,0.7115
116,0.7065
117,0.709
118,0.7075
119,0.705
120,0.7005
121,0.7105
122,0.706
123,0.712
124,0.707
125,0.71
126,0.703
127,0.698
128,0.707
129,0.703
130,0.705
131,0.697
132,0.7165
133,0.693
134,0.697
135,0.701
136,0.7005
137,0.701
138,0.6975
139,0.7035
140,0.7075
141,0.701
142,0.7045
143,0.705
144,0.701
145,0.7055
146,0.705
147,0.707
148,0.7015
149,0.704
150,0.7085
151,0.704
152,0.6995
153,0.7075
154,0.691
155,0.7025
156,0.6955
157,0.7055
158,0.7
159,0.702
160,0.702
161,0.697
162,0.6945
163,0.694
164,0.7095
165,0.691
166,0.69
167,0.692
168,0.699
169,0.6975
170,0.699
171,0.6945
172,0.693
173,0.6845
174,0.698
175,0.6875
176,0.691
177,0.687
178,0.689
179,0.6935
180,0.6975
181,0.6835
182,0.6875
183,0.697
184,0.6955
185,0.7005
186,0.693
187,0.7
188,0.6875
189,0.697
190,0.702
191,0.7045
192,0.691
193,0.6945
194,0.7005
195,0.695
196,0.693
197,0.6975
198,0.6905
199,0.7005
