num_removed,accuracy
0,0.7685
1,0.7625
2,0.768
3,0.7635
4,0.762
5,0.772
6,0.769
7,0.7675
8,0.7655
9,0.7595
10,0.778
11,0.7685
12,0.76
13,0.7645
14,0.769
15,0.7725
16,0.768
17,0.7765
18,0.7635
19,0.775
20,0.768
21,0.7695
22,0.7745
23,0.7725
24,0.77
25,0.7705
26,0.771
27,0.773
28,0.7765
29,0.7735
30,0.7825
31,0.7805
32,0.7775
33,0.7735
34,0.78
35,0.778
36,0.7785
37,0.7795
38,0.779
39,0.7775
40,0.7805
41,0.775
42,0.784
43,0.7845
44,0.7835
45,0.79
46,0.785
47,0.778
48,0.7865
49,0.785
50,0.7995
51,0.783
52,0.7915
53,0.783
54,0.7835
55,0.782
56,0.7825
57,0.7885
58,0.779
59,0.7855
60,0.7795
61,0.783
62,0.7795
63,0.784
64,0.79
65,0.787
66,0.7865
67,0.7965
68,0.791
69,0.8005
70,0.79
71,0.794
72,0.785
73,0.7945
74,0.789
75,0.7935
76,0.7885
77,0.782
78,0.7935
79,0.787
80,0.7815
81,0.79
82,0.7815
83,0.791
84,0.778
85,0.785
86,0.7805
87,0.7965
88,0.7925
89,0.78
90,0.8005
91,0.797
92,0.789
93,0.7895
94,0.798
95,0.7865
96,0.785
97,0.795
98,0.7975
99,0.801
100,0.795
101,0.789
102,0.7905
103,0.79
104,0.7845
105,0.7955
106,0.794
107,0.782
108,0.7835
109,0.791
110,0.784
111,0.795
112,0.792
113,0.7995
114,0.793
115,0.7895
116,0.7975
117,0.7965
118,0.7885
119,0.7865
120,0.791
121,0.7855
122,0.786
123,0.791
124,0.7885
125,0.794
126,0.787
127,0.7865
128,0.789
129,0.7865
130,0.793
131,0.7995
132,0.792
133,0.786
134,0.7935
135,0.7985
136,0.7935
137,0.792
138,0.79
139,0.7905
140,0.7945
141,0.789
142,0.7885
143,0.7935
144,0.7865
145,0.7955
146,0.7845
147,0.787
148,0.7905
149,0.793
150,0.7925
151,0.79
152,0.791
153,0.7895
154,0.795
155,0.7975
156,0.791
157,0.794
158,0.7895
159,0.796
160,0.7955
161,0.797
162,0.7975
163,0.781
164,0.7895
165,0.7865
166,0.789
167,0.7835
168,0.7925
169,0.7825
170,0.7845
171,0.782
172,0.7825
173,0.773
174,0.7775
175,0.7775
176,0.7765
177,0.783
178,0.7855
179,0.77
180,0.772
181,0.7705
182,0.772
183,0.775
184,0.762
185,0.765
186,0.763
187,0.765
188,0.7665
189,0.7735
190,0.7615
191,0.7735
192,0.774
193,0.7655
194,0.7655
195,0.7635
196,0.763
197,0.7765
198,0.756
199,0.763
200,0.7645
201,0.758
202,0.767
203,0.7635
204,0.77
205,0.77
206,0.761
207,0.7595
208,0.761
209,0.7615
210,0.7635
211,0.758
212,0.7615
213,0.762
214,0.7545
215,0.7675
216,0.766
217,0.754
218,0.7565
219,0.7555
220,0.7555
221,0.7525
222,0.755
223,0.747
224,0.7395
225,0.735
226,0.748
227,0.7395
228,0.745
229,0.742
230,0.7515
231,0.7375
232,0.746
233,0.7445
234,0.738
235,0.7415
236,0.7385
237,0.7355
238,0.748
239,0.7535
240,0.7405
241,0.751
242,0.7455
243,0.7545
244,0.75
245,0.7535
246,0.7425
247,0.754
248,0.7465
249,0.7485
250,0.7405
251,0.7545
252,0.7405
253,0.76
254,0.751
255,0.748
256,0.7595
257,0.7475
258,0.742
259,0.747
260,0.7425
261,0.751
262,0.746
263,0.744
264,0.753
265,0.748
266,0.754
267,0.726
268,0.7315
269,0.742
270,0.7375
271,0.7425
272,0.738
273,0.746
274,0.7435
275,0.738
276,0.7345
277,0.736
278,0.743
279,0.726
280,0.741
281,0.7325
282,0.724
283,0.731
284,0.7275
285,0.724
286,0.725
287,0.716
288,0.718
289,0.726
290,0.729
291,0.725
292,0.723
293,0.7215
294,0.715
295,0.722
296,0.72
297,0.729
298,0.728
299,0.7315
300,0.7225
301,0.7235
302,0.7235
303,0.7245
304,0.719
305,0.72
306,0.726
307,0.713
308,0.7155
309,0.7125
310,0.7155
311,0.7075
312,0.7135
313,0.7015
314,0.7305
315,0.718
316,0.711
317,0.719
318,0.713
319,0.707
320,0.698
321,0.7085
322,0.703
323,0.702
324,0.7075
325,0.7155
326,0.718
327,0.7085
