num_removed,accuracy
0,0.7785
1,0.779
2,0.7795
3,0.7755
4,0.7755
5,0.785
6,0.784
7,0.778
8,0.783
9,0.778
10,0.7855
11,0.779
12,0.781
13,0.777
14,0.7855
15,0.784
16,0.78
17,0.7875
18,0.777
19,0.783
20,0.786
21,0.7775
22,0.785
23,0.7825
24,0.7835
25,0.785
26,0.7795
27,0.7865
28,0.774
29,0.775
30,0.7715
31,0.7735
32,0.7875
33,0.7785
34,0.774
35,0.7755
36,0.7785
37,0.7765
38,0.78
39,0.783
40,0.777
41,0.778
42,0.7815
43,0.777
44,0.7775
45,0.7815
46,0.7815
47,0.7785
48,0.779
49,0.776
50,0.776
51,0.7785
52,0.7835
53,0.788
54,0.773
55,0.785
56,0.78
57,0.7695
58,0.7755
59,0.766
60,0.7755
61,0.7715
62,0.774
63,0.776
64,0.772
65,0.774
66,0.77
67,0.772
68,0.767
69,0.7705
70,0.766
71,0.7755
72,0.769
73,0.765
74,0.772
75,0.763
76,0.7665
77,0.767
78,0.765
79,0.7695
80,0.765
81,0.7635
82,0.767
83,0.7665
84,0.7685
85,0.764
86,0.7695
87,0.7735
88,0.7595
89,0.7645
90,0.758
91,0.758
92,0.7575
93,0.7585
94,0.7645
95,0.761
96,0.765
97,0.7555
98,0.76
99,0.7535
100,0.764
101,0.7535
102,0.755
103,0.7685
104,0.7595
105,0.764
106,0.767
107,0.761
108,0.7505
109,0.758
110,0.761
111,0.761
112,0.7625
113,0.7615
114,0.7615
115,0.7645
116,0.7665
117,0.7645
118,0.767
119,0.764
120,0.7575
121,0.763
122,0.764
123,0.755
124,0.761
125,0.755
126,0.7615
127,0.7645
128,0.7665
129,0.766
130,0.762
131,0.7565
132,0.7675
133,0.7645
134,0.7595
135,0.7665
136,0.77
137,0.757
138,0.7615
139,0.76
140,0.7555
141,0.7595
142,0.7605
143,0.754
144,0.7555
145,0.755
146,0.7475
147,0.755
148,0.7455
149,0.7595
150,0.757
151,0.7575
152,0.7595
153,0.7595
154,0.7555
155,0.759
156,0.756
157,0.751
158,0.75
159,0.757
160,0.7595
161,0.7575
162,0.761
163,0.7595
164,0.75
165,0.7535
166,0.7565
167,0.7475
168,0.7525
169,0.7505
170,0.7525
171,0.7485
172,0.7545
173,0.75
174,0.7505
175,0.7505
176,0.748
177,0.749
178,0.743
179,0.751
180,0.753
181,0.7555
182,0.7505
183,0.7675
184,0.748
185,0.7435
186,0.7445
187,0.7465
188,0.7445
189,0.746
190,0.747
191,0.752
192,0.7485
193,0.7435
194,0.748
195,0.7465
196,0.7515
197,0.751
198,0.7525
199,0.7445
200,0.743
201,0.754
202,0.7535
203,0.752
204,0.742
205,0.7515
206,0.75
207,0.7485
208,0.753
209,0.731
210,0.7365
211,0.7465
