num_removed,accuracy
0,0.7785
1,0.7795
2,0.7795
3,0.7865
4,0.775
5,0.7725
6,0.773
7,0.772
8,0.7785
9,0.782
10,0.779
11,0.784
12,0.7785
13,0.7795
14,0.7785
15,0.784
16,0.7835
17,0.779
18,0.7855
19,0.773
20,0.7645
21,0.773
22,0.7775
23,0.7785
24,0.7795
25,0.7755
26,0.7725
27,0.7765
28,0.7755
29,0.781
30,0.7745
31,0.7795
32,0.7765
33,0.782
34,0.7745
35,0.7805
36,0.7785
37,0.7775
38,0.786
39,0.78
40,0.7775
41,0.779
42,0.778
43,0.781
44,0.7775
45,0.7815
46,0.7775
47,0.778
48,0.782
49,0.776
50,0.778
51,0.769
52,0.7815
53,0.781
54,0.781
55,0.7645
56,0.7775
57,0.78
58,0.7765
59,0.7735
60,0.7675
61,0.78
62,0.7775
63,0.776
64,0.7755
65,0.771
66,0.7775
67,0.7695
68,0.7785
69,0.7775
70,0.7715
71,0.774
72,0.78
73,0.769
74,0.766
75,0.775
76,0.7785
77,0.7765
78,0.781
79,0.7815
80,0.784
81,0.778
82,0.782
83,0.781
84,0.7835
85,0.786
86,0.7775
87,0.779
88,0.7725
89,0.781
90,0.78
91,0.776
92,0.787
93,0.782
94,0.786
95,0.783
96,0.7835
97,0.79
98,0.794
99,0.781
100,0.7775
101,0.7815
102,0.7835
103,0.7865
104,0.766
105,0.7755
106,0.774
107,0.7695
108,0.768
109,0.767
110,0.7755
111,0.7655
112,0.7705
113,0.7755
114,0.7645
115,0.772
116,0.7675
117,0.7695
118,0.7695
119,0.7735
120,0.7645
121,0.768
122,0.773
123,0.7735
124,0.772
125,0.7725
126,0.778
127,0.7695
128,0.764
129,0.769
130,0.7745
131,0.767
132,0.772
133,0.7685
134,0.767
135,0.7675
136,0.769
137,0.7755
138,0.769
139,0.7645
140,0.7655
141,0.767
142,0.771
143,0.7645
144,0.7585
145,0.771
146,0.763
147,0.772
148,0.7635
149,0.7635
150,0.7555
151,0.75
152,0.7565
153,0.7575
154,0.76
155,0.758
156,0.759
157,0.7545
158,0.7675
159,0.755
160,0.7525
161,0.757
162,0.7465
163,0.761
164,0.7615
165,0.7665
166,0.7625
167,0.758
168,0.7625
169,0.752
170,0.757
171,0.7545
172,0.7585
173,0.7615
174,0.7645
175,0.7575
176,0.7655
177,0.772
178,0.755
179,0.7665
180,0.768
181,0.7655
182,0.7635
183,0.766
184,0.7565
185,0.77
186,0.757
187,0.764
188,0.769
189,0.7645
190,0.759
191,0.768
192,0.765
193,0.761
194,0.769
195,0.768
196,0.7665
197,0.762
198,0.7605
199,0.757
200,0.765
201,0.772
202,0.756
203,0.7635
204,0.761
205,0.7645
206,0.764
207,0.7675
208,0.7605
209,0.762
210,0.7595
211,0.767
212,0.7605
213,0.767
214,0.7575
215,0.777
216,0.7705
217,0.776
218,0.767
219,0.753
220,0.7505
221,0.7595
222,0.756
223,0.754
224,0.761
225,0.754
226,0.756
227,0.7585
228,0.7505
229,0.749
230,0.7465
231,0.751
232,0.761
233,0.7525
234,0.7465
235,0.747
236,0.748
237,0.748
238,0.7515
239,0.744
240,0.751
241,0.7595
242,0.7475
243,0.746
244,0.7515
245,0.752
246,0.749
247,0.7385
248,0.7555
249,0.7425
250,0.746
251,0.7465
252,0.7405
253,0.7475
254,0.7455
255,0.75
256,0.75
257,0.7485
258,0.7375
259,0.7445
260,0.738
