num_removed,accuracy
0,0.7785
1,0.7805
2,0.7845
3,0.786
4,0.781
5,0.781
6,0.774
7,0.7755
8,0.7845
9,0.779
10,0.7805
11,0.7865
12,0.779
13,0.7815
14,0.78
15,0.782
16,0.779
17,0.7835
18,0.78
19,0.7875
20,0.7875
21,0.7795
22,0.778
23,0.7725
24,0.7845
25,0.784
26,0.789
27,0.785
28,0.7855
29,0.7815
30,0.7765
31,0.7815
32,0.78
33,0.776
34,0.783
35,0.775
36,0.79
37,0.783
38,0.781
39,0.784
40,0.7715
41,0.778
42,0.79
43,0.783
44,0.784
45,0.775
46,0.7805
47,0.78
48,0.7875
49,0.791
50,0.786
51,0.7825
52,0.7845
53,0.783
54,0.7855
55,0.781
56,0.7765
57,0.7835
58,0.777
59,0.772
60,0.776
61,0.779
62,0.7865
63,0.784
64,0.7895
65,0.7885
66,0.788
67,0.784
68,0.783
69,0.7845
70,0.777
71,0.785
72,0.7895
73,0.7805
74,0.787
75,0.7845
76,0.785
77,0.7735
78,0.7795
79,0.78
80,0.7785
81,0.7805
82,0.7695
83,0.78
84,0.7745
85,0.779
86,0.775
87,0.7745
88,0.778
89,0.783
90,0.78
91,0.7765
92,0.769
93,0.776
94,0.775
95,0.7745
96,0.779
97,0.779
98,0.771
99,0.7765
100,0.7825
101,0.775
102,0.7705
103,0.7775
104,0.7735
105,0.7715
106,0.7765
107,0.7785
108,0.772
109,0.776
110,0.765
111,0.77
112,0.7675
113,0.774
114,0.7755
115,0.7715
116,0.7705
117,0.7625
118,0.767
119,0.7585
120,0.7665
121,0.771
122,0.76
123,0.7645
124,0.763
125,0.764
126,0.76
127,0.7645
128,0.7585
129,0.7615
130,0.7565
131,0.7615
132,0.7565
133,0.7615
134,0.76
135,0.7685
136,0.765
137,0.763
138,0.763
139,0.765
140,0.7655
141,0.757
142,0.754
143,0.7475
144,0.7535
145,0.757
146,0.7435
147,0.7545
148,0.7455
149,0.7465
150,0.748
151,0.7445
152,0.743
153,0.745
154,0.7465
155,0.744
156,0.747
157,0.742
158,0.745
159,0.743
160,0.7315
161,0.732
162,0.739
163,0.7235
164,0.7285
165,0.7225
166,0.716
167,0.718
168,0.7205
169,0.718
170,0.715
171,0.706
172,0.7035
173,0.701
174,0.7065
175,0.708
176,0.7025
177,0.707
178,0.698
179,0.696
180,0.6975
181,0.699
182,0.703
183,0.698
