num_removed,accuracy
0,0.7785
1,0.7885
2,0.779
3,0.7865
4,0.775
5,0.7845
6,0.781
7,0.7725
8,0.78
9,0.78
10,0.775
11,0.7775
12,0.7745
13,0.7775
14,0.7705
15,0.768
16,0.7715
17,0.772
18,0.767
19,0.774
20,0.771
21,0.767
22,0.7725
23,0.7685
24,0.766
25,0.777
26,0.7755
27,0.775
28,0.7645
29,0.765
30,0.768
31,0.7715
32,0.767
33,0.769
34,0.771
35,0.7625
36,0.7665
37,0.7675
38,0.7635
39,0.7725
40,0.765
41,0.7625
42,0.7625
43,0.767
44,0.771
45,0.77
46,0.7595
47,0.7635
48,0.763
49,0.763
50,0.7645
51,0.764
52,0.7695
53,0.761
54,0.759
55,0.7625
56,0.7635
57,0.752
58,0.7545
59,0.7505
60,0.7625
61,0.758
62,0.76
63,0.7585
64,0.7605
65,0.761
66,0.768
67,0.7645
68,0.7665
69,0.7695
70,0.7685
71,0.7625
72,0.763
73,0.769
74,0.767
75,0.766
76,0.7615
77,0.7615
78,0.761
79,0.7555
80,0.7585
81,0.763
82,0.7655
83,0.7595
84,0.7655
85,0.7635
86,0.763
87,0.776
88,0.769
89,0.773
90,0.763
91,0.761
92,0.7635
93,0.764
94,0.767
95,0.767
96,0.7645
97,0.7635
98,0.7615
99,0.761
100,0.7635
101,0.7595
102,0.7645
103,0.7585
104,0.7575
105,0.7655
106,0.76
107,0.757
108,0.757
109,0.761
110,0.756
111,0.757
112,0.764
113,0.7635
114,0.7605
115,0.7635
116,0.763
117,0.7625
118,0.7585
119,0.7655
120,0.7615
121,0.765
122,0.762
123,0.7625
124,0.761
125,0.7635
126,0.7645
127,0.762
128,0.769
129,0.768
130,0.765
131,0.77
132,0.765
133,0.763
134,0.761
135,0.769
136,0.7645
137,0.769
138,0.7675
139,0.7645
140,0.769
141,0.763
142,0.764
143,0.77
144,0.762
145,0.763
146,0.7705
147,0.7675
148,0.766
149,0.774
150,0.769
151,0.779
152,0.7635
153,0.7695
154,0.764
155,0.7595
156,0.7585
157,0.756
158,0.762
159,0.758
160,0.753
161,0.754
162,0.758
163,0.761
164,0.756
165,0.7575
166,0.7585
167,0.7575
168,0.748
169,0.762
170,0.7645
171,0.762
172,0.766
173,0.762
174,0.7615
175,0.756
176,0.761
177,0.7735
178,0.7605
179,0.773
180,0.7685
181,0.765
182,0.771
183,0.7695
184,0.7775
185,0.7735
186,0.7725
187,0.7775
188,0.7755
189,0.7695
190,0.7645
191,0.7725
192,0.762
193,0.7685
194,0.7775
195,0.77
196,0.778
197,0.7795
198,0.7705
199,0.7735
200,0.771
201,0.777
202,0.7735
203,0.7645
204,0.775
205,0.772
206,0.7685
207,0.775
208,0.7765
209,0.778
210,0.7725
211,0.7745
212,0.7765
213,0.7725
214,0.779
215,0.769
216,0.775
217,0.7715
218,0.768
219,0.767
220,0.779
221,0.7795
222,0.77
223,0.7695
224,0.77
225,0.774
226,0.778
227,0.776
228,0.7655
229,0.7685
230,0.7635
231,0.7625
232,0.7685
233,0.766
234,0.777
235,0.7765
236,0.7645
237,0.7685
238,0.7735
239,0.766
240,0.7675
241,0.7585
242,0.7605
243,0.764
244,0.767
245,0.757
246,0.7675
247,0.77
248,0.7575
249,0.762
250,0.7585
251,0.764
252,0.7595
253,0.7745
254,0.777
255,0.7585
256,0.778
257,0.766
258,0.7625
259,0.7725
260,0.7635
261,0.7635
262,0.7595
263,0.7555
264,0.764
265,0.763
266,0.764
267,0.7775
268,0.753
269,0.756
270,0.7515
271,0.75
272,0.762
273,0.7565
274,0.7645
275,0.758
276,0.7565
277,0.75
278,0.7445
279,0.7495
280,0.753
281,0.75
282,0.746
283,0.7445
284,0.7405
285,0.7505
286,0.7515
287,0.749
288,0.746
289,0.7535
290,0.7515
291,0.75
292,0.747
293,0.748
294,0.745
295,0.755
296,0.7365
297,0.741
298,0.755
299,0.748
300,0.7495
301,0.7585
302,0.747
303,0.746
304,0.7575
305,0.742
306,0.737
307,0.747
308,0.747
309,0.744
310,0.7395
311,0.745
312,0.7325
313,0.7345
314,0.7475
315,0.7425
316,0.7505
317,0.7375
318,0.7455
319,0.739
320,0.742
321,0.745
322,0.7445
323,0.7535
324,0.744
325,0.7505
326,0.7545
327,0.7425
328,0.741
329,0.761
330,0.757
331,0.752
332,0.748
333,0.745
334,0.754
335,0.755
336,0.7475
337,0.755
338,0.7615
339,0.755
340,0.7485
341,0.7415
