num_removed,accuracy
0,0.767
1,0.7645
2,0.77
3,0.7455
4,0.758
5,0.75
6,0.754
7,0.757
8,0.759
9,0.7545
10,0.76
11,0.76
12,0.763
13,0.761
14,0.764
15,0.761
16,0.7575
17,0.7645
18,0.7655
19,0.76
20,0.7545
21,0.755
22,0.76
23,0.76
24,0.7645
25,0.7535
26,0.7605
27,0.7595
28,0.7565
29,0.753
30,0.7615
31,0.7505
32,0.7595
33,0.7605
34,0.7495
35,0.7565
36,0.7485
37,0.748
38,0.75
39,0.748
40,0.76
41,0.755
42,0.7555
43,0.7675
44,0.7585
45,0.752
46,0.752
47,0.747
48,0.755
49,0.754
50,0.7535
51,0.7525
52,0.751
53,0.7545
54,0.753
55,0.7435
56,0.7535
57,0.7535
58,0.7475
59,0.7445
60,0.749
61,0.7465
62,0.7465
63,0.7485
64,0.744
65,0.7445
66,0.7495
67,0.7485
68,0.7505
69,0.7505
70,0.7455
71,0.736
72,0.7345
73,0.7435
74,0.7395
75,0.738
76,0.739
77,0.7445
78,0.74
79,0.7365
80,0.7405
81,0.742
82,0.74
83,0.744
84,0.742
85,0.7465
86,0.7375
87,0.7415
88,0.7445
89,0.739
90,0.741
91,0.7515
92,0.741
93,0.7395
94,0.739
95,0.734
96,0.7425
97,0.743
98,0.733
99,0.7335
100,0.7375
101,0.7355
102,0.735
103,0.735
104,0.7345
105,0.733
106,0.7415
107,0.7305
108,0.7365
109,0.7265
110,0.7335
111,0.73
112,0.7275
113,0.737
114,0.7365
115,0.737
116,0.7385
117,0.738
118,0.743
119,0.7405
120,0.7395
121,0.741
122,0.74
123,0.7485
124,0.744
125,0.741
126,0.7445
127,0.732
128,0.748
129,0.7435
130,0.734
131,0.7315
132,0.729
133,0.7415
134,0.7395
135,0.74
136,0.7305
137,0.7225
138,0.7215
139,0.725
140,0.7275
141,0.733
142,0.7245
143,0.7265
144,0.7285
145,0.7385
146,0.7285
147,0.7275
148,0.726
149,0.734
150,0.7245
151,0.722
152,0.728
153,0.729
154,0.7305
155,0.725
156,0.7265
157,0.7405
158,0.736
159,0.7365
160,0.739
161,0.736
162,0.734
163,0.737
164,0.7325
165,0.7315
166,0.734
167,0.7335
168,0.7335
169,0.7365
170,0.7365
171,0.7365
172,0.7265
173,0.7295
174,0.7275
175,0.7375
176,0.736
177,0.73
178,0.7395
179,0.73
180,0.729
181,0.723
182,0.7245
183,0.72
184,0.728
185,0.727
186,0.7265
187,0.7195
188,0.7255
189,0.723
190,0.729
191,0.7235
192,0.7195
193,0.715
194,0.7195
195,0.708
196,0.72
197,0.724
198,0.7285
199,0.7195
200,0.711
201,0.7125
202,0.7075
203,0.7175
204,0.7095
205,0.713
