num_removed,accuracy
0,0.784
1,0.78
2,0.771
3,0.7815
4,0.7745
5,0.773
6,0.7765
7,0.771
8,0.775
9,0.7785
10,0.7765
11,0.7705
12,0.7785
13,0.772
14,0.776
15,0.775
16,0.768
17,0.771
18,0.7735
19,0.7695
20,0.768
21,0.771
22,0.7635
23,0.766
24,0.765
25,0.7755
26,0.78
27,0.771
28,0.7685
29,0.77
30,0.7695
31,0.767
32,0.762
33,0.7755
34,0.7735
35,0.7705
36,0.779
37,0.7825
38,0.7745
39,0.7755
40,0.7755
41,0.7705
42,0.771
43,0.7735
44,0.7735
45,0.7735
46,0.767
47,0.7725
48,0.779
49,0.776
50,0.7765
51,0.782
52,0.77
53,0.766
54,0.771
55,0.774
56,0.7695
57,0.7735
58,0.767
59,0.774
60,0.7765
61,0.7775
62,0.7725
63,0.769
64,0.7715
65,0.779
66,0.7695
67,0.7695
68,0.7735
69,0.7725
70,0.7675
71,0.7685
72,0.771
73,0.7755
74,0.7705
75,0.768
76,0.774
77,0.7715
78,0.771
79,0.7675
80,0.767
81,0.771
82,0.7715
83,0.775
84,0.7715
85,0.7765
86,0.779
87,0.768
88,0.775
89,0.769
90,0.772
91,0.772
92,0.7725
93,0.7715
94,0.7735
95,0.775
96,0.7695
97,0.7695
98,0.771
99,0.7715
100,0.7705
101,0.769
102,0.7695
103,0.77
104,0.768
105,0.7655
106,0.7665
107,0.7635
108,0.767
109,0.7695
110,0.7645
111,0.764
112,0.762
113,0.765
114,0.762
115,0.773
116,0.766
117,0.764
118,0.759
119,0.7625
120,0.7625
121,0.7585
122,0.76
123,0.7485
124,0.757
125,0.754
126,0.7565
127,0.7585
128,0.755
129,0.758
130,0.7505
131,0.7465
132,0.749
133,0.7495
134,0.7515
135,0.7435
136,0.751
137,0.7435
138,0.751
139,0.748
140,0.743
141,0.744
142,0.7365
143,0.737
144,0.7385
145,0.7425
146,0.741
147,0.7325
148,0.7325
149,0.745
150,0.7465
151,0.738
152,0.7315
153,0.7275
154,0.73
155,0.7365
156,0.738
157,0.734
158,0.741
159,0.7325
160,0.727
161,0.7205
162,0.7215
163,0.723
164,0.719
165,0.723
166,0.717
167,0.714
168,0.711
169,0.711
170,0.701
171,0.714
172,0.71
173,0.71
174,0.709
175,0.703
176,0.6955
177,0.701
178,0.702
179,0.697
180,0.6855
181,0.689
182,0.679
183,0.68
184,0.678
185,0.678
186,0.678
187,0.674
188,0.674
189,0.673
190,0.6785
191,0.67
192,0.66
193,0.652
194,0.6615
195,0.6495
196,0.6395
197,0.6325
198,0.6395
199,0.647
200,0.6335
201,0.634
202,0.641
203,0.632
204,0.6345
205,0.627
206,0.633
207,0.62
208,0.618
209,0.625
210,0.612
211,0.6095
212,0.613
213,0.607
214,0.6165
215,0.614
216,0.619
217,0.6205
218,0.615
219,0.623
220,0.623
221,0.6285
222,0.6105
223,0.6225
224,0.6265
225,0.6295
226,0.635
227,0.6425
228,0.639
229,0.6345
230,0.638
231,0.6385
232,0.641
233,0.641
234,0.6355
235,0.6435
236,0.6295
237,0.646
238,0.646
239,0.638
240,0.6415
241,0.6385
242,0.63
243,0.637
244,0.642
245,0.6515
246,0.6385
247,0.641
248,0.647
249,0.6325
250,0.6455
251,0.6505
252,0.65
253,0.649
254,0.656
255,0.641
256,0.6415
257,0.659
258,0.6555
259,0.659
260,0.648
261,0.6555
262,0.6545
263,0.6585
264,0.6555
265,0.668
266,0.6495
267,0.6465
268,0.6495
269,0.6545
270,0.6455
271,0.6485
272,0.643
273,0.644
274,0.644
275,0.6535
276,0.656
277,0.636
278,0.6485
279,0.6465
280,0.6425
281,0.6245
282,0.637
283,0.638
284,0.642
285,0.6195
286,0.63
287,0.6395
288,0.6295
289,0.6365
290,0.618
291,0.6325
292,0.6125
293,0.628
294,0.6275
295,0.6385
296,0.6445
297,0.631
298,0.632
299,0.6205
300,0.6375
301,0.633
302,0.634
303,0.6515
304,0.6305
305,0.6455
306,0.637
307,0.6305
308,0.64
309,0.641
310,0.6305
311,0.6345
312,0.6435
313,0.637
314,0.6325
315,0.632
316,0.634
317,0.6275
318,0.642
319,0.6335
320,0.642
321,0.636
322,0.6325
323,0.621
324,0.6445
325,0.6295
326,0.627
327,0.63
328,0.621
329,0.616
330,0.642
331,0.615
332,0.6195
333,0.624
334,0.6255
335,0.6245
336,0.626
337,0.6275
338,0.645
339,0.6245
340,0.624
341,0.62
342,0.6385
343,0.6155
344,0.617
345,0.62
346,0.604
347,0.582
348,0.603
349,0.601
350,0.6045
351,0.598
352,0.587
353,0.603
354,0.5975
355,0.5855
356,0.589
357,0.588
358,0.596
359,0.5925
360,0.587
361,0.602
362,0.597
363,0.585
364,0.602
365,0.612
366,0.5985
367,0.606
368,0.607
369,0.609
370,0.6
371,0.6115
372,0.607
373,0.6105
374,0.5945
375,0.5855
376,0.5875
377,0.603
378,0.6065
379,0.585
380,0.581
381,0.5815
382,0.584
383,0.5875
384,0.5775
385,0.578
386,0.5855
387,0.5855
388,0.579
389,0.5785
390,0.5885
391,0.597
392,0.587
393,0.5995
394,0.5855
395,0.5775
396,0.5955
397,0.5895
398,0.5955
399,0.589
400,0.579
401,0.583
402,0.5965
403,0.584
404,0.5845
405,0.5725
406,0.5935
407,0.59
408,0.5825
409,0.599
410,0.581
411,0.574
412,0.578
413,0.5845
414,0.5705
415,0.572
416,0.5645
417,0.5655
418,0.5555
419,0.5595
420,0.553
421,0.541
422,0.543
423,0.549
424,0.531
425,0.541
426,0.564
427,0.57
428,0.559
429,0.5655
430,0.5655
431,0.5595
432,0.5495
433,0.56
434,0.5445
435,0.516
436,0.5345
437,0.5375
438,0.5495
439,0.5465
440,0.5445
441,0.539
442,0.5425
443,0.525
444,0.5155
445,0.53
446,0.519
447,0.544
448,0.5325
449,0.513
450,0.5045
451,0.487
452,0.507
453,0.4915
454,0.4715
455,0.4855
456,0.508
457,0.5125
458,0.493
459,0.4965
460,0.4965
461,0.4965
462,0.4865
463,0.4905
464,0.4855
465,0.488
466,0.4795
467,0.4855
468,0.475
469,0.468
470,0.4615
471,0.498
472,0.513
473,0.4715
474,0.493
475,0.4975
476,0.4925
477,0.4635
478,0.456
479,0.461
480,0.4655
481,0.456
482,0.4635
483,0.454
484,0.426
485,0.4265
486,0.4195
487,0.427
488,0.472
489,0.5
490,0.5
491,0.5
492,0.5
493,0.5
494,0.5
495,0.5
496,0.5
497,0.5
498,0.5
499,0.5
