num_removed,accuracy
0,0.784
1,0.7765
2,0.7915
3,0.7715
4,0.779
5,0.777
6,0.768
7,0.78
8,0.7715
9,0.772
10,0.7725
11,0.7795
12,0.7785
13,0.776
14,0.7705
15,0.773
16,0.7815
17,0.7805
18,0.7855
19,0.7785
20,0.7765
21,0.7815
22,0.7795
23,0.7705
24,0.7785
25,0.7785
26,0.7745
27,0.7755
28,0.772
29,0.771
30,0.7745
31,0.7705
32,0.7675
33,0.7735
34,0.776
35,0.7685
36,0.7795
37,0.7785
38,0.776
39,0.771
40,0.775
41,0.7755
42,0.7725
43,0.776
44,0.77
45,0.7715
46,0.7735
47,0.7705
48,0.773
49,0.7805
50,0.7715
51,0.7825
52,0.7775
53,0.767
54,0.772
55,0.7715
56,0.774
57,0.767
58,0.7675
59,0.774
60,0.7625
61,0.766
62,0.7705
63,0.7735
64,0.7725
65,0.7725
66,0.762
67,0.764
68,0.7765
69,0.7715
70,0.769
71,0.7605
72,0.7665
73,0.768
74,0.7645
75,0.7625
76,0.772
77,0.7645
78,0.7785
79,0.771
80,0.7785
81,0.7635
82,0.769
83,0.763
84,0.773
85,0.77
86,0.772
87,0.7745
88,0.7655
89,0.766
90,0.7675
91,0.765
92,0.763
93,0.765
94,0.764
95,0.768
96,0.7645
97,0.767
98,0.7625
99,0.756
100,0.7665
101,0.7605
102,0.7555
103,0.7655
104,0.7615
105,0.768
106,0.7635
107,0.758
108,0.76
109,0.762
110,0.7575
111,0.762
112,0.762
113,0.769
114,0.764
115,0.767
116,0.7675
117,0.759
118,0.76
119,0.7585
120,0.7565
121,0.762
122,0.7575
123,0.7635
124,0.762
125,0.769
126,0.757
127,0.7475
128,0.751
129,0.759
130,0.7565
131,0.7575
132,0.755
133,0.7545
134,0.7535
135,0.7475
136,0.759
137,0.757
138,0.758
139,0.7525
140,0.7615
141,0.7525
142,0.762
143,0.764
144,0.7675
145,0.7605
146,0.7575
147,0.7665
148,0.764
149,0.7595
150,0.753
151,0.756
152,0.7565
153,0.7565
154,0.761
155,0.756
156,0.762
157,0.754
158,0.764
159,0.76
160,0.755
161,0.7625
162,0.7555
163,0.7585
164,0.761
165,0.7605
166,0.7605
167,0.7665
168,0.7685
169,0.7645
170,0.7645
171,0.762
172,0.7635
173,0.77
174,0.7575
175,0.77
176,0.761
177,0.7615
178,0.761
179,0.758
180,0.7585
181,0.7665
182,0.752
183,0.762
184,0.7685
185,0.761
186,0.7585
187,0.759
188,0.7645
189,0.762
190,0.767
191,0.7695
192,0.7615
193,0.771
194,0.7555
195,0.753
196,0.7545
197,0.761
198,0.7675
199,0.761
200,0.761
201,0.763
202,0.762
203,0.761
204,0.772
205,0.7635
206,0.7675
207,0.755
208,0.757
209,0.7745
210,0.767
211,0.752
212,0.7655
213,0.759
214,0.755
215,0.764
216,0.7575
217,0.762
218,0.7565
219,0.7575
220,0.757
221,0.762
222,0.763
223,0.7635
224,0.764
225,0.7645
226,0.7565
227,0.7685
228,0.757
229,0.762
230,0.765
231,0.758
232,0.7505
233,0.7575
234,0.756
