num_removed,accuracy
0,0.784
1,0.7805
2,0.7805
3,0.7755
4,0.7805
5,0.7765
6,0.787
7,0.777
8,0.784
9,0.789
10,0.789
11,0.788
12,0.7825
13,0.7725
14,0.7815
15,0.7815
16,0.777
17,0.7795
18,0.779
19,0.77
20,0.773
21,0.774
22,0.7675
23,0.769
24,0.7675
25,0.7735
26,0.778
27,0.776
28,0.7775
29,0.79
30,0.776
31,0.7765
32,0.776
33,0.7795
34,0.778
35,0.7795
36,0.778
37,0.7805
38,0.774
39,0.777
40,0.7925
41,0.783
42,0.7845
43,0.78
44,0.7805
45,0.776
46,0.7825
47,0.784
48,0.784
49,0.78
50,0.786
51,0.7785
52,0.779
53,0.772
54,0.7825
55,0.7875
56,0.7795
57,0.7785
58,0.7815
59,0.7855
60,0.789
61,0.778
62,0.7775
63,0.7865
64,0.7895
65,0.7845
66,0.784
67,0.782
68,0.779
69,0.784
70,0.7855
71,0.7845
72,0.781
73,0.7855
74,0.7805
75,0.785
76,0.7795
77,0.782
78,0.7795
79,0.776
80,0.7815
81,0.7765
82,0.7735
83,0.782
84,0.781
85,0.7775
86,0.773
87,0.78
88,0.7825
89,0.774
90,0.7835
91,0.7825
92,0.787
93,0.778
94,0.777
95,0.7655
96,0.778
97,0.7775
98,0.777
99,0.7815
100,0.779
101,0.7835
102,0.779
103,0.782
104,0.7855
105,0.785
106,0.7875
107,0.7825
108,0.7875
109,0.7815
110,0.7925
111,0.779
112,0.7825
113,0.7805
114,0.7835
115,0.78
116,0.779
117,0.779
118,0.777
119,0.7765
120,0.78
121,0.7755
122,0.7775
123,0.7835
124,0.778
125,0.7745
126,0.7845
127,0.783
128,0.7805
129,0.7795
130,0.781
131,0.773
132,0.776
133,0.77
134,0.769
135,0.775
136,0.78
137,0.765
138,0.7755
139,0.765
140,0.768
141,0.7735
142,0.7675
143,0.7765
144,0.768
145,0.7635
146,0.77
147,0.772
148,0.7645
149,0.7715
150,0.7705
151,0.764
152,0.76
153,0.761
154,0.764
155,0.759
156,0.76
157,0.765
158,0.7625
159,0.76
160,0.7615
161,0.765
162,0.766
163,0.767
164,0.7645
165,0.752
166,0.7605
167,0.7635
168,0.7595
169,0.762
170,0.7645
171,0.7625
172,0.7635
173,0.7625
174,0.7685
175,0.763
176,0.7645
177,0.7655
178,0.7685
179,0.7695
180,0.773
181,0.7725
182,0.763
183,0.771
184,0.7745
185,0.7655
186,0.7665
187,0.7665
188,0.767
189,0.764
190,0.7735
191,0.7595
192,0.7685
193,0.7545
194,0.7665
195,0.772
196,0.7655
197,0.7725
198,0.775
199,0.774
200,0.765
201,0.769
202,0.7695
203,0.77
204,0.7705
205,0.768
206,0.776
207,0.7725
208,0.768
209,0.77
210,0.764
211,0.762
212,0.7775
213,0.767
214,0.7645
215,0.7635
216,0.759
217,0.7615
218,0.757
219,0.767
220,0.7585
221,0.7645
222,0.7555
223,0.7465
224,0.7485
225,0.755
226,0.7545
227,0.747
228,0.7525
229,0.747
230,0.755
231,0.761
232,0.7585
233,0.7645
234,0.7615
235,0.772
236,0.7615
237,0.756
238,0.7565
239,0.7555
240,0.761
241,0.754
242,0.749
243,0.754
244,0.759
245,0.7555
246,0.7505
247,0.7565
248,0.7525
249,0.7635
250,0.754
251,0.7605
252,0.7735
253,0.7665
254,0.766
255,0.7665
256,0.7745
257,0.767
258,0.7695
259,0.7645
260,0.755
261,0.761
262,0.7605
263,0.758
264,0.767
265,0.7625
266,0.755
267,0.7665
268,0.7645
269,0.762
270,0.762
271,0.777
272,0.774
273,0.7775
274,0.755
275,0.763
276,0.7605
277,0.7635
278,0.762
279,0.758
280,0.758
281,0.756
282,0.7495
283,0.754
284,0.7445
285,0.7445
286,0.7355
287,0.746
288,0.742
289,0.7395
290,0.738
291,0.7355
292,0.7355
293,0.7295
294,0.7405
295,0.726
296,0.7225
297,0.7195
298,0.7305
299,0.7315
300,0.7255
301,0.735
302,0.724
303,0.7395
304,0.7375
305,0.7375
306,0.7275
307,0.728
308,0.7275
309,0.73
310,0.7235
311,0.7275
312,0.7335
313,0.733
314,0.7355
315,0.7285
316,0.741
317,0.738
318,0.7425
319,0.747
320,0.745
321,0.7335
322,0.7295
323,0.7405
324,0.7335
325,0.7395
326,0.735
327,0.726
328,0.7215
329,0.729
330,0.7185
331,0.7215
332,0.728
333,0.7365
334,0.717
335,0.7125
336,0.723
337,0.7165
338,0.7225
339,0.7305
340,0.7355
341,0.725
342,0.7175
343,0.73
344,0.725
345,0.7305
346,0.724
347,0.733
348,0.735
349,0.7155
350,0.722
351,0.723
352,0.7355
353,0.7315
354,0.7465
355,0.7435
356,0.746
357,0.75
358,0.738
359,0.739
360,0.729
361,0.7295
362,0.714
363,0.71
364,0.717
365,0.7225
366,0.728
367,0.7215
368,0.7235
369,0.7215
370,0.726
371,0.7085
372,0.727
373,0.7145
374,0.704
375,0.732
376,0.7265
377,0.716
378,0.7085
379,0.7185
380,0.719
381,0.707
382,0.7165
383,0.7185
384,0.7215
385,0.7205
386,0.712
387,0.7275
388,0.7365
389,0.722
390,0.7215
391,0.7245
392,0.712
393,0.719
394,0.714
395,0.718
396,0.7155
397,0.713
398,0.7035
399,0.7085
400,0.7155
401,0.711
402,0.7105
403,0.7115
404,0.716
405,0.6975
406,0.6915
407,0.71
408,0.709
409,0.7105
410,0.7205
411,0.706
412,0.7205
413,0.7215
414,0.724
415,0.72
416,0.7205
417,0.7195
418,0.7095
419,0.7145
420,0.711
421,0.719
422,0.721
423,0.7175
424,0.7165
425,0.713
426,0.705
427,0.6945
428,0.71
429,0.7105
430,0.717
431,0.6865
432,0.6895
433,0.6995
434,0.71
435,0.7025
436,0.703
437,0.6905
438,0.6965
439,0.702
440,0.6805
441,0.679
442,0.686
443,0.6745
444,0.6835
445,0.675
446,0.6665
447,0.6775
448,0.677
449,0.69
450,0.658
451,0.68
452,0.6545
453,0.6655
454,0.6545
455,0.65
456,0.648
457,0.66
458,0.633
459,0.6235
460,0.646
461,0.644
462,0.607
463,0.63
464,0.6125
465,0.562
466,0.5695
467,0.5335
468,0.569
469,0.4945
470,0.5345
471,0.548
472,0.557
473,0.544
474,0.5105
475,0.492
476,0.5055
477,0.5255
478,0.574
479,0.5565
480,0.577
481,0.498
482,0.5265
483,0.524
484,0.525
485,0.5345
486,0.5225
487,0.5055
488,0.51
489,0.5
490,0.5
491,0.5
492,0.5
493,0.5
494,0.5
495,0.5
496,0.5
497,0.5
498,0.5
499,0.5
