num_removed,accuracy
0,0.952
1,0.952
2,0.952
3,0.952
4,0.953
5,0.952
6,0.9515
7,0.9515
8,0.9505
9,0.951
10,0.951
11,0.951
12,0.952
13,0.9505
14,0.951
15,0.952
16,0.952
17,0.952
18,0.952
19,0.9505
20,0.952
21,0.952
22,0.952
23,0.951
24,0.951
25,0.951
26,0.952
27,0.9535
28,0.955
29,0.955
30,0.955
31,0.954
32,0.9545
33,0.9545
34,0.9545
35,0.954
36,0.9545
37,0.954
38,0.9535
39,0.9545
40,0.9545
41,0.954
42,0.955
43,0.955
44,0.954
45,0.954
46,0.954
47,0.953
48,0.953
49,0.955
50,0.955
51,0.955
52,0.955
53,0.955
54,0.955
55,0.955
56,0.955
57,0.9545
58,0.9545
59,0.9545
60,0.9545
61,0.955
62,0.955
63,0.9545
64,0.955
65,0.955
66,0.955
67,0.955
68,0.955
69,0.955
70,0.955
71,0.9545
72,0.9545
73,0.955
74,0.955
75,0.9545
76,0.955
77,0.955
78,0.955
79,0.9545
80,0.9545
81,0.955
82,0.955
83,0.955
84,0.955
85,0.9545
86,0.9545
87,0.9545
88,0.9545
89,0.9545
90,0.954
91,0.955
92,0.9545
93,0.9545
94,0.955
95,0.955
96,0.955
97,0.9545
98,0.9545
99,0.9545
100,0.9545
101,0.955
102,0.9535
103,0.9545
104,0.9535
105,0.9535
106,0.9535
107,0.9535
108,0.9535
109,0.954
110,0.954
111,0.954
112,0.953
113,0.953
114,0.953
115,0.953
116,0.953
117,0.9545
118,0.9545
119,0.9535
120,0.9535
121,0.9545
122,0.9545
123,0.9535
124,0.9535
125,0.954
126,0.954
127,0.9545
128,0.954
129,0.9545
130,0.9545
131,0.9545
132,0.9545
133,0.9545
134,0.954
135,0.954
136,0.954
137,0.9545
138,0.9545
139,0.9545
140,0.954
141,0.9535
142,0.954
143,0.954
144,0.9535
145,0.9545
146,0.953
147,0.9535
148,0.9535
149,0.9535
150,0.9545
151,0.9545
152,0.9535
153,0.9535
154,0.9535
155,0.9535
156,0.9535
157,0.9535
158,0.9535
159,0.954
160,0.9525
161,0.9525
162,0.953
163,0.953
164,0.953
165,0.953
166,0.953
167,0.953
168,0.953
169,0.953
170,0.953
171,0.953
172,0.953
173,0.953
174,0.953
175,0.953
176,0.9525
177,0.953
178,0.953
179,0.953
180,0.953
181,0.953
182,0.953
183,0.953
184,0.953
185,0.9515
186,0.953
187,0.953
188,0.9515
189,0.9535
190,0.952
191,0.9525
192,0.9535
193,0.9535
194,0.9525
195,0.9525
196,0.9535
197,0.9535
198,0.9535
199,0.9535
200,0.9535
201,0.9535
202,0.9525
203,0.9525
204,0.9525
205,0.9525
206,0.9515
207,0.9525
208,0.9525
209,0.9525
210,0.9525
211,0.9525
212,0.9515
213,0.9525
214,0.9525
215,0.9525
216,0.9525
217,0.9525
218,0.9525
219,0.951
220,0.953
221,0.953
222,0.947
223,0.9475
224,0.947
225,0.948
226,0.948
227,0.948
228,0.9475
229,0.948
230,0.9475
231,0.9485
232,0.9485
233,0.9485
234,0.949
235,0.947
236,0.9475
237,0.949
238,0.9475
239,0.9475
240,0.9495
241,0.949
242,0.9485
243,0.949
244,0.947
245,0.9485
246,0.947
247,0.9475
248,0.9465
249,0.948
250,0.9485
251,0.947
252,0.9495
253,0.9485
254,0.9465
255,0.9475
256,0.9475
257,0.948
258,0.948
259,0.9465
260,0.948
261,0.9475
262,0.9475
263,0.9475
264,0.9465
265,0.9495
266,0.9465
267,0.9475
268,0.9475
269,0.947
270,0.947
271,0.947
272,0.947
273,0.947
274,0.947
275,0.947
276,0.946
277,0.946
278,0.944
279,0.9445
280,0.9435
281,0.9445
282,0.943
283,0.9445
284,0.9455
285,0.9475
286,0.9475
287,0.946
288,0.9445
289,0.9465
290,0.944
291,0.944
292,0.945
293,0.945
294,0.947
295,0.9475
296,0.947
297,0.9465
298,0.946
299,0.9455
300,0.944
301,0.9455
302,0.946
303,0.947
304,0.947
305,0.948
306,0.9475
307,0.9495
308,0.948
309,0.9475
310,0.949
311,0.948
312,0.948
313,0.9465
314,0.943
315,0.946
316,0.946
317,0.947
318,0.9485
319,0.945
320,0.9465
321,0.949
322,0.9465
323,0.948
324,0.949
325,0.949
326,0.946
327,0.9465
328,0.9485
329,0.945
330,0.946
331,0.946
332,0.9475
333,0.947
334,0.948
335,0.9475
336,0.9475
337,0.948
338,0.9485
339,0.9475
340,0.947
341,0.948
342,0.9485
343,0.9505
344,0.9475
345,0.947
346,0.945
347,0.9455
348,0.9505
349,0.942
350,0.95
351,0.944
352,0.9465
353,0.948
354,0.949
355,0.9485
356,0.9495
357,0.9455
358,0.9505
359,0.936
360,0.9345
361,0.9225
362,0.933
363,0.9325
364,0.9185
365,0.936
366,0.9365
367,0.934
368,0.93
369,0.9305
370,0.9225
371,0.931
372,0.928
373,0.933
374,0.9315
375,0.94
376,0.9265
377,0.9205
378,0.93
379,0.9275
380,0.926
381,0.927
382,0.93
383,0.9315
384,0.928
385,0.9315
386,0.926
387,0.9265
388,0.927
389,0.919
390,0.925
391,0.9195
392,0.9195
393,0.916
394,0.9245
395,0.908
396,0.9005
397,0.8825
398,0.8875
399,0.897
400,0.899
401,0.885
402,0.8845
403,0.8925
404,0.869
405,0.865
406,0.8595
407,0.8385
408,0.838
409,0.8425
410,0.841
411,0.8505
412,0.847
413,0.8465
414,0.853
415,0.846
416,0.844
417,0.8575
418,0.8435
419,0.837
420,0.838
421,0.836
422,0.8255
423,0.8015
424,0.826
425,0.835
426,0.807
427,0.782
428,0.7895
429,0.754
430,0.753
431,0.756
432,0.741
433,0.7435
434,0.716
435,0.6655
436,0.5935
437,0.5855
438,0.5865
439,0.581
440,0.5825
441,0.5695
442,0.5655
443,0.5375
444,0.5245
445,0.5125
446,0.505
447,0.502
448,0.514
449,0.5075
450,0.4505
451,0.4315
452,0.4095
453,0.4085
454,0.405
455,0.399
456,0.388
457,0.388
458,0.358
459,0.324
460,0.3275
461,0.3415
462,0.3305
463,0.322
464,0.312
465,0.331
466,0.2925
467,0.275
468,0.266
469,0.221
470,0.1885
471,0.1815
472,0.2035
473,0.2265
474,0.176
475,0.0595
476,0.0585
477,0.047
478,0.05
479,0.045
480,0.045
481,0.045
482,0.045
483,0.045
484,0.045
485,0.045
486,0.045
487,0.045
488,0.045
489,0.045
490,0.045
491,0.045
492,0.045
493,0.045
494,0.045
495,0.045
496,0.045
497,0.045
498,0.045
499,0.045
