num_removed,accuracy
0,0.946
1,0.946
2,0.946
3,0.946
4,0.946
5,0.946
6,0.946
7,0.946
8,0.946
9,0.946
10,0.946
11,0.946
12,0.946
13,0.946
14,0.946
15,0.946
16,0.946
17,0.9485
18,0.946
19,0.946
20,0.946
21,0.946
22,0.946
23,0.946
24,0.946
25,0.946
26,0.946
27,0.946
28,0.946
29,0.946
30,0.946
31,0.946
32,0.946
33,0.946
34,0.946
35,0.946
36,0.946
37,0.946
38,0.946
39,0.946
40,0.946
41,0.946
42,0.946
43,0.946
44,0.946
45,0.946
46,0.946
47,0.946
48,0.946
49,0.946
50,0.946
51,0.946
52,0.946
53,0.946
54,0.946
55,0.946
56,0.946
57,0.946
58,0.946
59,0.946
60,0.946
61,0.946
62,0.946
63,0.946
64,0.946
65,0.946
66,0.946
67,0.946
68,0.946
69,0.946
70,0.946
71,0.946
72,0.946
73,0.946
74,0.946
75,0.946
76,0.946
77,0.946
78,0.946
79,0.946
80,0.946
81,0.946
82,0.946
83,0.946
84,0.946
85,0.946
86,0.946
87,0.946
88,0.946
89,0.946
90,0.946
91,0.946
92,0.946
93,0.946
94,0.946
95,0.946
96,0.946
97,0.946
98,0.946
99,0.946
100,0.946
101,0.946
102,0.946
103,0.946
104,0.946
105,0.946
106,0.946
107,0.946
108,0.946
109,0.946
110,0.946
111,0.946
112,0.946
113,0.946
114,0.946
115,0.946
116,0.946
117,0.946
118,0.946
119,0.946
120,0.946
121,0.946
122,0.946
123,0.946
124,0.946
125,0.946
126,0.946
127,0.946
128,0.946
129,0.946
130,0.946
131,0.946
132,0.946
133,0.946
134,0.9435
135,0.9435
136,0.942
137,0.9435
138,0.942
139,0.942
140,0.942
141,0.942
142,0.942
143,0.942
144,0.942
145,0.942
146,0.9435
147,0.942
148,0.9435
149,0.942
150,0.9435
151,0.942
152,0.942
153,0.942
154,0.942
155,0.942
156,0.942
157,0.942
158,0.9435
159,0.9435
160,0.942
161,0.942
162,0.942
163,0.9435
164,0.9435
165,0.9435
166,0.942
167,0.942
168,0.942
169,0.942
170,0.942
171,0.942
172,0.942
173,0.942
174,0.942
175,0.942
176,0.9435
177,0.942
178,0.942
179,0.9435
180,0.942
181,0.942
182,0.942
183,0.9435
184,0.9435
185,0.942
186,0.942
187,0.9435
188,0.942
189,0.942
190,0.942
191,0.942
192,0.942
193,0.941
194,0.94
195,0.942
196,0.9435
197,0.9435
198,0.942
199,0.943
200,0.9435
201,0.9435
202,0.9435
203,0.942
204,0.9435
205,0.94
206,0.9435
207,0.9435
208,0.9435
209,0.9435
210,0.94
211,0.9425
212,0.9405
213,0.9435
214,0.9405
215,0.9435
216,0.942
217,0.942
218,0.942
219,0.942
220,0.9435
221,0.942
222,0.9435
223,0.942
224,0.942
225,0.9435
226,0.9435
227,0.9435
228,0.9415
229,0.9435
230,0.9435
231,0.943
232,0.941
233,0.9435
234,0.941
235,0.94
236,0.9415
237,0.942
238,0.9435
239,0.9435
240,0.942
241,0.942
242,0.942
243,0.942
244,0.9435
245,0.9425
246,0.9435
247,0.942
248,0.942
249,0.942
250,0.9435
251,0.942
252,0.942
253,0.9425
254,0.942
255,0.942
256,0.942
257,0.942
258,0.942
259,0.942
260,0.942
261,0.9415
262,0.942
263,0.9405
264,0.94
265,0.942
266,0.942
267,0.942
268,0.942
269,0.942
270,0.942
271,0.942
272,0.942
273,0.942
274,0.942
275,0.942
276,0.942
277,0.942
278,0.9425
279,0.942
280,0.942
281,0.942
282,0.942
283,0.942
284,0.9425
285,0.942
286,0.942
287,0.942
288,0.942
289,0.9415
290,0.941
291,0.9415
292,0.9415
293,0.942
294,0.9405
295,0.942
296,0.9395
297,0.939
298,0.939
299,0.943
300,0.9445
301,0.944
302,0.945
303,0.9445
304,0.9445
305,0.944
306,0.945
307,0.944
308,0.9415
309,0.9445
310,0.945
311,0.942
312,0.9425
313,0.9435
314,0.9445
315,0.9435
316,0.943
317,0.9435
318,0.9445
319,0.9435
320,0.943
321,0.9435
322,0.941
323,0.944
324,0.9395
325,0.9435
326,0.9395
327,0.941
328,0.94
329,0.944
330,0.9445
331,0.9425
332,0.9515
333,0.952
334,0.9515
335,0.951
336,0.9515
337,0.9505
338,0.9485
339,0.951
340,0.949
341,0.9285
342,0.931
343,0.955
344,0.955
345,0.955
346,0.955
347,0.955
348,0.955
349,0.955
350,0.955
351,0.955
352,0.955
353,0.955
354,0.955
355,0.955
356,0.955
357,0.955
358,0.955
359,0.955
360,0.955
361,0.955
362,0.955
363,0.955
364,0.955
365,0.955
366,0.955
367,0.955
368,0.955
369,0.955
370,0.955
371,0.955
372,0.955
373,0.955
374,0.955
375,0.955
376,0.955
377,0.955
378,0.955
379,0.955
380,0.955
381,0.955
382,0.955
383,0.955
384,0.955
385,0.955
386,0.955
387,0.955
388,0.955
389,0.955
390,0.955
391,0.955
392,0.955
393,0.955
394,0.955
395,0.955
396,0.955
397,0.955
398,0.955
399,0.955
400,0.955
401,0.955
402,0.955
403,0.955
404,0.955
405,0.955
406,0.955
407,0.955
408,0.955
409,0.955
410,0.955
411,0.955
412,0.955
413,0.955
414,0.955
415,0.955
416,0.955
417,0.955
418,0.955
419,0.955
420,0.955
421,0.955
422,0.955
423,0.955
424,0.955
425,0.955
426,0.955
427,0.955
428,0.955
429,0.955
430,0.955
431,0.955
432,0.955
433,0.955
434,0.955
435,0.955
436,0.955
437,0.955
438,0.955
439,0.955
440,0.955
441,0.955
442,0.955
443,0.955
444,0.955
445,0.955
446,0.955
447,0.955
448,0.955
449,0.955
450,0.955
451,0.955
452,0.955
453,0.955
454,0.955
455,0.955
456,0.955
457,0.955
458,0.955
459,0.955
460,0.955
461,0.955
462,0.955
463,0.955
464,0.955
465,0.955
466,0.955
467,0.955
468,0.955
469,0.955
470,0.955
471,0.955
472,0.955
473,0.955
474,0.955
475,0.955
476,0.955
477,0.955
478,0.955
479,0.955
480,0.955
481,0.955
482,0.955
483,0.955
484,0.955
485,0.955
486,0.955
487,0.955
488,0.955
489,0.955
490,0.955
491,0.955
492,0.955
493,0.955
494,0.955
495,0.955
496,0.955
497,0.955
498,0.955
499,0.955
