num_removed,accuracy
0,0.9545
1,0.9545
2,0.9545
3,0.9545
4,0.954
5,0.954
6,0.9525
7,0.955
8,0.9545
9,0.9545
10,0.9545
11,0.9545
12,0.9545
13,0.955
14,0.955
15,0.955
16,0.9545
17,0.955
18,0.9545
19,0.9535
20,0.9535
21,0.954
22,0.955
23,0.9545
24,0.9545
25,0.955
26,0.955
27,0.9545
28,0.9545
29,0.954
30,0.954
31,0.9545
32,0.9535
33,0.953
34,0.9535
35,0.953
36,0.954
37,0.954
38,0.954
39,0.954
40,0.9535
41,0.9545
42,0.9545
43,0.9545
44,0.954
45,0.954
46,0.954
47,0.954
48,0.954
49,0.955
50,0.955
51,0.9545
52,0.954
53,0.9545
54,0.9545
55,0.9545
56,0.954
57,0.955
58,0.955
59,0.955
60,0.955
61,0.954
62,0.954
63,0.954
64,0.955
65,0.9545
66,0.9545
67,0.955
68,0.955
69,0.955
70,0.955
71,0.955
72,0.9545
73,0.9545
74,0.955
75,0.955
76,0.9545
77,0.954
78,0.954
79,0.954
80,0.9545
81,0.9545
82,0.9545
83,0.955
84,0.9545
85,0.955
86,0.9535
87,0.9535
88,0.955
89,0.955
90,0.9545
91,0.955
92,0.954
93,0.9535
94,0.954
95,0.954
96,0.954
97,0.954
98,0.9535
99,0.9535
100,0.9535
101,0.953
102,0.9545
103,0.9535
104,0.954
105,0.954
106,0.9535
107,0.954
108,0.954
109,0.9535
110,0.9545
111,0.9545
112,0.9545
113,0.9545
114,0.954
115,0.954
116,0.954
117,0.954
118,0.954
119,0.954
120,0.954
121,0.9535
122,0.953
123,0.9535
124,0.953
125,0.9535
126,0.953
127,0.9535
128,0.953
129,0.9535
130,0.9525
131,0.9535
132,0.9535
133,0.9535
134,0.953
135,0.952
136,0.952
137,0.9525
138,0.952
139,0.952
140,0.9515
141,0.9525
142,0.9515
143,0.952
144,0.9525
145,0.952
146,0.9515
147,0.9525
148,0.9525
149,0.9525
150,0.9525
151,0.9515
152,0.9525
153,0.9505
154,0.952
155,0.9515
156,0.951
157,0.951
158,0.951
159,0.9525
160,0.952
161,0.952
162,0.952
163,0.952
164,0.952
165,0.952
166,0.9525
167,0.9515
168,0.952
169,0.9525
170,0.9515
171,0.9515
172,0.952
173,0.953
174,0.952
175,0.952
176,0.952
177,0.952
178,0.952
179,0.9525
180,0.953
181,0.9525
182,0.9525
183,0.952
184,0.9515
185,0.9515
186,0.9525
187,0.9525
188,0.9525
189,0.9525
190,0.9525
191,0.9525
192,0.952
193,0.9525
194,0.9525
195,0.952
196,0.952
197,0.9525
198,0.9515
199,0.952
200,0.9515
201,0.9515
202,0.9515
203,0.9525
204,0.9515
205,0.952
206,0.952
207,0.9525
208,0.9515
209,0.952
210,0.9515
211,0.95
212,0.9535
213,0.9525
214,0.9535
215,0.952
216,0.953
217,0.952
218,0.952
219,0.952
220,0.9525
221,0.953
222,0.953
223,0.953
224,0.9525
225,0.953
226,0.953
227,0.952
228,0.953
229,0.953
230,0.953
231,0.9535
232,0.9515
233,0.9525
234,0.952
235,0.951
236,0.9505
237,0.952
238,0.9515
239,0.9525
240,0.9505
241,0.949
242,0.949
243,0.9485
244,0.948
245,0.9495
246,0.9505
247,0.9505
248,0.9505
249,0.95
250,0.9475
251,0.9485
252,0.9475
253,0.947
254,0.9465
255,0.948
256,0.952
257,0.9495
258,0.949
259,0.949
260,0.948
261,0.948
262,0.9495
263,0.951
264,0.9505
265,0.9505
266,0.95
267,0.95
268,0.9505
269,0.95
270,0.949
271,0.95
272,0.9515
273,0.9495
274,0.945
275,0.9485
276,0.95
277,0.947
278,0.946
279,0.9435
280,0.9465
281,0.945
282,0.9445
283,0.9405
284,0.944
285,0.936
286,0.9365
287,0.9345
288,0.9375
289,0.936
290,0.936
291,0.93
292,0.933
293,0.9345
294,0.9305
295,0.926
296,0.9295
297,0.927
298,0.926
299,0.9265
300,0.9235
301,0.9235
302,0.9165
303,0.919
304,0.919
305,0.918
306,0.917
307,0.919
308,0.929
309,0.92
310,0.92
311,0.9205
312,0.908
313,0.9125
314,0.9085
315,0.918
316,0.9155
317,0.916
318,0.917
319,0.919
320,0.917
321,0.9075
322,0.906
323,0.9175
324,0.9025
325,0.901
326,0.902
327,0.9
328,0.9
329,0.896
330,0.8995
331,0.8995
332,0.908
333,0.9025
334,0.904
