num_removed,accuracy
0,0.9545
1,0.955
2,0.955
3,0.9545
4,0.955
5,0.955
6,0.955
7,0.955
8,0.955
9,0.9545
10,0.9545
11,0.9545
12,0.9545
13,0.9545
14,0.954
15,0.955
16,0.955
17,0.954
18,0.954
19,0.954
20,0.9545
21,0.9545
22,0.954
23,0.9545
24,0.9545
25,0.9545
26,0.9545
27,0.954
28,0.954
29,0.954
30,0.954
31,0.954
32,0.954
33,0.954
34,0.955
35,0.9535
36,0.954
37,0.9535
38,0.954
39,0.9535
40,0.955
41,0.955
42,0.9535
43,0.9545
44,0.9545
45,0.9545
46,0.9545
47,0.9545
48,0.9545
49,0.954
50,0.9545
51,0.9545
52,0.9545
53,0.9545
54,0.954
55,0.9535
56,0.954
57,0.9545
58,0.955
59,0.9545
60,0.954
61,0.955
62,0.955
63,0.955
64,0.955
65,0.9545
66,0.9545
67,0.955
68,0.955
69,0.955
70,0.955
71,0.9545
72,0.955
73,0.9545
74,0.9545
75,0.954
76,0.954
77,0.955
78,0.955
79,0.9545
80,0.955
81,0.955
82,0.955
83,0.955
84,0.955
85,0.955
86,0.955
87,0.955
88,0.9545
89,0.953
90,0.954
91,0.9545
92,0.955
93,0.955
94,0.953
95,0.954
96,0.955
97,0.955
98,0.953
99,0.9535
100,0.9555
101,0.954
102,0.955
103,0.953
104,0.9535
105,0.954
106,0.954
107,0.9525
108,0.955
109,0.9545
110,0.9545
111,0.955
112,0.9535
113,0.954
114,0.9535
115,0.953
116,0.954
117,0.9525
118,0.9525
119,0.9535
120,0.953
121,0.9535
122,0.9535
123,0.9515
124,0.9515
125,0.9535
126,0.952
127,0.952
128,0.9535
129,0.9515
130,0.9515
131,0.9535
132,0.9525
133,0.952
134,0.952
135,0.954
136,0.954
137,0.951
138,0.954
139,0.954
140,0.954
141,0.954
142,0.9545
143,0.9545
144,0.9545
145,0.9545
146,0.953
147,0.9515
148,0.9545
149,0.952
150,0.952
151,0.954
152,0.9535
153,0.954
154,0.954
155,0.9535
156,0.953
157,0.9525
158,0.953
159,0.953
160,0.9525
161,0.953
162,0.952
163,0.954
164,0.954
165,0.953
166,0.952
167,0.952
168,0.9535
169,0.9525
170,0.952
171,0.9515
172,0.952
173,0.952
174,0.951
175,0.9515
176,0.9515
177,0.951
178,0.948
179,0.951
180,0.9485
181,0.95
182,0.9505
183,0.9505
184,0.948
185,0.9515
186,0.951
187,0.949
188,0.9475
189,0.9515
190,0.9505
191,0.9495
192,0.9485
193,0.948
194,0.948
195,0.9505
196,0.95
197,0.9515
198,0.9505
199,0.9505
200,0.9515
201,0.951
202,0.9505
203,0.95
204,0.95
205,0.9505
206,0.9515
207,0.951
208,0.9525
209,0.9525
210,0.9505
211,0.9525
212,0.9505
213,0.9515
214,0.9515
215,0.9505
216,0.9515
217,0.952
218,0.951
219,0.951
220,0.9525
221,0.9525
222,0.9525
223,0.9525
224,0.949
225,0.9515
226,0.9475
227,0.953
228,0.9515
229,0.9495
230,0.951
231,0.953
232,0.9525
233,0.946
234,0.95
235,0.95
236,0.949
237,0.952
238,0.952
239,0.952
240,0.9515
241,0.9525
242,0.947
243,0.9505
244,0.952
245,0.952
246,0.9515
247,0.9515
248,0.9465
249,0.9465
250,0.947
251,0.9445
252,0.9445
253,0.9445
254,0.9475
255,0.946
256,0.946
257,0.946
258,0.945
259,0.9455
260,0.9465
261,0.945
262,0.9445
263,0.944
264,0.945
265,0.945
266,0.9445
267,0.944
268,0.944
269,0.9455
270,0.947
271,0.9435
272,0.9445
273,0.9415
274,0.9435
275,0.9435
276,0.946
277,0.945
278,0.943
279,0.94
280,0.94
281,0.9405
282,0.94
283,0.9375
284,0.937
285,0.936
286,0.9375
287,0.9335
288,0.937
289,0.9365
290,0.939
291,0.9315
292,0.931
293,0.9275
294,0.9295
295,0.9265
296,0.929
297,0.929
298,0.925
299,0.926
300,0.9155
301,0.921
302,0.9185
303,0.921
304,0.921
305,0.9185
306,0.92
