num_removed,accuracy
0,0.955
1,0.9555
2,0.9545
3,0.9555
4,0.955
5,0.9555
6,0.9555
7,0.9555
8,0.9545
9,0.9555
10,0.9555
11,0.9555
12,0.9555
13,0.955
14,0.9555
15,0.9555
16,0.9555
17,0.955
18,0.955
19,0.9555
20,0.955
21,0.9545
22,0.955
23,0.955
24,0.955
25,0.9545
26,0.955
27,0.9555
28,0.955
29,0.955
30,0.955
31,0.9555
32,0.9545
33,0.9545
34,0.955
35,0.955
36,0.955
37,0.955
38,0.955
39,0.955
40,0.955
41,0.9555
42,0.955
43,0.955
44,0.9555
45,0.955
46,0.955
47,0.955
48,0.9555
49,0.9555
50,0.9535
51,0.955
52,0.9545
53,0.955
54,0.955
55,0.955
56,0.955
57,0.955
58,0.955
59,0.955
60,0.955
61,0.955
62,0.955
63,0.955
64,0.955
65,0.955
66,0.955
67,0.955
68,0.9545
69,0.955
70,0.955
71,0.955
72,0.955
73,0.955
74,0.955
75,0.955
76,0.9545
77,0.9545
78,0.955
79,0.955
80,0.955
81,0.955
82,0.955
83,0.955
84,0.955
85,0.955
86,0.955
87,0.955
88,0.955
89,0.955
90,0.955
91,0.955
92,0.955
93,0.955
94,0.955
95,0.955
96,0.955
97,0.955
98,0.955
99,0.955
100,0.955
101,0.9545
102,0.955
103,0.955
104,0.955
105,0.955
106,0.955
107,0.955
108,0.955
109,0.955
110,0.954
111,0.954
112,0.954
113,0.954
114,0.9545
115,0.9545
116,0.954
117,0.955
118,0.9545
119,0.9545
120,0.9545
121,0.955
122,0.9545
123,0.9545
124,0.955
125,0.9545
126,0.9545
127,0.954
128,0.954
129,0.955
130,0.954
131,0.954
132,0.9545
133,0.9545
134,0.955
135,0.9545
136,0.9545
137,0.955
138,0.955
139,0.954
140,0.955
141,0.9545
142,0.955
143,0.954
144,0.955
145,0.955
146,0.9545
147,0.954
148,0.954
149,0.955
150,0.955
151,0.953
152,0.9535
153,0.953
154,0.953
155,0.9535
156,0.9535
157,0.953
158,0.9535
159,0.953
160,0.954
161,0.9545
162,0.954
163,0.9535
164,0.9545
165,0.954
166,0.954
167,0.954
168,0.954
169,0.954
170,0.954
171,0.954
172,0.954
173,0.954
174,0.954
175,0.954
176,0.954
177,0.954
178,0.954
179,0.9545
180,0.9545
181,0.954
182,0.954
183,0.954
184,0.954
185,0.954
186,0.954
187,0.954
188,0.954
189,0.9545
190,0.9535
191,0.955
192,0.9545
193,0.954
194,0.9545
195,0.9545
196,0.9545
197,0.9545
198,0.953
199,0.954
200,0.9545
201,0.9525
202,0.9525
203,0.9525
204,0.953
205,0.953
206,0.953
207,0.953
208,0.953
209,0.953
210,0.9535
211,0.9535
212,0.9535
213,0.9535
214,0.9535
215,0.954
216,0.9535
217,0.9535
218,0.9535
219,0.953
220,0.9535
221,0.9535
222,0.953
223,0.953
224,0.953
225,0.9535
226,0.9535
227,0.953
228,0.953
229,0.953
230,0.953
231,0.953
232,0.9535
233,0.9535
234,0.9535
235,0.9535
236,0.953
237,0.9535
238,0.9535
239,0.953
240,0.9535
241,0.9535
242,0.9535
243,0.9535
244,0.953
245,0.953
246,0.952
247,0.9515
248,0.9515
249,0.951
250,0.9515
251,0.952
252,0.952
253,0.9515
254,0.952
255,0.952
256,0.9525
257,0.9525
258,0.953
259,0.9525
260,0.953
261,0.953
262,0.953
263,0.9505
264,0.9525
265,0.953
266,0.952
267,0.952
268,0.9525
269,0.9525
270,0.9525
271,0.9525
272,0.953
273,0.9535
274,0.9545
275,0.9545
276,0.9545
277,0.9535
278,0.9525
279,0.9535
280,0.9535
281,0.954
282,0.9515
283,0.952
284,0.952
285,0.953
286,0.9515
287,0.9525
288,0.952
289,0.952
290,0.9525
291,0.9515
292,0.9525
293,0.952
294,0.9515
295,0.9515
296,0.952
297,0.95
298,0.9515
299,0.952
300,0.9515
301,0.952
302,0.952
303,0.9525
304,0.951
305,0.9525
306,0.952
307,0.952
308,0.9525
309,0.9525
310,0.9525
311,0.9525
312,0.9525
313,0.952
314,0.9525
315,0.953
316,0.952
317,0.9515
318,0.9515
319,0.9525
320,0.952
321,0.9525
322,0.952
323,0.952
324,0.9525
325,0.953
326,0.951
327,0.955
328,0.9545
329,0.9545
330,0.954
331,0.955
332,0.9545
333,0.955
334,0.955
335,0.955
336,0.9545
337,0.955
338,0.955
339,0.955
340,0.9545
341,0.9545
342,0.9545
343,0.955
344,0.955
345,0.953
346,0.9545
347,0.954
348,0.9545
349,0.9535
350,0.9545
351,0.954
352,0.954
353,0.9535
354,0.9545
355,0.9525
356,0.9525
357,0.954
358,0.9525
359,0.9545
360,0.9545
361,0.953
362,0.954
363,0.9535
364,0.9545
365,0.954
366,0.9535
367,0.9535
368,0.954
369,0.9535
370,0.953
371,0.953
372,0.9545
373,0.9505
374,0.9515
375,0.949
376,0.952
377,0.9475
378,0.9495
379,0.951
380,0.951
381,0.9515
382,0.952
383,0.9525
384,0.95
385,0.9495
386,0.9525
387,0.951
388,0.9515
389,0.9515
390,0.951
391,0.952
392,0.948
393,0.95
394,0.9495
395,0.9505
396,0.9505
397,0.951
398,0.949
399,0.9505
400,0.9495
401,0.948
402,0.9495
403,0.95
404,0.95
405,0.949
406,0.951
407,0.9475
408,0.9465
409,0.945
410,0.951
411,0.9515
412,0.9495
413,0.951
414,0.9505
415,0.955
416,0.954
417,0.9505
418,0.9495
419,0.952
420,0.946
421,0.947
422,0.9395
423,0.9465
424,0.945
425,0.944
426,0.946
427,0.9395
428,0.944
429,0.9455
430,0.9495
431,0.945
432,0.9475
433,0.947
434,0.949
435,0.9475
436,0.9505
437,0.9465
438,0.9495
439,0.926
440,0.9185
441,0.9215
442,0.9115
443,0.9155
444,0.925
445,0.92
446,0.928
447,0.925
448,0.927
449,0.9275
450,0.93
451,0.925
452,0.9225
453,0.9285
454,0.923
455,0.9235
456,0.948
457,0.9445
458,0.944
459,0.946
460,0.943
461,0.942
462,0.945
463,0.944
464,0.953
465,0.953
466,0.953
467,0.9535
468,0.9535
469,0.9505
470,0.9525
471,0.952
472,0.952
473,0.9525
474,0.952
475,0.951
476,0.953
477,0.95
478,0.949
479,0.954
480,0.955
481,0.9505
482,0.9535
483,0.955
484,0.95
485,0.95
486,0.9475
487,0.8535
488,0.7905
489,0.955
490,0.955
491,0.955
492,0.955
493,0.955
494,0.955
495,0.955
496,0.955
497,0.955
498,0.955
499,0.955
