num_removed,accuracy
0,0.6925
1,0.695
2,0.6945
3,0.697
4,0.6985
5,0.6945
6,0.6955
7,0.694
8,0.69
9,0.694
10,0.694
11,0.694
12,0.693
13,0.6975
14,0.693
15,0.693
16,0.697
17,0.6915
18,0.693
19,0.6955
20,0.6975
21,0.696
22,0.694
23,0.698
24,0.698
25,0.7
26,0.694
27,0.7
28,0.698
29,0.697
30,0.698
31,0.694
32,0.7015
33,0.7025
34,0.7015
35,0.697
36,0.698
37,0.6955
38,0.699
39,0.699
40,0.6945
41,0.6975
42,0.697
43,0.6965
44,0.6925
45,0.699
46,0.697
47,0.698
48,0.696
49,0.694
50,0.694
51,0.6985
52,0.697
53,0.69
54,0.702
55,0.699
56,0.6955
57,0.6975
58,0.699
59,0.7015
60,0.694
61,0.6955
62,0.694
63,0.701
64,0.6965
65,0.693
66,0.696
67,0.695
68,0.695
69,0.6955
70,0.7
71,0.6955
72,0.694
73,0.694
74,0.697
75,0.692
76,0.695
77,0.6945
78,0.695
79,0.6945
80,0.6955
81,0.6925
82,0.693
83,0.6915
84,0.693
85,0.691
86,0.692
87,0.695
88,0.69
89,0.6925
90,0.69
91,0.686
92,0.6875
93,0.687
94,0.6865
95,0.6855
96,0.6885
97,0.6875
98,0.687
99,0.691
100,0.6865
101,0.6905
102,0.6925
103,0.686
104,0.6895
105,0.6875
106,0.684
107,0.685
108,0.6855
109,0.6885
110,0.685
111,0.6875
112,0.6855
113,0.6865
114,0.687
115,0.685
116,0.6855
117,0.6865
118,0.6845
119,0.686
120,0.6875
121,0.6815
122,0.685
123,0.6855
124,0.687
125,0.687
126,0.685
127,0.687
128,0.6885
129,0.6865
130,0.6865
131,0.689
132,0.684
133,0.6875
134,0.69
135,0.691
136,0.6885
137,0.687
138,0.694
139,0.689
140,0.6875
141,0.692
142,0.687
143,0.691
144,0.684
145,0.6845
146,0.686
147,0.684
148,0.689
149,0.6885
150,0.6875
151,0.6845
152,0.686
153,0.6855
154,0.692
155,0.69
156,0.691
157,0.691
158,0.691
159,0.6895
160,0.685
161,0.69
162,0.6875
163,0.688
164,0.6855
165,0.6825
166,0.682
167,0.6825
168,0.68
169,0.6865
170,0.687
171,0.682
172,0.6835
173,0.684
174,0.682
175,0.682
176,0.6835
177,0.6805
178,0.6785
179,0.6825
180,0.679
181,0.6835
182,0.68
183,0.684
184,0.688
185,0.6865
186,0.6855
187,0.6855
188,0.689
189,0.681
190,0.681
191,0.684
192,0.6805
193,0.6805
194,0.6745
195,0.676
196,0.679
197,0.682
198,0.674
199,0.6775
200,0.6785
201,0.6735
202,0.674
203,0.6595
204,0.6565
205,0.6515
206,0.653
207,0.658
208,0.6635
209,0.655
210,0.661
211,0.6635
212,0.66
213,0.655
214,0.658
215,0.6555
216,0.6565
217,0.6575
218,0.6595
219,0.6595
220,0.653
221,0.6595
222,0.658
223,0.657
224,0.6545
225,0.6485
226,0.644
227,0.643
228,0.642
229,0.6435
230,0.6415
231,0.6435
232,0.636
233,0.639
234,0.6385
235,0.6335
236,0.64
237,0.6335
238,0.6355
