num_removed,accuracy
0,0.6925
1,0.6965
2,0.697
3,0.6985
4,0.6955
5,0.697
6,0.694
7,0.696
8,0.6975
9,0.691
10,0.6995
11,0.6935
12,0.6985
13,0.6995
14,0.6945
15,0.6945
16,0.7
17,0.697
18,0.7015
19,0.7005
20,0.6965
21,0.7
22,0.698
23,0.6985
24,0.696
25,0.703
26,0.697
27,0.6995
28,0.7
29,0.695
30,0.696
31,0.6965
32,0.694
33,0.697
34,0.696
35,0.696
36,0.693
37,0.694
38,0.6925
39,0.693
40,0.6935
41,0.6995
42,0.693
43,0.691
44,0.6915
45,0.6885
46,0.689
47,0.6855
48,0.6855
49,0.6925
50,0.692
51,0.6885
52,0.6905
53,0.689
54,0.6865
55,0.687
56,0.6905
57,0.6895
58,0.6875
59,0.6885
60,0.6885
61,0.6925
62,0.692
63,0.6895
64,0.6935
65,0.695
66,0.6855
67,0.6865
68,0.688
69,0.694
70,0.69
71,0.69
72,0.692
73,0.6875
74,0.687
75,0.6885
76,0.6865
77,0.6875
78,0.686
79,0.6845
80,0.688
81,0.6875
82,0.687
83,0.6865
84,0.6845
85,0.686
86,0.6885
87,0.688
88,0.688
89,0.688
90,0.6835
91,0.682
92,0.682
93,0.679
94,0.6835
95,0.681
96,0.684
97,0.68
98,0.684
99,0.689
100,0.6835
101,0.682
102,0.678
103,0.6735
104,0.672
105,0.6695
106,0.67
107,0.665
108,0.667
109,0.669
110,0.671
111,0.6655
112,0.6635
113,0.663
114,0.667
115,0.6635
116,0.6645
117,0.6625
118,0.6645
119,0.665
120,0.6585
121,0.658
122,0.657
123,0.661
124,0.6565
125,0.657
126,0.6565
127,0.6575
128,0.66
129,0.6585
130,0.6545
131,0.657
132,0.6585
133,0.656
134,0.6485
135,0.647
136,0.6495
137,0.643
138,0.6455
139,0.643
140,0.6375
141,0.647
142,0.637
143,0.6385
144,0.6375
145,0.6385
146,0.643
147,0.651
148,0.643
149,0.6435
150,0.636
151,0.6395
152,0.638
153,0.6405
154,0.639
155,0.633
156,0.638
157,0.6375
158,0.6385
159,0.6395
160,0.632
161,0.636
162,0.632
163,0.634
164,0.6325
165,0.6345
166,0.635
167,0.623
168,0.6295
169,0.628
170,0.624
171,0.6285
172,0.626
173,0.63
174,0.628
175,0.623
176,0.6175
177,0.6195
178,0.6205
179,0.6155
180,0.6155
181,0.612
182,0.613
183,0.605
184,0.607
185,0.6075
186,0.607
187,0.6045
188,0.602
189,0.6055
190,0.604
191,0.609
192,0.607
193,0.599
194,0.598
195,0.602
196,0.6015
197,0.604
198,0.6045
199,0.6
200,0.607
201,0.6075
202,0.6035
203,0.5975
204,0.601
205,0.5985
206,0.599
207,0.6
208,0.5985
209,0.5975
210,0.5995
211,0.597
212,0.597
213,0.5915
214,0.5955
215,0.598
216,0.5965
217,0.5955
218,0.5945
219,0.6
220,0.601
221,0.5975
222,0.595
223,0.5935
224,0.5935
225,0.589
226,0.5915
227,0.5905
228,0.5915
229,0.5895
230,0.59
231,0.584
232,0.5785
233,0.5745
234,0.5825
235,0.5815
236,0.584
237,0.578
238,0.5845
239,0.5695
240,0.5715
241,0.5605
242,0.567
243,0.569
244,0.563
245,0.565
246,0.5575
247,0.556
248,0.561
249,0.5555
250,0.5615
251,0.5555
252,0.56
253,0.56
254,0.5585
255,0.5585
256,0.5575
257,0.5565
258,0.5595
259,0.5545
260,0.552
261,0.5545
262,0.5505
263,0.5495
264,0.5435
265,0.544
266,0.541
267,0.54
268,0.5385
269,0.539
270,0.5435
271,0.5405
272,0.538
273,0.541
274,0.545
275,0.541
276,0.5375
277,0.5305
278,0.522
279,0.5265
280,0.522
281,0.5255
282,0.522
283,0.513
284,0.516
285,0.5135
286,0.516
287,0.5115
288,0.507
289,0.5075
290,0.5125
291,0.5035
292,0.508
293,0.5045
294,0.505
295,0.5015
296,0.502
297,0.4895
298,0.489
299,0.4915
300,0.493
301,0.4905
302,0.492
303,0.4935
304,0.495
305,0.483
306,0.4935
307,0.486
308,0.493
309,0.49
310,0.4885
311,0.4785
312,0.48
313,0.486
314,0.4755
315,0.4855
316,0.486
317,0.484
318,0.4845
319,0.477
320,0.483
321,0.485
322,0.487
323,0.4775
324,0.4805
325,0.487
326,0.4825
327,0.4725
328,0.4695
329,0.49
330,0.4735
331,0.4755
332,0.4755
333,0.4795
334,0.4815
335,0.475
336,0.474
337,0.475
338,0.472
339,0.468
340,0.465
341,0.4665
342,0.467
343,0.472
344,0.4695
345,0.475
