num_removed,accuracy
0,0.6925
1,0.69
2,0.694
3,0.692
4,0.689
5,0.689
6,0.6875
7,0.685
8,0.69
9,0.686
10,0.688
11,0.6875
12,0.6865
13,0.6895
14,0.6865
15,0.685
16,0.6895
17,0.691
18,0.686
19,0.691
20,0.691
21,0.6895
22,0.6905
23,0.6875
24,0.6845
25,0.6895
26,0.6895
27,0.6845
28,0.6855
29,0.6865
30,0.687
31,0.6875
32,0.6855
33,0.6835
34,0.686
35,0.687
36,0.6835
37,0.6845
38,0.689
39,0.6915
40,0.6885
41,0.689
42,0.6915
43,0.6875
44,0.689
45,0.689
46,0.6895
47,0.695
48,0.6875
49,0.6865
50,0.6855
51,0.6875
52,0.6855
53,0.6875
54,0.686
55,0.6845
56,0.6895
57,0.6845
58,0.685
59,0.6895
60,0.6845
61,0.6875
62,0.687
63,0.6835
64,0.6845
65,0.686
66,0.685
67,0.6875
68,0.682
69,0.685
70,0.686
71,0.682
72,0.6805
73,0.6855
74,0.68
75,0.682
76,0.6795
77,0.682
78,0.6795
79,0.679
80,0.679
81,0.6775
82,0.678
83,0.677
84,0.674
85,0.6775
86,0.6785
87,0.6785
88,0.677
89,0.6785
90,0.683
91,0.677
92,0.678
93,0.6755
94,0.6775
95,0.675
96,0.6795
97,0.678
98,0.6845
99,0.68
100,0.6815
101,0.6785
102,0.6795
103,0.679
104,0.678
105,0.6795
106,0.68
107,0.674
108,0.676
109,0.6755
110,0.6715
111,0.671
112,0.675
113,0.6725
114,0.676
115,0.6705
116,0.6715
117,0.673
118,0.6725
119,0.668
120,0.671
121,0.671
122,0.6725
123,0.6675
124,0.6715
125,0.6735
126,0.6745
127,0.6715
128,0.6735
129,0.6745
130,0.669
131,0.6675
132,0.667
133,0.668
134,0.6675
135,0.6685
136,0.668
137,0.6695
138,0.6675
139,0.6605
140,0.6615
141,0.6645
142,0.658
143,0.66
144,0.6645
145,0.661
146,0.6585
147,0.6635
148,0.6625
149,0.6605
150,0.664
151,0.66
152,0.659
