num_removed,accuracy
0,0.6925
1,0.697
2,0.688
3,0.69
4,0.6905
5,0.6935
6,0.6885
7,0.691
8,0.693
9,0.6895
10,0.6945
11,0.688
12,0.6885
13,0.687
14,0.6905
15,0.6875
16,0.6885
17,0.6875
18,0.687
19,0.687
20,0.688
21,0.689
22,0.6895
23,0.6845
24,0.684
25,0.684
26,0.6845
27,0.686
28,0.6865
29,0.687
30,0.684
31,0.684
32,0.689
33,0.689
34,0.689
35,0.6905
36,0.6875
37,0.6885
38,0.6915
39,0.687
40,0.6905
41,0.696
42,0.6945
43,0.695
44,0.695
45,0.696
46,0.6915
47,0.691
48,0.6925
49,0.686
50,0.6875
51,0.689
52,0.6885
53,0.6875
54,0.6845
55,0.682
56,0.681
57,0.683
58,0.687
59,0.6815
60,0.6755
61,0.6805
62,0.683
63,0.6805
64,0.6805
65,0.681
66,0.684
67,0.684
68,0.6855
69,0.686
70,0.685
71,0.685
72,0.6865
73,0.6865
74,0.689
75,0.6845
76,0.6865
77,0.685
78,0.685
79,0.683
80,0.687
81,0.683
82,0.685
83,0.679
84,0.683
85,0.6855
86,0.6825
87,0.682
88,0.6845
89,0.686
90,0.6835
91,0.684
92,0.685
93,0.6805
94,0.688
95,0.6845
96,0.686
97,0.684
98,0.683
99,0.6895
100,0.687
101,0.6895
102,0.6845
103,0.6895
104,0.69
105,0.6885
106,0.688
107,0.6835
108,0.6855
109,0.689
110,0.689
111,0.689
112,0.6905
113,0.691
114,0.693
115,0.6915
116,0.691
117,0.692
118,0.6895
119,0.6915
120,0.6925
121,0.686
122,0.6885
123,0.689
124,0.6885
125,0.6915
126,0.688
127,0.687
128,0.688
129,0.6895
130,0.692
131,0.6905
132,0.69
133,0.687
134,0.685
135,0.686
136,0.687
137,0.686
138,0.688
139,0.689
140,0.6875
141,0.6865
142,0.687
143,0.6865
144,0.6835
145,0.6875
146,0.6865
147,0.688
148,0.6875
149,0.6875
150,0.689
151,0.6875
152,0.6855
153,0.6855
154,0.6865
155,0.6865
156,0.69
157,0.6875
158,0.6895
159,0.687
160,0.6905
161,0.6885
162,0.686
163,0.685
164,0.6855
165,0.686
166,0.6815
167,0.6845
168,0.6845
169,0.6825
170,0.6845
171,0.6855
172,0.686
173,0.687
174,0.6875
175,0.684
176,0.686
177,0.6845
178,0.6845
179,0.683
180,0.689
181,0.6805
182,0.6845
183,0.682
184,0.6855
185,0.6825
186,0.6855
187,0.6855
188,0.686
189,0.6865
190,0.686
191,0.6875
192,0.6875
193,0.688
194,0.689
195,0.684
196,0.687
197,0.6875
198,0.6835
199,0.6845
200,0.6815
201,0.6795
202,0.682
203,0.6815
204,0.685
205,0.6855
206,0.6815
207,0.6825
208,0.681
209,0.6845
210,0.681
211,0.6835
212,0.684
213,0.6815
214,0.683
215,0.68
216,0.6825
217,0.6775
218,0.684
219,0.68
220,0.6815
221,0.679
222,0.6815
223,0.6845
224,0.682
225,0.6815
226,0.6805
227,0.678
228,0.6795
229,0.682
230,0.6785
231,0.6775
232,0.6785
233,0.676
234,0.677
235,0.681
236,0.6815
237,0.678
238,0.676
239,0.6825
240,0.6785
241,0.675
242,0.679
243,0.677
244,0.6815
245,0.6805
246,0.679
247,0.6815
248,0.6815
249,0.6795
250,0.6845
251,0.6805
252,0.6785
253,0.679
254,0.6795
255,0.681
256,0.683
257,0.68
258,0.68
259,0.6805
260,0.68
261,0.681
262,0.6795
263,0.6795
264,0.6795
265,0.675
266,0.6775
267,0.6785
268,0.6795
269,0.6775
270,0.677
271,0.668
272,0.6655
273,0.6645
274,0.672
275,0.666
276,0.6645
277,0.6645
278,0.664
279,0.658
280,0.654
281,0.6555
282,0.6545
283,0.654
284,0.6545
285,0.652
286,0.654
287,0.652
288,0.651
289,0.649
290,0.6495
291,0.652
292,0.6475
293,0.651
294,0.6505
295,0.648
296,0.642
297,0.6425
298,0.644
299,0.6415
300,0.641
301,0.6435
302,0.642
303,0.637
304,0.6475
305,0.6455
306,0.6455
307,0.638
308,0.6275
309,0.625
310,0.6305
311,0.6295
312,0.623
313,0.632
314,0.629
315,0.628
316,0.6285
317,0.626
318,0.627
319,0.6305
320,0.626
321,0.6205
322,0.6245
323,0.6145
324,0.624
325,0.6345
326,0.6285
327,0.6285
328,0.6395
329,0.6485
330,0.645
331,0.644
332,0.647
333,0.6505
334,0.6415
335,0.6425
336,0.6365
337,0.6325
338,0.6375
339,0.64
340,0.633
341,0.631
342,0.625
343,0.6215
344,0.6215
345,0.619
346,0.622
347,0.62
348,0.614
349,0.61
350,0.6095
351,0.611
352,0.615
353,0.6105
354,0.6135
355,0.614
356,0.609
357,0.6115
358,0.612
359,0.6105
360,0.6065
361,0.614
362,0.6125
363,0.6045
364,0.6035
365,0.612
366,0.611
367,0.6075
368,0.613
