num_removed,accuracy
0,0.6785
1,0.6785
2,0.679
3,0.677
4,0.6785
5,0.6805
6,0.676
7,0.6785
8,0.678
9,0.6755
10,0.68
11,0.6775
12,0.6765
13,0.6705
14,0.675
15,0.6755
16,0.6765
17,0.673
18,0.675
19,0.674
20,0.6755
21,0.672
22,0.677
23,0.6695
24,0.669
25,0.67
26,0.6665
27,0.669
28,0.673
29,0.671
30,0.6665
31,0.668
32,0.6705
33,0.6665
34,0.6705
35,0.674
36,0.67
37,0.669
38,0.6685
39,0.663
40,0.6685
41,0.6725
42,0.6695
43,0.669
44,0.67
45,0.6715
46,0.67
47,0.6715
48,0.669
49,0.6695
50,0.667
51,0.67
52,0.6615
53,0.664
54,0.67
55,0.662
56,0.669
57,0.6715
58,0.667
59,0.6685
60,0.671
61,0.6645
62,0.665
63,0.6645
64,0.6665
65,0.668
66,0.6695
67,0.669
68,0.6665
69,0.6695
70,0.667
71,0.667
72,0.6675
73,0.6685
74,0.6665
75,0.6635
76,0.673
77,0.6685
78,0.6675
79,0.668
80,0.6705
81,0.669
82,0.6675
83,0.668
84,0.6735
85,0.6705
86,0.672
87,0.669
88,0.665
89,0.67
90,0.6705
91,0.665
92,0.6675
93,0.661
94,0.669
95,0.664
96,0.6655
97,0.6575
98,0.662
99,0.662
100,0.6615
101,0.662
102,0.66
103,0.6615
104,0.661
105,0.6595
106,0.6565
107,0.6495
108,0.6525
109,0.6565
110,0.6575
111,0.6535
112,0.6525
113,0.6535
114,0.6535
115,0.657
116,0.6565
117,0.6495
118,0.6545
119,0.651
120,0.643
121,0.6535
122,0.6475
123,0.6485
124,0.6465
125,0.6425
126,0.6455
127,0.639
128,0.638
129,0.6395
130,0.6405
131,0.6405
132,0.645
133,0.638
134,0.639
135,0.6445
136,0.641
137,0.639
138,0.638
139,0.6415
140,0.635
141,0.6385
142,0.634
143,0.636
144,0.64
145,0.644
146,0.632
147,0.634
148,0.632
149,0.629
150,0.6335
151,0.6325
152,0.628
153,0.6295
154,0.6265
155,0.6315
156,0.6265
157,0.6245
158,0.626
159,0.6225
160,0.627
161,0.6215
162,0.6255
163,0.6315
