num_removed,accuracy
0,0.6995
1,0.702
2,0.7035
3,0.707
4,0.71
5,0.7095
6,0.7155
7,0.7055
8,0.7105
9,0.7075
10,0.7135
11,0.7075
12,0.7115
13,0.7135
14,0.711
15,0.711
16,0.7065
17,0.711
18,0.7095
19,0.698
20,0.7
21,0.6955
22,0.6965
23,0.702
24,0.698
25,0.699
26,0.6985
27,0.699
28,0.6965
29,0.6985
30,0.6975
31,0.702
32,0.6995
33,0.6965
34,0.697
35,0.696
36,0.6905
37,0.6975
38,0.697
39,0.694
40,0.697
41,0.698
42,0.6955
43,0.6985
44,0.695
45,0.691
46,0.693
47,0.697
48,0.696
49,0.691
50,0.693
51,0.6945
52,0.6925
53,0.6925
54,0.6895
55,0.69
56,0.692
57,0.688
58,0.691
59,0.6925
60,0.6855
61,0.694
62,0.6935
63,0.688
64,0.6935
65,0.6885
66,0.687
67,0.684
68,0.6855
69,0.683
70,0.6895
71,0.6885
72,0.684
73,0.6825
74,0.6845
75,0.69
76,0.6935
77,0.694
78,0.687
79,0.6945
80,0.698
81,0.6945
82,0.691
83,0.697
84,0.6915
85,0.694
86,0.6915
87,0.696
88,0.695
89,0.692
90,0.6925
91,0.6885
92,0.688
93,0.6895
94,0.683
95,0.684
96,0.692
97,0.6885
98,0.682
99,0.6835
100,0.684
101,0.68
102,0.686
103,0.6845
104,0.6885
105,0.6835
106,0.6845
107,0.686
108,0.683
109,0.686
110,0.6845
111,0.6835
112,0.6875
113,0.6855
114,0.6845
115,0.6795
116,0.6805
117,0.6805
118,0.6835
119,0.681
120,0.687
121,0.684
122,0.682
123,0.684
124,0.6885
125,0.686
126,0.6805
127,0.6855
128,0.684
129,0.6845
130,0.682
131,0.688
132,0.683
133,0.682
134,0.684
135,0.685
136,0.684
137,0.6865
138,0.681
139,0.6825
140,0.6815
141,0.684
142,0.678
143,0.682
144,0.682
145,0.6815
146,0.6775
147,0.678
148,0.68
149,0.677
150,0.6795
151,0.679
152,0.678
153,0.6795
154,0.6775
155,0.682
156,0.682
157,0.6715
158,0.6735
