num_removed,accuracy
0,0.6995
1,0.7045
2,0.702
3,0.7055
4,0.7035
5,0.701
6,0.701
7,0.6985
8,0.7045
9,0.7005
10,0.7015
11,0.7005
12,0.7045
13,0.709
14,0.7125
15,0.7065
16,0.7085
17,0.708
18,0.7055
19,0.694
20,0.6995
21,0.704
22,0.695
23,0.6975
24,0.6965
25,0.7
26,0.698
27,0.7005
28,0.704
29,0.704
30,0.703
31,0.705
32,0.706
33,0.7085
34,0.71
35,0.7055
36,0.7055
37,0.706
38,0.7055
39,0.713
40,0.7055
41,0.7045
42,0.7055
43,0.7035
44,0.7075
45,0.7055
46,0.705
47,0.7055
48,0.7055
49,0.7045
50,0.6995
51,0.7065
52,0.704
53,0.705
54,0.705
55,0.7085
56,0.7045
57,0.708
58,0.707
59,0.7045
60,0.7045
61,0.705
62,0.6965
63,0.6985
64,0.693
65,0.702
66,0.697
67,0.6965
68,0.6975
69,0.6995
70,0.7
71,0.703
72,0.7065
73,0.702
74,0.706
75,0.7045
76,0.699
77,0.7045
78,0.7035
79,0.706
80,0.705
81,0.7015
82,0.7005
83,0.702
84,0.699
85,0.703
86,0.702
87,0.698
88,0.7
89,0.7
90,0.6995
91,0.695
92,0.694
93,0.6935
94,0.693
95,0.689
96,0.693
97,0.6985
98,0.695
99,0.702
100,0.6995
101,0.6955
102,0.691
103,0.693
104,0.6875
105,0.697
106,0.699
107,0.695
108,0.697
109,0.693
110,0.691
111,0.688
112,0.6915
113,0.6915
114,0.6945
115,0.698
116,0.6935
117,0.7005
118,0.7015
119,0.6935
120,0.695
121,0.6935
122,0.6945
123,0.6905
124,0.6955
125,0.6955
126,0.6975
127,0.6985
128,0.699
129,0.696
130,0.6945
131,0.7
132,0.6955
133,0.696
134,0.696
135,0.695
136,0.693
137,0.6895
138,0.6915
139,0.6935
140,0.69
141,0.6945
142,0.688
143,0.692
144,0.6915
145,0.6915
146,0.693
147,0.6885
148,0.6845
149,0.69
150,0.688
151,0.687
152,0.6855
153,0.686
154,0.683
155,0.6855
156,0.6885
157,0.695
158,0.688
159,0.6865
160,0.687
161,0.6875
162,0.69
163,0.6855
164,0.684
165,0.6815
166,0.677
167,0.681
168,0.682
169,0.678
170,0.682
171,0.679
172,0.6775
173,0.6775
174,0.6815
175,0.677
176,0.6795
177,0.6785
178,0.6775
179,0.6795
180,0.6765
181,0.678
182,0.6905
183,0.681
184,0.6785
185,0.682
186,0.678
187,0.672
188,0.6765
189,0.6775
190,0.6775
191,0.6795
192,0.6775
193,0.6755
194,0.6765
195,0.6815
196,0.68
197,0.6755
198,0.6765
199,0.675
200,0.678
201,0.6765
202,0.6825
203,0.683
204,0.6855
205,0.683
206,0.679
207,0.6875
208,0.6825
209,0.682
210,0.6785
211,0.6765
212,0.685
213,0.6815
214,0.6815
215,0.6815
216,0.682
217,0.6845
218,0.682
219,0.682
220,0.687
221,0.684
222,0.69
223,0.6865
224,0.685
225,0.683
226,0.683
227,0.6755
228,0.679
229,0.68
230,0.6805
231,0.6755
232,0.677
233,0.6745
234,0.671
235,0.671
236,0.672
237,0.6735
238,0.6815
239,0.6715
240,0.6715
241,0.666
242,0.6705
243,0.6705
244,0.6755
245,0.678
246,0.6705
247,0.672
248,0.669
249,0.6705
250,0.6745
251,0.6735
252,0.672
253,0.6705
254,0.6715
255,0.674
256,0.6695
257,0.674
258,0.67
259,0.67
260,0.6725
261,0.675
262,0.6685
263,0.6675
264,0.671
265,0.6635
266,0.666
267,0.669
268,0.6645
269,0.664
270,0.6585
271,0.6595
272,0.6595
273,0.6565
274,0.659
275,0.662
276,0.665
277,0.653
278,0.655
279,0.651
280,0.6475
281,0.644
282,0.6425
283,0.646
284,0.6445
285,0.6395
286,0.6405
287,0.646
288,0.645
289,0.643
290,0.648
291,0.6415
292,0.6445
293,0.6455
294,0.6485
295,0.6495
296,0.649
297,0.6455
298,0.6345
299,0.6385
300,0.64
301,0.6395
302,0.6385
303,0.641
304,0.6335
305,0.6345
306,0.6355
307,0.6345
308,0.6435
309,0.6455
310,0.639
311,0.643
312,0.6405
313,0.638
314,0.633
315,0.636
316,0.639
317,0.64
318,0.6385
319,0.642
320,0.642
321,0.635
322,0.645
323,0.6335
324,0.634
325,0.639
326,0.6315
327,0.632
328,0.634
329,0.6325
330,0.637
331,0.634
332,0.64
333,0.634
334,0.6395
335,0.632
336,0.6345
337,0.642
338,0.65
339,0.6445
340,0.6565
341,0.658
342,0.657
343,0.6525
344,0.6505
345,0.65
346,0.653
347,0.655
348,0.654
349,0.655
350,0.66
351,0.659
352,0.6535
353,0.6515
354,0.6525
355,0.6525
356,0.6545
357,0.65
358,0.647
359,0.6415
360,0.638
361,0.6335
362,0.6395
363,0.634
364,0.6345
365,0.6295
366,0.6295
367,0.6375
368,0.63
369,0.647
370,0.6435
371,0.643
372,0.6435
373,0.6455
374,0.6445
375,0.6445
376,0.6475
377,0.6465
378,0.6495
379,0.646
380,0.651
381,0.6525
382,0.654
383,0.646
384,0.6465
385,0.641
386,0.635
387,0.6375
388,0.6415
389,0.6445
390,0.639
391,0.645
392,0.648
393,0.6475
394,0.6435
395,0.645
396,0.6275
397,0.628
398,0.6265
399,0.6185
400,0.624
401,0.6375
402,0.629
403,0.639
404,0.638
405,0.629
406,0.6255
407,0.627
408,0.6235
409,0.611
410,0.604
411,0.5925
412,0.594
413,0.595
414,0.604
415,0.594
416,0.589
417,0.583
418,0.6
419,0.559
420,0.55
421,0.546
422,0.545
423,0.538
424,0.545
425,0.535
426,0.546
427,0.559
428,0.5475
429,0.5685
430,0.552
431,0.545
432,0.5555
433,0.538
434,0.549
435,0.5375
436,0.5405
437,0.5305
438,0.551
439,0.5545
440,0.554
441,0.55
442,0.548
443,0.552
444,0.544
445,0.546
446,0.534
447,0.554
448,0.556
449,0.557
450,0.5455
451,0.5375
452,0.5415
453,0.537
454,0.5125
455,0.566
456,0.553
457,0.555
458,0.558
459,0.5725
460,0.5375
461,0.536
462,0.564
463,0.5535
464,0.5565
465,0.5675
466,0.5685
467,0.5605
468,0.5635
469,0.5615
470,0.5795
471,0.579
472,0.573
473,0.535
474,0.5365
475,0.5305
476,0.5225
477,0.5125
478,0.513
479,0.5055
480,0.485
481,0.5165
482,0.484
483,0.4795
484,0.456
485,0.4685
486,0.4695
487,0.473
488,0.467
489,0.4875
