num_removed,accuracy
0,0.6995
1,0.7015
2,0.697
3,0.702
4,0.696
5,0.6965
6,0.703
7,0.6975
8,0.7
9,0.701
10,0.702
11,0.707
12,0.7075
13,0.7015
14,0.704
15,0.7015
16,0.706
17,0.715
18,0.7105
19,0.7185
20,0.7125
21,0.7175
22,0.709
23,0.7085
24,0.711
25,0.71
26,0.705
27,0.7095
28,0.7035
29,0.706
30,0.7055
31,0.7075
32,0.7055
33,0.706
34,0.704
35,0.703
36,0.704
37,0.7015
38,0.7005
39,0.705
40,0.7025
41,0.697
42,0.7045
43,0.7005
44,0.705
45,0.701
46,0.7065
47,0.704
48,0.704
49,0.706
50,0.701
51,0.7045
52,0.707
53,0.7
54,0.704
55,0.7035
56,0.7015
57,0.6985
58,0.7095
59,0.7
60,0.702
61,0.7025
62,0.7035
63,0.707
64,0.702
65,0.7005
66,0.6935
67,0.702
68,0.7005
69,0.702
70,0.6945
71,0.6905
72,0.697
73,0.702
74,0.697
75,0.703
76,0.701
77,0.6995
78,0.701
79,0.7055
80,0.7015
81,0.698
82,0.702
83,0.6975
84,0.7
85,0.7
86,0.702
87,0.7015
88,0.703
89,0.7055
90,0.7045
91,0.706
92,0.708
93,0.707
94,0.711
95,0.7075
96,0.707
97,0.7085
98,0.7065
99,0.708
100,0.7085
101,0.709
102,0.7075
103,0.711
104,0.702
105,0.7055
106,0.7055
107,0.7
108,0.7025
109,0.6985
110,0.704
111,0.7025
112,0.706
113,0.705
114,0.702
115,0.701
116,0.7055
117,0.7085
118,0.708
119,0.7025
120,0.7025
121,0.7055
122,0.701
123,0.7085
124,0.6995
125,0.6995
126,0.704
127,0.702
128,0.7
129,0.705
130,0.704
131,0.701
132,0.701
133,0.7035
134,0.704
135,0.707
136,0.7
137,0.6995
138,0.6985
139,0.702
140,0.701
141,0.7015
142,0.6975
143,0.698
144,0.6985
145,0.698
146,0.6965
147,0.702
148,0.699
149,0.698
150,0.704
151,0.6955
152,0.693
153,0.7025
154,0.6955
155,0.702
156,0.6935
157,0.697
158,0.694
159,0.694
160,0.6975
161,0.6945
162,0.6955
163,0.697
164,0.695
165,0.693
166,0.693
167,0.6885
168,0.6945
169,0.6965
170,0.6845
171,0.693
172,0.6975
173,0.6915
174,0.6985
175,0.693
176,0.703
177,0.689
178,0.693
179,0.694
180,0.6885
181,0.695
182,0.6925
183,0.6985
184,0.6985
185,0.6955
186,0.6985
187,0.6955
188,0.6915
189,0.684
190,0.689
191,0.6835
192,0.6885
193,0.694
194,0.6905
195,0.6865
196,0.6835
197,0.6765
198,0.6825
199,0.678
200,0.68
201,0.678
202,0.679
203,0.6765
204,0.6795
205,0.676
206,0.681
207,0.6815
208,0.679
209,0.6815
210,0.6795
211,0.6785
212,0.679
213,0.68
214,0.6835
215,0.68
216,0.6715
217,0.6745
218,0.676
219,0.6715
220,0.6805
221,0.6765
222,0.6745
223,0.6795
224,0.6765
225,0.6795
226,0.678
227,0.6785
228,0.676
229,0.68
230,0.676
231,0.6765
232,0.677
233,0.677
234,0.6715
235,0.6725
236,0.6765
237,0.678
238,0.679
239,0.678
240,0.678
241,0.68
242,0.6705
243,0.679
244,0.671
245,0.6765
246,0.679
247,0.68
248,0.685
249,0.6755
250,0.67
251,0.669
252,0.676
253,0.6705
254,0.666
255,0.674
256,0.669
257,0.676
258,0.6795
259,0.675
260,0.675
261,0.68
262,0.6795
263,0.676
264,0.676
265,0.6785
266,0.6655
267,0.66
268,0.662
269,0.656
270,0.662
271,0.6585
272,0.657
273,0.6585
274,0.6615
275,0.662
276,0.659
277,0.6625
278,0.667
279,0.6605
280,0.655
281,0.657
282,0.6555
283,0.654
284,0.6555
285,0.656
286,0.6495
287,0.652
288,0.6495
289,0.645
290,0.6475
291,0.6545
292,0.6505
293,0.6505
294,0.6555
295,0.6505
296,0.6485
297,0.6515
298,0.6525
299,0.648
300,0.648
301,0.6475
302,0.642
303,0.645
304,0.6465
305,0.644
306,0.648
307,0.6455
308,0.6415
309,0.6495
310,0.6435
311,0.643
312,0.6395
313,0.644
314,0.6395
315,0.6395
316,0.6365
317,0.641
318,0.639
319,0.637
320,0.638
321,0.6395
322,0.6435
323,0.6445
324,0.642
325,0.6425
326,0.645
327,0.642
328,0.6475
329,0.6435
330,0.628
331,0.6295
332,0.629
333,0.627
334,0.6285
335,0.6315
336,0.63
337,0.6275
338,0.628
339,0.63
340,0.635
341,0.628
342,0.628
343,0.629
344,0.6275
345,0.6255
346,0.6285
347,0.629
348,0.629
349,0.6255
350,0.6315
351,0.6285
352,0.6265
353,0.628
354,0.63
355,0.6325
356,0.6305
357,0.6315
358,0.63
359,0.632
360,0.631
361,0.6185
362,0.63
363,0.632
364,0.6355
365,0.64
366,0.6345
367,0.6335
368,0.6425
369,0.6395
370,0.641
371,0.6415
372,0.6345
373,0.6465
374,0.6405
375,0.6445
376,0.636
377,0.632
378,0.632
379,0.6295
380,0.6325
381,0.632
382,0.632
383,0.6325
384,0.6275
385,0.638
386,0.6365
387,0.638
388,0.634
389,0.6325
390,0.634
391,0.6415
392,0.648
393,0.659
394,0.6595
395,0.659
396,0.6535
397,0.654
398,0.652
399,0.6515
400,0.6515
401,0.6525
402,0.6575
403,0.6495
404,0.654
405,0.6545
406,0.6505
407,0.657
408,0.652
409,0.655
410,0.645
411,0.647
412,0.645
413,0.644
414,0.6455
415,0.644
416,0.6445
417,0.6355
418,0.637
419,0.631
420,0.621
421,0.622
422,0.618
423,0.619
424,0.6195
425,0.619
426,0.6145
427,0.611
428,0.603
429,0.59
430,0.5905
431,0.598
432,0.5965
433,0.6025
434,0.618
435,0.6025
436,0.5965
437,0.5965
438,0.607
439,0.6235
440,0.6225
441,0.622
442,0.613
443,0.614
444,0.6255
445,0.6345
446,0.63
447,0.6275
448,0.6205
449,0.605
450,0.6015
451,0.5985
452,0.597
453,0.599
454,0.592
455,0.594
456,0.5965
457,0.6045
458,0.6035
459,0.6345
460,0.636
461,0.602
462,0.6035
463,0.599
464,0.6005
465,0.624
466,0.566
467,0.567
468,0.588
469,0.58
470,0.585
471,0.5885
472,0.595
473,0.5975
474,0.6435
475,0.621
476,0.619
477,0.6095
