num_removed,accuracy
0,0.898
1,0.898
2,0.8935
3,0.8925
4,0.8895
5,0.8895
6,0.8895
7,0.8955
8,0.8925
9,0.8915
10,0.8925
11,0.8905
12,0.894
13,0.8945
14,0.893
15,0.8935
16,0.89
17,0.8945
18,0.8925
19,0.898
20,0.8955
21,0.8945
22,0.893
23,0.892
24,0.8945
25,0.8945
26,0.8955
27,0.893
28,0.8945
29,0.8915
30,0.8935
31,0.897
32,0.8935
33,0.896
34,0.8905
35,0.895
36,0.892
37,0.8885
38,0.892
39,0.8965
40,0.8965
41,0.8955
42,0.891
43,0.898
44,0.896
45,0.8905
46,0.8955
47,0.892
48,0.894
49,0.8925
50,0.8895
51,0.889
52,0.8955
53,0.89
54,0.894
55,0.895
56,0.892
57,0.8905
58,0.889
59,0.893
60,0.892
61,0.891
62,0.8895
63,0.89
64,0.886
65,0.8935
66,0.8905
67,0.888
68,0.8925
69,0.887
70,0.885
71,0.888
72,0.8855
73,0.889
74,0.884
75,0.8905
76,0.888
77,0.8865
78,0.8895
79,0.8865
80,0.887
81,0.883
82,0.8885
83,0.887
84,0.887
85,0.893
86,0.896
87,0.896
88,0.8865
89,0.886
90,0.888
91,0.8895
92,0.8865
93,0.89
94,0.889
95,0.8895
96,0.886
97,0.886
98,0.887
99,0.8885
100,0.8865
101,0.884
102,0.884
103,0.886
104,0.886
105,0.8855
106,0.885
107,0.882
108,0.884
109,0.8845
110,0.8815
111,0.8815
112,0.8845
113,0.885
114,0.887
115,0.889
116,0.882
117,0.887
118,0.8865
119,0.8865
120,0.887
121,0.8855
122,0.884
123,0.8835
124,0.8855
125,0.8855
126,0.8835
127,0.8875
128,0.889
129,0.8875
130,0.883
131,0.885
132,0.884
133,0.8865
134,0.886
135,0.885
136,0.8855
137,0.883
138,0.8865
139,0.8835
140,0.888
141,0.887
142,0.885
143,0.8885
144,0.885
145,0.8885
146,0.8865
147,0.8835
148,0.887
149,0.885
150,0.8865
151,0.8795
152,0.883
153,0.8805
154,0.8825
155,0.89
156,0.8875
157,0.887
158,0.885
159,0.8855
160,0.886
161,0.884
162,0.8855
163,0.888
164,0.886
165,0.886
166,0.887
167,0.886
168,0.8855
169,0.89
170,0.8895
171,0.8855
172,0.886
173,0.8855
174,0.889
175,0.8875
176,0.887
177,0.886
178,0.888
179,0.887
180,0.8855
181,0.886
182,0.8865
183,0.888
184,0.8855
185,0.8845
186,0.8835
187,0.882
188,0.8835
189,0.888
190,0.886
191,0.886
192,0.8875
193,0.8875
194,0.889
195,0.885
196,0.8865
197,0.885
198,0.8835
199,0.885
200,0.8845
201,0.881
202,0.8835
203,0.883
204,0.885
205,0.8865
206,0.885
207,0.886
208,0.888
209,0.8885
210,0.8855
211,0.883
212,0.885
213,0.8835
214,0.881
215,0.8855
216,0.8855
217,0.886
218,0.888
219,0.8855
220,0.885
221,0.882
222,0.881
223,0.8855
224,0.8785
225,0.883
226,0.8825
227,0.881
228,0.88
229,0.8815
230,0.878
231,0.8845
232,0.8855
233,0.872
234,0.876
235,0.8705
236,0.8765
237,0.8775
238,0.873
239,0.8625
240,0.863
241,0.87
242,0.867
243,0.8675
244,0.8685
245,0.8715
246,0.87
247,0.8725
248,0.8715
249,0.8745
250,0.8705
251,0.876
252,0.8745
253,0.872
254,0.874
255,0.8775
256,0.871
257,0.8745
258,0.873
259,0.876
260,0.8755
261,0.8765
262,0.872
263,0.8745
264,0.8765
265,0.8745
266,0.877
267,0.8735
268,0.878
269,0.877
270,0.8805
271,0.8715
272,0.871
273,0.8705
274,0.8695
275,0.8755
276,0.875
277,0.8775
278,0.8775
279,0.8775
280,0.8755
281,0.8725
282,0.874
283,0.8725
284,0.87
285,0.872
286,0.8745
287,0.87
288,0.867
289,0.867
290,0.8715
291,0.868
292,0.8665
293,0.862
294,0.8675
295,0.8725
296,0.8665
297,0.8675
298,0.876
299,0.8755
300,0.8765
301,0.8725
302,0.8695
303,0.876
304,0.865
305,0.873
306,0.8685
307,0.8745
308,0.8725
309,0.8705
310,0.872
311,0.8725
312,0.874
313,0.874
314,0.8695
315,0.8715
316,0.873
317,0.871
318,0.8665
319,0.869
320,0.8705
321,0.8665
322,0.875
323,0.8645
324,0.8705
325,0.8715
326,0.871
327,0.866
328,0.8565
329,0.867
330,0.8535
331,0.8575
332,0.8565
333,0.8495
334,0.86
335,0.855
336,0.86
337,0.8605
338,0.861
339,0.863
340,0.8615
341,0.8565
342,0.8575
343,0.8565
344,0.8605
345,0.8585
346,0.8565
347,0.856
348,0.8515
349,0.852
350,0.853
351,0.8565
352,0.8595
353,0.857
354,0.853
355,0.856
356,0.862
357,0.859
358,0.8615
359,0.8625
360,0.853
361,0.849
362,0.856
363,0.8545
364,0.858
365,0.852
366,0.859
367,0.859
368,0.8615
369,0.861
370,0.857
371,0.854
372,0.853
373,0.841
374,0.8505
375,0.846
376,0.8465
377,0.8445
378,0.8435
379,0.839
380,0.835
381,0.8435
382,0.8465
383,0.849
384,0.843
385,0.844
386,0.8425
387,0.8415
388,0.842
389,0.84
390,0.8455
391,0.841
392,0.843
393,0.8365
394,0.8395
395,0.837
396,0.833
397,0.8395
398,0.8355
399,0.8285
400,0.833
401,0.82
402,0.819
403,0.8185
404,0.815
405,0.8185
406,0.822
407,0.824
408,0.8095
409,0.808
410,0.8165
411,0.814
412,0.814
413,0.8115
414,0.8065
415,0.8015
416,0.8065
417,0.8115
418,0.803
419,0.802
420,0.8035
421,0.799
422,0.779
423,0.7855
424,0.7895
425,0.7815
426,0.769
427,0.7635
428,0.7775
429,0.7745
430,0.7855
431,0.775
432,0.757
433,0.7645
434,0.766
435,0.757
436,0.747
437,0.764
438,0.7595
439,0.749
440,0.7525
441,0.754
442,0.7315
443,0.7425
444,0.753
445,0.742
446,0.7215
447,0.7
448,0.6945
449,0.715
450,0.7125
451,0.7065
452,0.5685
453,0.6075
454,0.5625
455,0.605
456,0.574
457,0.5555
458,0.545
459,0.579
460,0.5935
461,0.5935
462,0.562
463,0.552
464,0.5455
465,0.5485
466,0.528
467,0.5315
468,0.524
469,0.5275
470,0.5045
471,0.508
472,0.495
473,0.5305
474,0.53
475,0.5195
476,0.559
477,0.541
478,0.5215
479,0.548
480,0.54
481,0.5705
482,0.568
483,0.5485
484,0.5285
485,0.546
486,0.524
487,0.597
488,0.6205
489,0.5325
490,0.5325
491,0.5325
492,0.5325
493,0.5325
494,0.5325
495,0.5325
496,0.5325
497,0.5325
498,0.5325
499,0.5325
