num_removed,accuracy
0,0.898
1,0.897
2,0.8965
3,0.894
4,0.8905
5,0.8975
6,0.892
7,0.895
8,0.894
9,0.894
10,0.8945
11,0.894
12,0.889
13,0.887
14,0.8895
15,0.893
16,0.8915
17,0.89
18,0.8905
19,0.8885
20,0.8895
21,0.8895
22,0.8915
23,0.893
24,0.8895
25,0.8895
26,0.891
27,0.8915
28,0.8895
29,0.892
30,0.8855
31,0.885
32,0.8865
33,0.892
34,0.8875
35,0.888
36,0.886
37,0.8865
38,0.883
39,0.8865
40,0.889
41,0.885
42,0.886
43,0.8845
44,0.8855
45,0.884
46,0.883
47,0.883
48,0.8785
49,0.883
50,0.883
51,0.8815
52,0.881
53,0.885
54,0.8825
55,0.885
56,0.8815
57,0.882
58,0.8855
59,0.88
60,0.8835
61,0.8785
62,0.8795
63,0.881
64,0.881
65,0.8815
66,0.879
67,0.88
68,0.879
69,0.8825
70,0.878
71,0.881
72,0.879
73,0.878
74,0.8765
75,0.876
76,0.8795
77,0.871
78,0.877
79,0.878
80,0.872
81,0.8765
82,0.875
83,0.8745
84,0.874
85,0.876
86,0.8785
87,0.8735
88,0.871
89,0.874
90,0.872
91,0.8725
92,0.8745
93,0.8765
94,0.8765
95,0.877
96,0.8795
97,0.8795
98,0.878
99,0.881
100,0.8795
101,0.876
102,0.8715
103,0.869
104,0.867
105,0.8675
106,0.8675
107,0.869
108,0.871
109,0.871
110,0.871
111,0.8725
112,0.8725
113,0.8705
114,0.871
115,0.87
116,0.868
117,0.8715
118,0.87
119,0.869
120,0.8705
121,0.8665
122,0.8695
123,0.87
124,0.87
125,0.868
126,0.8675
127,0.865
128,0.865
129,0.8705
130,0.87
131,0.864
132,0.8645
133,0.864
134,0.864
135,0.8635
136,0.865
137,0.866
138,0.8655
139,0.8685
140,0.864
141,0.865
142,0.865
143,0.859
144,0.8625
145,0.866
146,0.863
147,0.8685
148,0.8695
149,0.867
150,0.8635
151,0.8665
152,0.865
153,0.864
154,0.866
155,0.865
156,0.862
157,0.8635
158,0.867
159,0.867
160,0.863
161,0.862
162,0.862
163,0.866
164,0.8615
165,0.8635
166,0.862
167,0.8615
168,0.8655
169,0.869
170,0.865
171,0.8665
172,0.864
173,0.8635
174,0.861
175,0.862
176,0.861
177,0.8625
178,0.8625
179,0.8605
180,0.8605
181,0.8625
182,0.86
183,0.863
184,0.864
185,0.8625
186,0.8605
187,0.8615
188,0.862
189,0.8635
190,0.861
191,0.8585
192,0.8615
193,0.8575
194,0.858
195,0.86
196,0.8575
197,0.8605
198,0.8585
199,0.858
200,0.8585
201,0.8585
202,0.8585
203,0.8595
204,0.8615
205,0.859
206,0.86
207,0.8605
208,0.857
209,0.856
210,0.8555
211,0.857
212,0.8605
213,0.862
214,0.8615
215,0.8575
216,0.862
217,0.8605
218,0.861
219,0.861
220,0.8635
221,0.8595
222,0.86
223,0.8645
224,0.8615
225,0.861
226,0.8615
227,0.8605
228,0.858
229,0.8615
230,0.8635
231,0.8595
232,0.8605
233,0.8625
234,0.859
235,0.858
236,0.86
237,0.8675
238,0.865
239,0.866
240,0.8675
241,0.859
242,0.8535
243,0.8595
244,0.8515
245,0.859
246,0.857
247,0.8625
248,0.858
249,0.8535
250,0.852
251,0.8405
252,0.8435
253,0.8515
254,0.8445
255,0.854
256,0.8495
257,0.8495
258,0.8495
259,0.855
260,0.851
261,0.8545
262,0.856
263,0.858
264,0.8595
265,0.8585
266,0.851
267,0.8655
268,0.8615
269,0.8605
270,0.8615
271,0.8645
272,0.8625
273,0.8655
274,0.862
275,0.86
276,0.8575
277,0.8625
278,0.8645
279,0.86
280,0.863
281,0.861
282,0.8585
283,0.8625
284,0.8565
285,0.8615
286,0.86
287,0.8565
288,0.858
289,0.85
290,0.854
291,0.856
292,0.853
293,0.8575
294,0.8555
295,0.8395
296,0.844
297,0.8475
298,0.848
299,0.845
300,0.851
301,0.845
302,0.8405
303,0.838
304,0.8415
305,0.8245
306,0.8415
307,0.838
308,0.8375
309,0.8355
310,0.8335
311,0.8365
312,0.822
313,0.829
314,0.8265
315,0.825
316,0.8335
317,0.838
318,0.8265
319,0.826
320,0.821
321,0.8355
322,0.835
323,0.838
324,0.828
325,0.8335
326,0.825
327,0.8275
328,0.826
329,0.8195
330,0.823
331,0.8245
332,0.8255
333,0.836
334,0.827
335,0.822
336,0.821
337,0.8225
338,0.83
339,0.833
340,0.831
341,0.831
342,0.8205
343,0.822
344,0.833
345,0.833
346,0.827
347,0.824
348,0.827
349,0.824
350,0.824
351,0.8325
352,0.831
353,0.8315
354,0.832
355,0.8255
356,0.826
357,0.8245
358,0.831
359,0.839
360,0.832
361,0.8345
362,0.834
363,0.8305
364,0.8305
365,0.822
366,0.823
367,0.817
368,0.8005
369,0.795
370,0.7865
371,0.7745
372,0.7755
373,0.795
374,0.8095
375,0.8
376,0.8025
377,0.794
378,0.796
379,0.788
380,0.7975
381,0.783
382,0.7865
383,0.7525
384,0.7545
385,0.743
386,0.7455
387,0.7525
388,0.74
389,0.7425
390,0.7465
391,0.735
392,0.7385
393,0.717
394,0.712
395,0.715
396,0.715
397,0.7065
398,0.707
399,0.7055
400,0.6995
401,0.699
402,0.704
403,0.7145
404,0.701
405,0.701
406,0.6965
407,0.6885
408,0.7005
409,0.7015
410,0.6765
411,0.6805
412,0.6685
413,0.663
414,0.654
415,0.6545
416,0.6475
417,0.657
418,0.656
419,0.6705
420,0.6775
421,0.6735
422,0.6655
423,0.658
424,0.649
425,0.651
426,0.651
427,0.643
428,0.652
429,0.6405
430,0.646
431,0.6335
432,0.633
433,0.6255
434,0.6265
435,0.628
436,0.6205
437,0.623
438,0.6215
439,0.6145
440,0.6265
441,0.631
442,0.614
443,0.6045
