num_removed,accuracy
0,0.898
1,0.8945
2,0.8955
3,0.8945
4,0.8945
5,0.895
6,0.8965
7,0.8965
8,0.8975
9,0.8955
10,0.8915
11,0.893
12,0.893
13,0.8905
14,0.893
15,0.899
16,0.8945
17,0.892
18,0.8945
19,0.8995
20,0.8965
21,0.897
22,0.898
23,0.8945
24,0.895
25,0.895
26,0.8985
27,0.8955
28,0.899
29,0.8935
30,0.8925
31,0.893
32,0.897
33,0.896
34,0.896
35,0.898
36,0.8925
37,0.8925
38,0.8905
39,0.891
40,0.8875
41,0.8915
42,0.8915
43,0.89
44,0.8915
45,0.8915
46,0.8865
47,0.891
48,0.8925
49,0.8985
50,0.887
51,0.894
52,0.8875
53,0.888
54,0.889
55,0.894
56,0.889
57,0.8875
58,0.8875
59,0.8895
60,0.887
61,0.8885
62,0.8885
63,0.8865
64,0.8875
65,0.8905
66,0.8875
67,0.8905
68,0.89
69,0.8915
70,0.886
71,0.8875
72,0.888
73,0.885
74,0.887
75,0.89
76,0.8865
77,0.8895
78,0.887
79,0.8895
80,0.8895
81,0.886
82,0.887
83,0.8885
84,0.8905
85,0.888
86,0.888
87,0.887
88,0.8875
89,0.8875
90,0.89
91,0.888
92,0.888
93,0.885
94,0.885
95,0.8845
96,0.884
97,0.8845
98,0.885
99,0.886
100,0.885
101,0.888
102,0.887
103,0.887
104,0.8865
105,0.8895
106,0.884
107,0.889
108,0.891
109,0.891
110,0.886
111,0.888
112,0.8845
113,0.8885
114,0.886
115,0.8895
116,0.889
117,0.8935
118,0.89
119,0.889
120,0.8845
121,0.89
122,0.887
123,0.8905
124,0.889
125,0.8935
126,0.8925
127,0.888
128,0.8865
129,0.8945
130,0.89
131,0.887
132,0.8875
133,0.886
134,0.888
135,0.891
136,0.888
137,0.8885
138,0.891
139,0.8875
140,0.8915
141,0.883
142,0.883
143,0.885
144,0.8865
145,0.8905
146,0.8905
147,0.891
148,0.8875
149,0.89
150,0.8875
151,0.8855
152,0.888
153,0.888
154,0.886
155,0.8835
156,0.883
157,0.8845
158,0.8825
159,0.886
160,0.881
161,0.882
162,0.8855
163,0.886
164,0.8835
165,0.8815
166,0.8845
167,0.8825
168,0.884
169,0.8825
170,0.884
171,0.882
172,0.8825
173,0.879
174,0.883
175,0.8855
176,0.8855
177,0.885
178,0.887
179,0.886
180,0.885
181,0.8855
182,0.8865
183,0.894
184,0.8875
185,0.8885
186,0.8835
187,0.887
188,0.889
189,0.889
190,0.8875
191,0.8875
192,0.8865
193,0.887
194,0.886
195,0.885
196,0.885
197,0.886
198,0.884
199,0.8865
200,0.8885
201,0.8855
202,0.8845
203,0.884
204,0.8895
205,0.885
206,0.884
207,0.8825
208,0.8865
209,0.881
210,0.887
211,0.887
212,0.8845
213,0.8875
214,0.889
215,0.8885
216,0.8835
217,0.8885
218,0.888
219,0.891
220,0.8855
221,0.8845
222,0.8905
223,0.8875
224,0.885
225,0.8895
226,0.8895
227,0.889
228,0.8875
229,0.8885
230,0.892
231,0.8915
232,0.8915
233,0.892
234,0.892
235,0.895
236,0.8915
237,0.889
238,0.8885
239,0.893
240,0.8925
241,0.89
242,0.8905
243,0.888
244,0.8825
245,0.8845
246,0.8845
247,0.886
248,0.8825
249,0.888
250,0.888
251,0.886
252,0.8775
253,0.88
254,0.882
255,0.8825
256,0.885
257,0.8815
258,0.887
259,0.8855
260,0.877
261,0.877
262,0.8785
263,0.8765
264,0.8775
265,0.8765
266,0.8765
267,0.879
268,0.8785
269,0.8775
270,0.8775
271,0.8775
272,0.8795
273,0.878
274,0.876
275,0.8765
276,0.875
277,0.876
278,0.8765
279,0.879
280,0.878
281,0.877
282,0.878
283,0.8775
284,0.8765
285,0.879
286,0.8805
287,0.8805
288,0.883
289,0.884
290,0.881
291,0.8785
292,0.879
293,0.882
294,0.8825
295,0.8835
296,0.8795
297,0.882
298,0.8795
299,0.8785
300,0.88
301,0.881
302,0.876
303,0.8835
304,0.88
305,0.8805
306,0.881
307,0.88
308,0.8775
309,0.878
310,0.877
311,0.8825
312,0.879
313,0.879
314,0.8785
315,0.874
316,0.879
317,0.877
318,0.873
319,0.8765
320,0.87
321,0.876
322,0.875
323,0.877
324,0.873
325,0.875
326,0.872
327,0.8775
328,0.8715
329,0.87
330,0.869
331,0.8735
332,0.869
333,0.872
334,0.8685
335,0.871
336,0.871
337,0.874
338,0.8745
339,0.875
340,0.8765
341,0.8745
342,0.88
343,0.8765
344,0.8745
345,0.8745
346,0.873
347,0.8735
348,0.8735
349,0.8725
350,0.8725
351,0.866
352,0.8645
353,0.862
354,0.8655
355,0.8655
356,0.8575
357,0.8625
358,0.8615
359,0.861
360,0.863
361,0.862
362,0.862
363,0.869
364,0.863
365,0.855
366,0.8555
367,0.859
368,0.857
369,0.859
370,0.852
371,0.859
372,0.8605
373,0.8565
374,0.862
375,0.8605
376,0.869
377,0.868
378,0.8705
379,0.866
380,0.8685
381,0.8655
382,0.867
383,0.8685
384,0.8655
385,0.8685
386,0.868
387,0.868
388,0.8585
389,0.8555
390,0.8645
391,0.8565
392,0.857
393,0.8525
394,0.8515
395,0.854
396,0.8495
397,0.856
398,0.853
399,0.8535
400,0.859
401,0.8545
402,0.855
403,0.851
404,0.851
405,0.8505
406,0.851
407,0.8495
408,0.84
409,0.8355
410,0.8325
411,0.838
412,0.8335
413,0.838
414,0.845
415,0.8455
416,0.8465
417,0.8475
418,0.8465
419,0.847
420,0.8445
421,0.845
422,0.8405
423,0.841
424,0.8425
425,0.847
426,0.843
427,0.837
428,0.8385
429,0.837
430,0.839
431,0.8425
432,0.83
433,0.8315
434,0.8335
435,0.84
436,0.833
437,0.831
438,0.8405
439,0.8305
440,0.831
441,0.834
442,0.832
443,0.835
444,0.84
445,0.8405
446,0.8435
447,0.8455
448,0.845
449,0.84
450,0.847
451,0.8405
452,0.8395
453,0.843
454,0.8445
455,0.844
456,0.8405
457,0.8455
458,0.8355
459,0.833
460,0.8395
461,0.809
462,0.7995
463,0.7955
464,0.797
465,0.8
466,0.779
467,0.762
468,0.772
469,0.7965
470,0.802
471,0.7985
472,0.791
473,0.7785
474,0.7925
475,0.7885
476,0.785
477,0.788
478,0.8015
479,0.8075
480,0.808
481,0.8085
482,0.8055
483,0.797
484,0.7765
485,0.769
486,0.7495
487,0.7705
488,0.7305
489,0.5325
490,0.5325
491,0.5325
492,0.4675
493,0.4675
494,0.4675
495,0.5325
496,0.4675
497,0.4675
498,0.4675
499,0.4675
