num_removed,accuracy
0,0.898
1,0.901
2,0.8985
3,0.892
4,0.899
5,0.8945
6,0.8975
7,0.9005
8,0.8985
9,0.8925
10,0.8985
11,0.8985
12,0.894
13,0.9025
14,0.903
15,0.9005
16,0.9005
17,0.9
18,0.8955
19,0.899
20,0.898
21,0.898
22,0.893
23,0.8965
24,0.897
25,0.901
26,0.8985
27,0.899
28,0.8955
29,0.901
30,0.8955
31,0.897
32,0.8975
33,0.9005
34,0.902
35,0.9
36,0.9055
37,0.901
38,0.8945
39,0.8965
40,0.8965
41,0.894
42,0.894
43,0.891
44,0.891
45,0.894
46,0.896
47,0.898
48,0.896
49,0.8905
50,0.891
51,0.892
52,0.8905
53,0.8915
54,0.8915
55,0.892
56,0.889
57,0.886
58,0.888
59,0.885
60,0.885
61,0.885
62,0.8855
63,0.8875
64,0.8895
65,0.891
66,0.887
67,0.891
68,0.8875
69,0.8885
70,0.8885
71,0.8925
72,0.885
73,0.8925
74,0.8905
75,0.889
76,0.8885
77,0.891
78,0.8895
79,0.891
80,0.8835
81,0.8905
82,0.888
83,0.887
84,0.883
85,0.883
86,0.886
87,0.888
88,0.888
89,0.885
90,0.8895
91,0.886
92,0.892
93,0.889
94,0.887
95,0.889
96,0.8865
97,0.8865
98,0.8875
99,0.8875
100,0.887
101,0.885
102,0.885
103,0.884
104,0.8845
105,0.885
106,0.8865
107,0.8865
108,0.881
109,0.8825
110,0.879
111,0.879
112,0.879
113,0.879
114,0.8805
115,0.8845
116,0.882
117,0.8815
118,0.881
119,0.8785
120,0.8805
121,0.8795
122,0.879
123,0.8805
124,0.8845
125,0.8805
126,0.8805
127,0.8805
128,0.8815
129,0.881
130,0.8805
131,0.876
132,0.88
133,0.8795
134,0.8775
135,0.8795
136,0.879
137,0.879
138,0.88
139,0.879
140,0.877
141,0.877
142,0.877
143,0.876
144,0.8765
145,0.8765
146,0.8765
147,0.883
148,0.8785
149,0.88
150,0.881
151,0.8815
152,0.879
153,0.8765
154,0.8765
155,0.882
156,0.882
157,0.8825
158,0.882
159,0.881
160,0.878
161,0.883
162,0.883
163,0.885
164,0.8805
165,0.883
166,0.8845
167,0.888
168,0.888
169,0.8865
170,0.8855
171,0.8835
172,0.8855
173,0.883
174,0.883
175,0.883
176,0.8835
177,0.8835
178,0.883
179,0.8845
180,0.8785
181,0.885
182,0.881
183,0.8795
184,0.8795
185,0.882
186,0.8835
187,0.884
188,0.882
189,0.881
190,0.884
191,0.885
192,0.8825
193,0.8825
194,0.888
195,0.8855
196,0.8845
197,0.885
198,0.881
199,0.883
200,0.879
201,0.88
202,0.8785
203,0.878
204,0.8835
205,0.8825
206,0.879
207,0.8815
208,0.878
209,0.883
210,0.883
211,0.883
212,0.878
213,0.879
214,0.878
215,0.878
216,0.878
217,0.88
218,0.8785
219,0.879
220,0.8775
221,0.875
222,0.8755
223,0.8735
224,0.876
225,0.878
226,0.877
227,0.877
228,0.877
229,0.8775
230,0.874
231,0.8765
232,0.8765
233,0.8755
234,0.876
235,0.8755
236,0.878
237,0.8795
238,0.8795
239,0.877
240,0.8765
241,0.8805
242,0.88
243,0.8815
244,0.881
245,0.8775
246,0.879
247,0.8765
248,0.881
249,0.8795
250,0.881
251,0.881
252,0.8785
253,0.8785
254,0.8765
255,0.8785
256,0.879
257,0.8805
258,0.8825
259,0.8815
260,0.88
261,0.8795
262,0.8775
263,0.8775
264,0.8775
265,0.8755
266,0.8755
267,0.8765
268,0.875
269,0.8775
270,0.876
271,0.876
272,0.8765
273,0.8785
274,0.8755
275,0.8765
276,0.878
277,0.873
278,0.8745
279,0.8715
280,0.87
281,0.8705
282,0.8705
283,0.8705
284,0.8715
285,0.8635
286,0.8655
287,0.862
288,0.8635
289,0.8635
290,0.8625
291,0.8665
292,0.8685
293,0.861
294,0.865
295,0.8645
296,0.8655
297,0.8655
298,0.8665
299,0.8585
300,0.8585
301,0.8655
302,0.8655
303,0.857
304,0.8625
305,0.8675
306,0.8665
307,0.8665
308,0.868
309,0.8535
310,0.8515
311,0.851
312,0.85
313,0.85
314,0.852
315,0.8515
316,0.8555
317,0.8525
318,0.8525
319,0.8525
320,0.8605
321,0.859
322,0.8595
323,0.8555
324,0.8485
325,0.8475
326,0.8495
327,0.845
328,0.8455
329,0.85
330,0.8515
331,0.853
332,0.8525
333,0.8505
334,0.8505
335,0.8475
336,0.85
337,0.8535
338,0.8515
339,0.8535
340,0.8615
341,0.8615
342,0.854
343,0.853
344,0.852
345,0.851
346,0.8515
347,0.851
348,0.854
349,0.853
350,0.8525
351,0.8555
352,0.8575
353,0.8585
354,0.859
355,0.859
356,0.8585
357,0.857
358,0.859
359,0.8595
360,0.86
361,0.8615
362,0.858
363,0.8575
364,0.859
365,0.856
366,0.8585
367,0.858
368,0.8595
369,0.861
370,0.862
371,0.8545
372,0.848
373,0.8465
374,0.8405
375,0.838
376,0.8425
377,0.839
378,0.8425
379,0.833
380,0.841
381,0.834
382,0.834
383,0.8335
384,0.8335
385,0.8125
386,0.814
387,0.802
388,0.808
389,0.8015
390,0.803
391,0.8145
392,0.813
393,0.809
394,0.8075
395,0.8095
396,0.81
397,0.8075
398,0.8185
399,0.813
400,0.808
401,0.8045
402,0.8035
403,0.808
404,0.8105
405,0.808
406,0.808
407,0.809
408,0.801
409,0.805
410,0.805
411,0.804
412,0.811
413,0.7885
414,0.788
415,0.794
416,0.7965
417,0.795
418,0.792
419,0.7935
420,0.792
421,0.79
422,0.786
423,0.786
424,0.788
425,0.785
426,0.789
427,0.791
428,0.79
429,0.7805
430,0.7885
431,0.7895
432,0.7835
433,0.79
434,0.793
435,0.793
436,0.784
437,0.7845
438,0.7835
439,0.7815
440,0.777
441,0.781
442,0.784
443,0.7805
444,0.782
445,0.7815
446,0.7875
447,0.7835
448,0.779
449,0.7795
450,0.792
451,0.7845
452,0.782
453,0.784
454,0.7805
455,0.7845
456,0.7625
457,0.763
458,0.763
459,0.7645
460,0.763
461,0.7625
462,0.763
463,0.765
464,0.765
465,0.768
466,0.7555
467,0.7605
468,0.7615
469,0.765
470,0.767
471,0.777
472,0.7765
473,0.7885
474,0.787
475,0.7785
476,0.782
477,0.785
478,0.7815
479,0.616
480,0.616
481,0.616
482,0.616
483,0.609
484,0.609
485,0.767
486,0.766
487,0.798
488,0.785
489,0.5325
490,0.5325
491,0.5325
492,0.4675
493,0.5325
494,0.4675
495,0.4675
496,0.4675
497,0.5325
498,0.5325
499,0.5325
