num_removed,accuracy
0,0.8865
1,0.8865
2,0.8855
3,0.8835
4,0.8835
5,0.88
6,0.881
7,0.881
8,0.8815
9,0.884
10,0.884
11,0.8805
12,0.879
13,0.8815
14,0.8815
15,0.881
16,0.881
17,0.8765
18,0.883
19,0.88
20,0.8775
21,0.8795
22,0.882
23,0.882
24,0.881
25,0.881
26,0.881
27,0.881
28,0.8815
29,0.883
30,0.8815
31,0.88
32,0.8785
33,0.8795
34,0.8775
35,0.8775
36,0.8775
37,0.8775
38,0.8775
39,0.876
40,0.8765
41,0.874
42,0.879
43,0.877
44,0.8775
45,0.877
46,0.877
47,0.8765
48,0.8765
49,0.8775
50,0.8765
51,0.879
52,0.8775
53,0.8775
54,0.8775
55,0.875
56,0.877
57,0.8775
58,0.877
59,0.8795
60,0.8805
61,0.8815
62,0.8815
63,0.8815
64,0.8815
65,0.8815
66,0.8845
67,0.8825
68,0.8825
69,0.881
70,0.8835
71,0.8835
72,0.879
73,0.8815
74,0.882
75,0.8815
76,0.8815
77,0.881
78,0.88
79,0.88
80,0.88
81,0.88
82,0.879
83,0.879
84,0.877
85,0.884
86,0.883
87,0.884
88,0.879
89,0.879
90,0.8825
91,0.879
92,0.8785
93,0.8805
94,0.877
95,0.879
96,0.8785
97,0.881
98,0.879
99,0.881
100,0.881
101,0.882
102,0.8825
103,0.8735
104,0.8735
105,0.8735
106,0.8735
107,0.8755
108,0.8795
109,0.8765
110,0.88
111,0.883
112,0.881
113,0.8815
114,0.8815
115,0.881
116,0.882
117,0.8775
118,0.877
119,0.877
120,0.875
121,0.877
122,0.879
123,0.8785
124,0.8755
125,0.877
126,0.8745
127,0.876
128,0.876
129,0.8765
130,0.8725
131,0.87
132,0.873
133,0.8735
134,0.8735
135,0.8715
136,0.872
137,0.872
138,0.8755
139,0.8755
140,0.8725
141,0.8725
142,0.868
143,0.8695
144,0.8685
145,0.87
146,0.8695
147,0.869
148,0.8715
149,0.87
150,0.87
151,0.868
152,0.8745
153,0.875
154,0.8715
155,0.8735
156,0.8735
157,0.8715
158,0.871
159,0.874
160,0.8755
161,0.8715
162,0.8715
163,0.8725
164,0.876
165,0.873
166,0.873
167,0.871
168,0.871
169,0.871
170,0.867
171,0.867
172,0.874
173,0.875
174,0.871
175,0.8715
176,0.867
177,0.869
178,0.8705
179,0.871
180,0.8705
181,0.8725
182,0.873
183,0.8745
184,0.8755
185,0.875
186,0.876
187,0.875
188,0.876
189,0.8715
190,0.8725
191,0.8725
192,0.877
193,0.8735
194,0.8745
195,0.8765
196,0.8775
197,0.875
198,0.876
199,0.8765
200,0.876
201,0.876
202,0.8755
203,0.875
204,0.878
205,0.875
206,0.877
207,0.875
208,0.878
209,0.876
210,0.8715
211,0.8775
212,0.873
213,0.875
214,0.871
215,0.8735
216,0.8755
217,0.872
218,0.8725
219,0.876
220,0.877
221,0.873
222,0.876
223,0.871
224,0.874
225,0.876
226,0.8765
227,0.876
228,0.8735
229,0.8745
230,0.873
231,0.8775
232,0.876
233,0.8745
234,0.87
235,0.8695
236,0.867
237,0.874
238,0.867
239,0.8665
240,0.8695
241,0.8695
242,0.8665
243,0.872
244,0.8715
245,0.868
246,0.869
247,0.869
248,0.866
249,0.866
250,0.872
251,0.872
252,0.871
253,0.868
254,0.8695
255,0.87
256,0.8685
257,0.87
258,0.8715
259,0.8715
260,0.868
261,0.8655
262,0.8675
263,0.8705
264,0.87
265,0.87
266,0.8715
267,0.8755
268,0.8755
269,0.8745
270,0.873
271,0.8745
272,0.8745
273,0.871
274,0.8725
275,0.8715
276,0.873
277,0.8715
278,0.8725
279,0.874
280,0.875
281,0.872
282,0.872
283,0.872
284,0.87
285,0.877
286,0.873
287,0.875
288,0.871
289,0.871
290,0.875
291,0.874
292,0.872
293,0.868
294,0.8695
295,0.8645
296,0.8655
297,0.875
298,0.8725
299,0.8725
300,0.876
301,0.8765
302,0.873
303,0.874
304,0.872
305,0.8735
306,0.8735
307,0.87
308,0.8675
309,0.867
310,0.87
311,0.868
312,0.8675
313,0.866
314,0.8685
315,0.8655
316,0.867
317,0.867
318,0.8665
319,0.865
320,0.8675
321,0.8675
322,0.8665
323,0.8675
324,0.8665
325,0.87
326,0.869
327,0.868
328,0.8615
329,0.862
330,0.8665
331,0.8615
332,0.864
333,0.8665
334,0.868
335,0.8675
336,0.866
337,0.868
338,0.8705
339,0.865
340,0.867
341,0.8645
342,0.868
343,0.8645
344,0.8685
345,0.8645
346,0.867
347,0.864
348,0.8665
349,0.87
350,0.867
351,0.868
352,0.8675
353,0.865
354,0.8665
355,0.8655
356,0.864
357,0.8705
358,0.861
359,0.8645
360,0.867
361,0.864
362,0.867
363,0.8645
364,0.8635
365,0.865
366,0.8645
367,0.8605
368,0.861
369,0.866
370,0.8575
371,0.856
372,0.859
373,0.8555
374,0.8625
375,0.8585
376,0.859
377,0.8645
378,0.8645
379,0.855
380,0.866
381,0.8585
382,0.8595
383,0.856
384,0.859
385,0.862
386,0.856
387,0.8585
388,0.8545
389,0.856
390,0.853
391,0.852
392,0.854
393,0.852
394,0.8495
395,0.854
396,0.85
397,0.851
398,0.8545
399,0.8565
400,0.8515
401,0.855
402,0.849
403,0.8455
404,0.858
405,0.858
406,0.859
407,0.854
408,0.8595
409,0.858
410,0.849
411,0.845
412,0.848
413,0.8545
414,0.85
415,0.847
416,0.8435
417,0.8445
418,0.8475
419,0.8535
420,0.853
421,0.846
422,0.847
423,0.842
424,0.843
425,0.8455
426,0.8445
427,0.842
428,0.8435
429,0.849
430,0.8265
431,0.8145
432,0.8155
433,0.8175
434,0.8085
435,0.808
436,0.8095
437,0.8115
438,0.8125
439,0.8145
440,0.816
441,0.816
442,0.816
443,0.8165
444,0.814
445,0.811
446,0.8135
447,0.8115
448,0.808
449,0.807
450,0.807
451,0.8065
452,0.807
453,0.8085
454,0.7305
455,0.7305
456,0.7305
457,0.72
458,0.7265
459,0.7265
460,0.7235
461,0.7235
462,0.723
463,0.7455
464,0.724
465,0.7245
466,0.61
467,0.639
468,0.6045
469,0.6495
470,0.6075
471,0.591
472,0.591
473,0.589
474,0.586
475,0.5885
476,0.5895
477,0.586
478,0.585
479,0.5885
480,0.59
481,0.5865
482,0.7345
483,0.7445
484,0.7445
485,0.586
486,0.6085
487,0.526
488,0.523
489,0.5325
490,0.5325
491,0.5325
492,0.5325
493,0.5325
494,0.5325
495,0.5325
496,0.5325
497,0.5325
498,0.5325
499,0.5325
