num_removed,accuracy
0,0.8865
1,0.8845
2,0.884
3,0.884
4,0.882
5,0.8825
6,0.886
7,0.887
8,0.887
9,0.885
10,0.885
11,0.8865
12,0.883
13,0.883
14,0.883
15,0.8815
16,0.884
17,0.889
18,0.8855
19,0.888
20,0.886
21,0.8865
22,0.8865
23,0.8865
24,0.8865
25,0.8865
26,0.8865
27,0.887
28,0.8845
29,0.884
30,0.884
31,0.886
32,0.885
33,0.8855
34,0.889
35,0.8845
36,0.884
37,0.885
38,0.8815
39,0.8835
40,0.8845
41,0.8865
42,0.8835
43,0.884
44,0.8835
45,0.8815
46,0.8825
47,0.882
48,0.882
49,0.8815
50,0.88
51,0.882
52,0.8765
53,0.8805
54,0.879
55,0.879
56,0.88
57,0.8805
58,0.8795
59,0.8795
60,0.8795
61,0.88
62,0.88
63,0.8795
64,0.8805
65,0.88
66,0.878
67,0.8805
68,0.8805
69,0.878
70,0.88
71,0.8815
72,0.8815
73,0.878
74,0.8795
75,0.8745
76,0.879
77,0.878
78,0.878
79,0.8805
80,0.8805
81,0.8815
82,0.8755
83,0.878
84,0.8805
85,0.8805
86,0.8795
87,0.8805
88,0.8765
89,0.8785
90,0.8785
91,0.8785
92,0.878
93,0.878
94,0.8785
95,0.877
96,0.878
97,0.8805
98,0.879
99,0.879
100,0.875
101,0.878
102,0.879
103,0.878
104,0.878
105,0.8775
106,0.876
107,0.8775
108,0.8805
109,0.8765
110,0.8795
111,0.8785
112,0.8755
113,0.88
114,0.879
115,0.879
116,0.88
117,0.874
118,0.875
119,0.876
120,0.8775
121,0.878
122,0.8775
123,0.877
124,0.875
125,0.8765
126,0.8795
127,0.8785
128,0.878
129,0.879
130,0.8765
131,0.877
132,0.8785
133,0.877
134,0.877
135,0.8775
136,0.88
137,0.8795
138,0.8795
139,0.879
140,0.8775
141,0.8775
142,0.874
143,0.874
144,0.8785
145,0.8765
146,0.8765
147,0.8685
148,0.8745
149,0.8745
150,0.874
151,0.8715
152,0.8755
153,0.8765
154,0.877
155,0.8785
156,0.8745
157,0.8725
158,0.868
159,0.873
160,0.874
161,0.873
162,0.874
163,0.873
164,0.8705
165,0.872
166,0.873
167,0.8735
168,0.8735
169,0.8705
170,0.8715
171,0.872
172,0.873
173,0.868
174,0.87
175,0.875
176,0.877
177,0.8745
178,0.877
179,0.8755
180,0.872
181,0.871
182,0.876
183,0.871
184,0.8705
185,0.8715
186,0.873
187,0.8695
188,0.8755
189,0.871
190,0.8695
191,0.8695
192,0.869
193,0.8705
194,0.874
195,0.873
196,0.8695
197,0.872
198,0.87
199,0.8695
200,0.8705
201,0.873
202,0.872
203,0.868
204,0.8705
205,0.873
206,0.8735
207,0.8715
208,0.867
209,0.869
210,0.869
211,0.867
212,0.8705
213,0.873
214,0.87
215,0.8685
216,0.8735
217,0.8715
218,0.8725
219,0.8715
220,0.8735
221,0.877
222,0.876
223,0.8715
224,0.8745
225,0.877
226,0.8755
227,0.8705
228,0.8715
229,0.868
230,0.868
231,0.87
232,0.8695
233,0.8695
234,0.8715
235,0.8695
236,0.8705
237,0.871
238,0.872
239,0.873
240,0.8755
241,0.8675
242,0.8745
243,0.8715
244,0.873
245,0.867
246,0.865
247,0.8685
248,0.8655
249,0.8715
250,0.869
251,0.877
252,0.872
253,0.8705
254,0.8725
255,0.8685
256,0.867
257,0.8685
258,0.8655
259,0.866
260,0.867
261,0.8615
262,0.8625
263,0.86
264,0.8655
265,0.8595
266,0.859
267,0.8565
268,0.859
269,0.8575
270,0.8575
271,0.8575
272,0.863
273,0.8605
274,0.858
275,0.857
276,0.8575
277,0.8485
278,0.853
279,0.853
280,0.859
281,0.8605
282,0.848
283,0.847
284,0.855
285,0.8565
286,0.855
287,0.853
288,0.8535
289,0.854
290,0.851
291,0.8545
292,0.8525
293,0.856
294,0.855
295,0.8495
296,0.849
297,0.8495
298,0.8445
299,0.848
300,0.844
301,0.8445
302,0.8415
303,0.84
304,0.8415
305,0.841
306,0.837
307,0.8395
308,0.837
309,0.8345
310,0.8375
311,0.8445
312,0.8405
313,0.8375
314,0.84
315,0.844
316,0.8375
317,0.8395
318,0.844
319,0.8395
320,0.838
321,0.8405
322,0.839
323,0.8345
324,0.8335
325,0.838
326,0.8375
327,0.8365
328,0.8345
329,0.8375
330,0.8335
331,0.8365
332,0.8395
333,0.8345
334,0.837
335,0.8385
336,0.838
337,0.8375
338,0.8405
339,0.8405
340,0.8455
341,0.838
342,0.8425
343,0.8395
344,0.843
345,0.8425
346,0.84
347,0.8365
348,0.836
349,0.8355
350,0.8385
351,0.8335
352,0.837
353,0.8365
354,0.8295
355,0.8325
356,0.8325
357,0.835
358,0.828
359,0.828
360,0.8265
361,0.8295
362,0.8305
363,0.8305
364,0.834
365,0.831
366,0.832
367,0.8315
368,0.8345
369,0.8325
370,0.8315
371,0.831
372,0.8325
373,0.8275
374,0.8215
375,0.826
376,0.8225
377,0.815
378,0.826
379,0.825
380,0.825
381,0.8195
382,0.812
383,0.8145
384,0.806
385,0.8125
386,0.806
387,0.806
388,0.813
389,0.8155
390,0.8135
391,0.8135
392,0.8125
393,0.811
394,0.8045
395,0.805
396,0.8105
397,0.8075
398,0.8105
399,0.8065
400,0.8075
401,0.81
402,0.8095
403,0.807
404,0.8025
405,0.8045
406,0.8
407,0.807
408,0.8045
409,0.8045
410,0.803
411,0.801
412,0.802
413,0.8015
414,0.792
415,0.7995
416,0.7955
417,0.7975
418,0.7985
419,0.7895
420,0.785
421,0.7835
422,0.7765
423,0.7545
424,0.7465
425,0.7445
426,0.7215
427,0.71
428,0.7085
429,0.7235
430,0.608
431,0.6255
432,0.6185
433,0.615
434,0.627
435,0.6045
436,0.607
437,0.6045
438,0.6455
439,0.643
440,0.572
441,0.5855
442,0.592
443,0.5925
444,0.5945
445,0.5985
446,0.5885
447,0.5745
448,0.582
449,0.5615
450,0.5595
451,0.549
452,0.5725
453,0.546
454,0.538
455,0.557
456,0.546
457,0.538
458,0.54
459,0.5215
460,0.4765
461,0.4655
462,0.46
463,0.4735
464,0.4935
465,0.5115
466,0.507
467,0.5095
468,0.5115
469,0.5225
470,0.5295
471,0.5545
472,0.5755
473,0.5975
474,0.6185
475,0.5485
476,0.5205
477,0.519
478,0.5445
479,0.554
480,0.496
481,0.472
482,0.5215
483,0.4975
