num_removed,accuracy
0,0.8825
1,0.878
2,0.882
3,0.879
4,0.8755
5,0.88
6,0.8805
7,0.878
8,0.872
9,0.88
10,0.878
11,0.8755
12,0.8735
13,0.874
14,0.873
15,0.876
16,0.874
17,0.8785
18,0.873
19,0.877
20,0.8755
21,0.879
22,0.879
23,0.8775
24,0.881
25,0.8765
26,0.8815
27,0.8815
28,0.876
29,0.8775
30,0.879
31,0.874
32,0.8765
33,0.8765
34,0.8785
35,0.8755
36,0.878
37,0.8775
38,0.8795
39,0.8785
40,0.8785
41,0.8765
42,0.874
43,0.8765
44,0.8785
45,0.88
46,0.8785
47,0.8745
48,0.8755
49,0.8735
50,0.8775
51,0.8785
52,0.877
53,0.8755
54,0.878
55,0.878
56,0.877
57,0.877
58,0.8785
59,0.879
60,0.877
61,0.879
62,0.877
63,0.8735
64,0.877
65,0.877
66,0.8755
67,0.876
68,0.8775
69,0.875
70,0.8765
71,0.8775
72,0.879
73,0.878
74,0.876
75,0.8775
76,0.8765
77,0.874
78,0.8755
79,0.8725
80,0.872
81,0.872
82,0.873
83,0.8755
84,0.8725
85,0.874
86,0.8775
87,0.876
88,0.8775
89,0.8765
90,0.8755
91,0.8755
92,0.8765
93,0.874
94,0.8755
95,0.882
96,0.876
97,0.878
98,0.878
99,0.878
100,0.8755
101,0.875
102,0.876
103,0.876
104,0.878
105,0.8795
106,0.8755
107,0.8755
108,0.874
109,0.8815
110,0.875
111,0.8755
112,0.8745
113,0.8745
114,0.878
115,0.873
116,0.874
117,0.8785
118,0.874
119,0.8775
120,0.88
121,0.8755
122,0.874
123,0.8735
124,0.876
125,0.8725
126,0.8735
127,0.8725
128,0.87
129,0.873
130,0.875
131,0.872
132,0.872
133,0.8695
134,0.872
135,0.8755
136,0.868
137,0.868
138,0.87
139,0.867
140,0.87
141,0.8685
142,0.8665
143,0.8675
144,0.8655
145,0.866
146,0.8685
147,0.8675
148,0.87
149,0.8685
150,0.868
151,0.8665
152,0.8665
153,0.865
154,0.8655
155,0.8655
156,0.8645
157,0.8655
158,0.8595
159,0.8655
160,0.861
161,0.8625
162,0.8655
163,0.8625
164,0.861
165,0.8625
166,0.8615
167,0.863
168,0.86
169,0.8595
170,0.863
171,0.86
172,0.8615
173,0.8585
174,0.862
175,0.857
176,0.857
177,0.857
178,0.86
179,0.8525
180,0.8485
181,0.855
182,0.8505
183,0.851
184,0.8545
185,0.853
186,0.854
187,0.8585
188,0.8565
189,0.8595
190,0.8575
191,0.8595
192,0.856
193,0.8575
194,0.8575
195,0.8535
196,0.8555
197,0.8565
198,0.857
199,0.8585
200,0.86
201,0.8575
202,0.858
203,0.8585
204,0.859
205,0.8585
206,0.854
207,0.856
208,0.8545
209,0.8495
210,0.8555
211,0.851
212,0.8525
213,0.855
214,0.85
215,0.849
216,0.835
217,0.835
218,0.8155
219,0.8385
220,0.8175
221,0.822
222,0.8065
223,0.799
224,0.805
225,0.7995
226,0.796
227,0.8
228,0.7935
229,0.771
230,0.767
231,0.758
232,0.74
233,0.7115
234,0.7135
235,0.683
236,0.6745
237,0.6825
238,0.6575
239,0.6905
240,0.687
241,0.6565
242,0.6595
243,0.673
244,0.6535
245,0.6535
246,0.6535
247,0.6565
248,0.6675
249,0.635
250,0.637
251,0.6565
252,0.651
253,0.685
254,0.677
255,0.6765
256,0.667
257,0.635
258,0.6845
259,0.667
260,0.667
261,0.6435
262,0.6745
263,0.65
264,0.6785
265,0.6345
266,0.6375
267,0.6715
268,0.6755
269,0.69
270,0.6865
271,0.6865
272,0.682
273,0.669
274,0.687
275,0.691
276,0.682
277,0.6805
278,0.687
279,0.6865
280,0.688
281,0.6905
282,0.695
283,0.693
284,0.697
285,0.7
286,0.7125
287,0.7005
288,0.7065
289,0.6975
290,0.6815
291,0.7025
292,0.705
293,0.7045
294,0.7105
295,0.7125
296,0.713
297,0.7135
298,0.705
299,0.716
300,0.717
301,0.711
302,0.7225
303,0.7225
304,0.7275
305,0.7145
306,0.719
307,0.7375
308,0.7375
309,0.7345
310,0.7555
311,0.744
312,0.752
313,0.7355
314,0.741
315,0.7435
316,0.757
317,0.7455
318,0.753
319,0.737
320,0.75
321,0.7495
322,0.7465
323,0.7465
324,0.763
325,0.763
326,0.757
327,0.7475
328,0.752
329,0.7585
330,0.7515
331,0.764
332,0.758
333,0.7465
334,0.743
335,0.7265
336,0.7185
337,0.686
338,0.7235
339,0.6875
340,0.6875
341,0.7255
342,0.725
343,0.7185
344,0.734
345,0.7475
346,0.7315
347,0.7315
348,0.7345
349,0.754
350,0.7415
351,0.733
352,0.7185
353,0.685
354,0.714
355,0.726
356,0.7305
357,0.7255
358,0.712
359,0.731
360,0.7615
361,0.7825
362,0.7595
363,0.769
364,0.7495
365,0.759
366,0.7665
367,0.778
368,0.7735
369,0.764
370,0.7655
371,0.7645
372,0.767
373,0.768
374,0.7695
375,0.762
376,0.7695
377,0.766
378,0.7695
379,0.7525
380,0.749
381,0.7605
382,0.7645
383,0.7595
384,0.743
385,0.7255
386,0.7365
387,0.748
388,0.7205
389,0.7615
390,0.729
391,0.704
392,0.7005
393,0.731
394,0.719
395,0.749
396,0.735
397,0.6945
398,0.729
399,0.6905
400,0.6865
401,0.671
402,0.693
403,0.684
404,0.6835
405,0.6675
406,0.669
407,0.6765
408,0.664
409,0.6595
410,0.6625
411,0.6565
412,0.67
413,0.678
414,0.687
415,0.6615
416,0.6665
417,0.6485
418,0.651
419,0.641
420,0.6415
421,0.647
422,0.637
423,0.636
424,0.6475
425,0.6575
426,0.663
427,0.6515
428,0.664
429,0.6565
430,0.67
431,0.666
432,0.6525
433,0.648
434,0.645
435,0.64
