num_removed,accuracy
0,0.8885
1,0.8895
2,0.89
3,0.8885
4,0.8865
5,0.8885
6,0.888
7,0.889
8,0.892
9,0.888
10,0.889
11,0.8875
12,0.8895
13,0.888
14,0.884
15,0.886
16,0.886
17,0.886
18,0.888
19,0.889
20,0.8905
21,0.886
22,0.885
23,0.885
24,0.8885
25,0.886
26,0.888
27,0.891
28,0.888
29,0.8875
30,0.885
31,0.88
32,0.8855
33,0.8845
34,0.8845
35,0.884
36,0.8815
37,0.885
38,0.8835
39,0.882
40,0.881
41,0.8825
42,0.881
43,0.8825
44,0.8815
45,0.878
46,0.8785
47,0.8805
48,0.881
49,0.8805
50,0.8835
51,0.8835
52,0.885
53,0.8815
54,0.885
55,0.884
56,0.883
57,0.883
58,0.8875
59,0.888
60,0.8845
61,0.884
62,0.883
63,0.8835
64,0.8815
65,0.884
66,0.882
67,0.882
68,0.884
69,0.8835
70,0.8865
71,0.8855
72,0.8885
73,0.8865
74,0.885
75,0.8885
76,0.882
77,0.8845
78,0.886
79,0.8865
80,0.8845
81,0.884
82,0.884
83,0.8845
84,0.882
85,0.8845
86,0.8805
87,0.88
88,0.8795
89,0.878
90,0.877
91,0.879
92,0.8865
93,0.884
94,0.882
95,0.88
96,0.8795
97,0.8785
98,0.882
99,0.8815
100,0.88
101,0.882
102,0.8815
103,0.8835
104,0.88
105,0.8815
106,0.8815
107,0.8815
108,0.8795
109,0.8805
110,0.884
111,0.883
112,0.8825
113,0.8825
114,0.8805
115,0.88
116,0.879
117,0.881
118,0.8785
119,0.879
120,0.8815
121,0.88
122,0.8805
123,0.879
124,0.8785
125,0.8765
126,0.8795
127,0.8795
128,0.8795
129,0.8815
130,0.8785
131,0.8815
132,0.8815
133,0.8745
134,0.876
135,0.876
136,0.8755
137,0.8785
138,0.877
139,0.8765
140,0.8775
141,0.879
142,0.879
143,0.8745
144,0.8775
145,0.876
146,0.88
147,0.88
148,0.878
149,0.878
150,0.8805
151,0.8805
152,0.88
153,0.879
154,0.88
155,0.882
156,0.882
157,0.8805
158,0.883
159,0.878
160,0.8805
161,0.8825
162,0.8815
163,0.88
164,0.878
165,0.8845
166,0.8835
167,0.883
168,0.8815
169,0.8825
170,0.8805
171,0.8825
172,0.8855
173,0.883
174,0.8855
175,0.8815
176,0.883
177,0.8865
178,0.883
179,0.8835
180,0.889
181,0.8785
182,0.8815
183,0.882
184,0.88
185,0.881
186,0.8785
187,0.878
188,0.8775
189,0.8755
190,0.8765
191,0.874
192,0.8785
193,0.873
194,0.8745
195,0.876
196,0.8785
197,0.877
198,0.879
199,0.8805
200,0.876
201,0.875
202,0.8735
203,0.8755
204,0.876
205,0.876
206,0.872
207,0.8755
208,0.876
209,0.8735
210,0.877
211,0.876
212,0.874
213,0.879
214,0.8805
215,0.883
216,0.883
217,0.88
218,0.8775
219,0.8765
220,0.8795
221,0.8785
222,0.875
223,0.875
224,0.874
225,0.874
226,0.874
227,0.878
228,0.875
229,0.876
230,0.877
231,0.876
232,0.8755
233,0.873
234,0.8725
235,0.877
236,0.8745
237,0.875
238,0.8685
239,0.862
240,0.8705
241,0.8705
242,0.874
243,0.8735
244,0.8685
245,0.8695
246,0.8735
247,0.8705
248,0.8705
249,0.866
250,0.868
251,0.8635
252,0.8685
253,0.8705
254,0.869
255,0.868
256,0.8655
257,0.8665
258,0.859
259,0.8645
260,0.8685
261,0.867
262,0.8645
263,0.867
264,0.8665
265,0.8685
266,0.866
267,0.8665
268,0.867
269,0.868
270,0.868
271,0.867
272,0.8605
273,0.8675
274,0.8675
275,0.869
276,0.869
277,0.869
278,0.867
279,0.8745
280,0.868
281,0.869
282,0.8695
283,0.864
284,0.8645
285,0.866
286,0.869
287,0.866
288,0.866
289,0.871
290,0.8635
291,0.868
292,0.872
293,0.874
294,0.867
295,0.871
296,0.868
297,0.8685
298,0.867
299,0.8675
300,0.865
301,0.8655
302,0.8695
303,0.867
304,0.859
305,0.861
306,0.866
307,0.866
308,0.8735
309,0.865
310,0.8615
311,0.864
312,0.864
313,0.8555
314,0.867
315,0.8625
316,0.865
317,0.8635
318,0.8645
319,0.86
320,0.854
321,0.8565
322,0.853
323,0.8515
324,0.8575
325,0.857
326,0.8515
327,0.849
328,0.854
329,0.8365
330,0.8495
331,0.8415
332,0.8385
333,0.8425
334,0.835
335,0.844
336,0.836
337,0.8465
338,0.8405
339,0.8375
340,0.8445
341,0.8465
342,0.8405
343,0.838
344,0.846
345,0.8365
346,0.844
347,0.8465
348,0.8425
349,0.838
350,0.8445
351,0.8355
352,0.834
353,0.8355
354,0.833
355,0.837
356,0.835
357,0.837
358,0.8375
359,0.843
360,0.8425
361,0.8435
362,0.834
363,0.827
364,0.825
365,0.826
366,0.8345
367,0.8285
368,0.8305
369,0.823
370,0.832
371,0.8145
372,0.8115
373,0.7945
374,0.813
375,0.791
376,0.771
377,0.784
378,0.7315
379,0.781
380,0.739
381,0.7475
382,0.7275
383,0.7165
384,0.729
385,0.7245
386,0.6765
387,0.673
388,0.671
389,0.6765
390,0.6795
391,0.6795
392,0.684
393,0.6805
394,0.678
395,0.6765
396,0.6785
397,0.6755
398,0.668
399,0.674
400,0.674
401,0.674
402,0.664
403,0.666
404,0.665
405,0.666
406,0.662
407,0.666
408,0.6615
409,0.658
410,0.6575
411,0.655
412,0.653
413,0.659
414,0.648
415,0.6545
416,0.6525
417,0.649
418,0.6525
419,0.651
420,0.653
421,0.643
422,0.646
423,0.636
424,0.6455
425,0.645
426,0.6455
427,0.6485
428,0.6465
429,0.6395
430,0.643
431,0.65
432,0.639
433,0.632
434,0.635
435,0.62
436,0.633
437,0.6265
438,0.625
439,0.598
440,0.596
441,0.59
442,0.5865
443,0.62
444,0.62
445,0.568
446,0.6125
447,0.615
448,0.59
449,0.5735
450,0.5565
451,0.561
452,0.5395
453,0.5145
454,0.5345
455,0.525
456,0.548
457,0.534
458,0.5525
459,0.554
460,0.548
461,0.5595
462,0.5645
463,0.555
464,0.5225
465,0.512
466,0.4665
467,0.4195
468,0.433
469,0.519
470,0.5075
471,0.5475
472,0.416
473,0.4365
474,0.513
475,0.533
476,0.541
477,0.5295
478,0.509
479,0.5145
480,0.514
481,0.442
482,0.384
483,0.461
484,0.51
485,0.516
486,0.515
487,0.527
488,0.562
489,0.5325
490,0.5325
491,0.5325
492,0.5325
493,0.5325
494,0.5325
495,0.5325
496,0.5325
497,0.5325
498,0.5325
499,0.5325
