num_removed,accuracy
0,0.8885
1,0.8875
2,0.886
3,0.8895
4,0.8875
5,0.8875
6,0.886
7,0.886
8,0.889
9,0.889
10,0.89
11,0.888
12,0.888
13,0.8905
14,0.8875
15,0.8915
16,0.889
17,0.889
18,0.889
19,0.888
20,0.888
21,0.888
22,0.891
23,0.8885
24,0.8905
25,0.892
26,0.8895
27,0.8865
28,0.8865
29,0.887
30,0.887
31,0.887
32,0.889
33,0.888
34,0.8855
35,0.8855
36,0.8855
37,0.8875
38,0.884
39,0.885
40,0.885
41,0.886
42,0.885
43,0.8865
44,0.8845
45,0.8875
46,0.8855
47,0.8865
48,0.889
49,0.8875
50,0.8905
51,0.8845
52,0.885
53,0.887
54,0.889
55,0.8855
56,0.891
57,0.888
58,0.8895
59,0.887
60,0.8855
61,0.885
62,0.8915
63,0.8905
64,0.888
65,0.888
66,0.8905
67,0.888
68,0.889
69,0.892
70,0.8935
71,0.8925
72,0.8895
73,0.891
74,0.8885
75,0.8885
76,0.8945
77,0.8915
78,0.8945
79,0.8865
80,0.8865
81,0.8885
82,0.886
83,0.8915
84,0.8915
85,0.8845
86,0.886
87,0.8845
88,0.8885
89,0.8915
90,0.888
91,0.8905
92,0.889
93,0.8895
94,0.888
95,0.8875
96,0.8885
97,0.893
98,0.8905
99,0.8905
100,0.889
101,0.89
102,0.8845
103,0.887
104,0.883
105,0.8885
106,0.888
107,0.888
108,0.8875
109,0.8875
110,0.888
111,0.89
112,0.8885
113,0.8905
114,0.889
115,0.886
116,0.889
117,0.8875
118,0.8895
119,0.8875
120,0.887
121,0.8925
122,0.8885
123,0.8905
124,0.8885
125,0.8875
126,0.891
127,0.887
128,0.8855
129,0.8875
130,0.8875
131,0.888
132,0.888
133,0.8885
134,0.8875
135,0.888
136,0.8895
137,0.8885
138,0.888
139,0.8885
140,0.889
141,0.888
142,0.89
143,0.8885
144,0.8905
145,0.892
146,0.885
147,0.888
148,0.8915
149,0.892
150,0.889
151,0.8895
152,0.887
153,0.8875
154,0.8855
155,0.8855
156,0.8855
157,0.8855
158,0.887
159,0.8855
160,0.886
161,0.889
162,0.886
163,0.8875
164,0.8835
165,0.8855
166,0.8855
167,0.886
168,0.887
169,0.887
170,0.885
171,0.8885
172,0.8885
173,0.886
174,0.891
175,0.886
176,0.888
177,0.8855
178,0.8875
179,0.8855
180,0.889
181,0.889
182,0.8865
183,0.887
184,0.883
185,0.8855
186,0.8875
187,0.8875
188,0.887
189,0.8885
190,0.8875
191,0.8875
192,0.888
193,0.8895
194,0.884
195,0.892
196,0.8915
197,0.892
198,0.8945
199,0.8915
200,0.888
201,0.8905
202,0.8915
203,0.892
204,0.8925
205,0.89
206,0.893
207,0.893
208,0.89
209,0.887
210,0.887
211,0.8875
212,0.8875
213,0.885
214,0.889
215,0.8895
216,0.895
217,0.888
218,0.885
219,0.8885
220,0.8895
221,0.89
222,0.89
223,0.8895
224,0.89
225,0.8915
226,0.8895
227,0.8915
228,0.8885
229,0.89
230,0.891
231,0.893
232,0.8885
233,0.8885
234,0.8915
235,0.887
236,0.8895
237,0.8895
238,0.89
239,0.8905
240,0.89
241,0.892
242,0.892
243,0.891
244,0.8895
245,0.888
246,0.889
247,0.891
248,0.8905
249,0.888
250,0.8905
251,0.8905
252,0.8935
253,0.8925
254,0.889
255,0.888
256,0.889
257,0.888
258,0.883
259,0.89
260,0.8885
261,0.8875
262,0.889
263,0.892
264,0.891
265,0.8895
266,0.887
267,0.8825
268,0.887
269,0.8925
270,0.888
271,0.883
272,0.885
273,0.885
274,0.8865
275,0.8835
276,0.884
277,0.8845
278,0.8775
279,0.882
280,0.8795
281,0.8795
282,0.8815
283,0.8785
284,0.8785
285,0.8795
286,0.879
287,0.8815
288,0.886
289,0.88
290,0.8805
291,0.882
292,0.884
293,0.8815
294,0.882
295,0.8865
296,0.883
297,0.88
298,0.885
299,0.8855
300,0.8855
301,0.8835
302,0.8855
303,0.882
304,0.885
305,0.8805
306,0.881
307,0.8855
308,0.8805
309,0.8805
310,0.8835
311,0.8805
312,0.883
313,0.8815
314,0.883
315,0.882
316,0.883
317,0.883
318,0.882
319,0.882
320,0.8825
321,0.884
322,0.882
323,0.8845
324,0.8865
325,0.8865
326,0.885
327,0.8945
328,0.8945
329,0.888
330,0.8865
331,0.8905
332,0.887
333,0.8885
334,0.8885
335,0.891
336,0.893
337,0.889
338,0.886
339,0.887
340,0.89
341,0.8865
342,0.884
343,0.887
344,0.8885
345,0.8885
346,0.8845
347,0.8845
348,0.883
349,0.883
350,0.886
351,0.886
352,0.883
353,0.883
354,0.8845
355,0.885
356,0.8775
357,0.8815
358,0.8815
359,0.879
360,0.8815
361,0.8815
362,0.8805
363,0.884
364,0.8795
365,0.88
366,0.8775
367,0.873
368,0.8715
369,0.878
370,0.873
371,0.876
372,0.88
373,0.8785
374,0.881
375,0.8815
376,0.8815
377,0.8805
378,0.88
379,0.8855
380,0.884
381,0.8775
382,0.877
383,0.8775
384,0.8745
385,0.882
386,0.8755
387,0.8775
388,0.875
389,0.8795
390,0.879
391,0.8745
392,0.879
393,0.8675
394,0.866
395,0.863
396,0.8685
397,0.867
398,0.8655
399,0.8655
400,0.867
401,0.86
402,0.868
403,0.857
404,0.861
405,0.86
406,0.861
407,0.8625
408,0.8635
409,0.863
410,0.8605
411,0.8595
412,0.861
413,0.8615
414,0.862
415,0.861
416,0.863
417,0.861
418,0.862
419,0.8595
420,0.86
421,0.8505
422,0.8495
423,0.851
424,0.8485
425,0.8485
426,0.8385
427,0.843
428,0.844
429,0.846
430,0.845
431,0.845
432,0.844
433,0.8485
434,0.845
435,0.848
436,0.8475
437,0.8505
438,0.8455
439,0.845
440,0.8395
441,0.839
442,0.8135
443,0.8225
444,0.8185
445,0.8175
446,0.819
447,0.8185
448,0.8185
449,0.8175
450,0.8095
451,0.8075
452,0.809
453,0.8065
454,0.8065
455,0.785
456,0.793
457,0.8035
458,0.804
459,0.8025
460,0.8035
461,0.8085
462,0.805
463,0.804
464,0.8005
465,0.8055
466,0.8195
467,0.816
468,0.838
469,0.828
470,0.8315
471,0.8075
472,0.807
473,0.798
474,0.806
475,0.8085
476,0.8045
477,0.791
478,0.7785
479,0.798
480,0.782
481,0.797
482,0.802
483,0.79
484,0.7375
485,0.737
486,0.722
487,0.754
488,0.7555
489,0.5325
490,0.5325
491,0.5325
492,0.5325
493,0.5325
494,0.5325
495,0.5325
496,0.4675
497,0.5325
498,0.4675
499,0.5325
