num_removed,accuracy
0,0.9455
1,0.9455
2,0.9455
3,0.9465
4,0.9465
5,0.9455
6,0.945
7,0.945
8,0.9435
9,0.944
10,0.944
11,0.946
12,0.946
13,0.946
14,0.946
15,0.9475
16,0.9455
17,0.943
18,0.945
19,0.9435
20,0.9435
21,0.944
22,0.9445
23,0.9445
24,0.944
25,0.944
26,0.944
27,0.944
28,0.9435
29,0.9435
30,0.943
31,0.9445
32,0.9445
33,0.9445
34,0.942
35,0.942
36,0.941
37,0.946
38,0.943
39,0.943
40,0.945
41,0.945
42,0.945
43,0.943
44,0.944
45,0.944
46,0.943
47,0.9435
48,0.944
49,0.944
50,0.944
51,0.948
52,0.9435
53,0.9435
54,0.944
55,0.944
56,0.943
57,0.9445
58,0.9445
59,0.945
60,0.943
61,0.9435
62,0.948
63,0.948
64,0.948
65,0.9475
66,0.9495
67,0.949
68,0.949
69,0.95
70,0.95
71,0.95
72,0.9495
73,0.948
74,0.9505
75,0.9505
76,0.9515
77,0.952
78,0.952
79,0.952
80,0.952
81,0.9525
82,0.9495
83,0.952
84,0.952
85,0.9495
86,0.9535
87,0.9505
88,0.9485
89,0.951
90,0.9495
91,0.9495
92,0.9505
93,0.9505
94,0.9505
95,0.9505
96,0.9495
97,0.9525
98,0.9505
99,0.9505
100,0.9505
101,0.9505
102,0.9505
103,0.9505
104,0.9505
105,0.9505
106,0.95
107,0.9495
108,0.949
109,0.9495
110,0.9495
111,0.9495
112,0.95
113,0.95
114,0.949
115,0.9495
116,0.95
117,0.9475
118,0.948
119,0.948
120,0.948
121,0.948
122,0.9475
123,0.947
124,0.948
125,0.948
126,0.9485
127,0.9485
128,0.9485
129,0.9485
130,0.9485
131,0.9485
132,0.9485
133,0.9485
134,0.9485
135,0.9485
136,0.9495
137,0.9485
138,0.9485
139,0.948
140,0.9485
141,0.949
142,0.949
143,0.9485
144,0.9485
145,0.949
146,0.949
147,0.9485
148,0.9485
149,0.949
150,0.948
151,0.9485
152,0.949
153,0.9485
154,0.9485
155,0.9495
156,0.948
157,0.9495
158,0.9495
159,0.9495
160,0.949
161,0.9485
162,0.9485
163,0.9475
164,0.9485
165,0.948
166,0.948
167,0.948
168,0.948
169,0.9485
170,0.948
171,0.948
172,0.948
173,0.9475
174,0.9475
175,0.946
176,0.946
177,0.9455
178,0.946
179,0.9455
180,0.946
181,0.9455
182,0.9425
183,0.9425
184,0.9425
185,0.9425
186,0.9425
187,0.9425
