num_removed,accuracy
0,0.9455
1,0.945
2,0.944
3,0.9455
4,0.9445
5,0.947
6,0.947
7,0.9475
8,0.9495
9,0.9475
10,0.948
11,0.948
12,0.9485
13,0.947
14,0.9475
15,0.9455
16,0.944
17,0.944
18,0.944
19,0.944
20,0.944
21,0.944
22,0.944
23,0.944
24,0.9485
25,0.9485
26,0.948
27,0.948
28,0.948
29,0.948
30,0.949
31,0.949
32,0.9485
33,0.9485
34,0.9485
35,0.944
36,0.9425
37,0.943
38,0.9445
39,0.9445
40,0.944
41,0.944
42,0.9445
43,0.9445
44,0.9445
45,0.943
46,0.943
47,0.943
48,0.9435
49,0.9435
50,0.944
51,0.943
52,0.943
53,0.9445
54,0.9445
55,0.945
56,0.9465
57,0.9445
58,0.9445
59,0.9455
60,0.9435
61,0.9435
62,0.9435
63,0.9435
64,0.9455
65,0.943
66,0.9445
67,0.9445
68,0.945
69,0.9445
70,0.9455
71,0.9455
72,0.9455
73,0.946
74,0.9465
75,0.947
76,0.9465
77,0.948
78,0.946
79,0.946
80,0.9465
81,0.9465
82,0.947
83,0.9485
84,0.9465
85,0.9465
86,0.9445
87,0.9445
88,0.949
89,0.949
90,0.947
91,0.945
92,0.9475
93,0.9475
94,0.9475
95,0.9445
96,0.9445
97,0.947
98,0.946
99,0.946
100,0.946
101,0.9455
102,0.9455
103,0.9455
104,0.9455
105,0.9455
106,0.9455
107,0.9455
108,0.946
109,0.945
110,0.9465
111,0.946
112,0.947
113,0.948
114,0.948
115,0.947
116,0.946
117,0.946
118,0.9465
119,0.9475
120,0.948
121,0.947
122,0.947
123,0.947
124,0.9475
125,0.9475
126,0.948
127,0.948
128,0.948
129,0.9485
130,0.9485
131,0.9485
132,0.9485
133,0.949
134,0.949
135,0.949
136,0.948
137,0.948
138,0.9455
139,0.947
140,0.946
141,0.946
142,0.9475
143,0.9475
144,0.947
145,0.9435
146,0.946
147,0.946
148,0.946
149,0.946
150,0.946
151,0.946
152,0.9475
153,0.942
154,0.941
155,0.943
156,0.943
157,0.9435
158,0.9435
159,0.9435
160,0.9435
161,0.944
162,0.944
163,0.944
164,0.9405
165,0.9405
166,0.94
167,0.94
168,0.9395
169,0.94
170,0.9395
171,0.9395
172,0.9395
173,0.9395
174,0.94
175,0.9395
176,0.94
177,0.9395
178,0.9395
179,0.9395
180,0.9395
181,0.9375
182,0.9375
183,0.9375
184,0.938
185,0.94
186,0.9395
187,0.9405
188,0.941
189,0.941
190,0.9405
191,0.94
192,0.9415
193,0.942
194,0.9405
195,0.94
196,0.94
197,0.94
198,0.9375
199,0.938
200,0.9375
201,0.937
202,0.939
203,0.9405
204,0.938
205,0.94
206,0.94
207,0.9405
208,0.94
209,0.9415
210,0.9415
211,0.94
212,0.9405
213,0.9385
214,0.9385
215,0.939
216,0.939
217,0.939
218,0.9385
219,0.939
220,0.939
221,0.939
222,0.9405
223,0.936
224,0.935
225,0.9365
226,0.9365
227,0.9365
228,0.9365
229,0.9365
230,0.936
231,0.9365
232,0.9365
233,0.937
234,0.9375
235,0.9365
236,0.9365
237,0.936
238,0.936
239,0.9365
240,0.9375
241,0.9365
242,0.937
243,0.938
244,0.9365
245,0.937
246,0.937
247,0.9365
248,0.937
249,0.9375
250,0.9375
251,0.9375
252,0.9375
253,0.939
254,0.938
255,0.939
256,0.939
257,0.939
258,0.939
259,0.939
260,0.9375
261,0.9375
262,0.935
263,0.9355
264,0.9355
265,0.9355
266,0.9355
267,0.935
268,0.935
269,0.935
270,0.9345
271,0.9345
272,0.9355
273,0.935
274,0.935
275,0.934
276,0.9355
277,0.9345
278,0.9345
279,0.937
280,0.9345
281,0.935
282,0.9355
283,0.9355
284,0.9345
285,0.9345
286,0.9355
287,0.935
288,0.9345
289,0.9365
290,0.9365
291,0.936
292,0.9355
293,0.9365
294,0.936
295,0.936
296,0.9345
297,0.936
298,0.936
299,0.9365
300,0.9365
301,0.9365
302,0.936
303,0.936
304,0.937
305,0.9355
306,0.9355
307,0.935
308,0.9355
309,0.9365
310,0.9355
311,0.9355
312,0.9375
313,0.936
314,0.936
315,0.936
316,0.9365
317,0.936
318,0.9365
319,0.9365
320,0.937
321,0.9355
322,0.936
323,0.9355
324,0.936
325,0.936
326,0.937
327,0.936
328,0.9355
329,0.9385
330,0.9355
331,0.9375
332,0.9365
333,0.938
334,0.937
335,0.9365
336,0.9375
337,0.9365
338,0.937
339,0.937
340,0.9345
341,0.9335
342,0.9345
343,0.936
344,0.9365
345,0.9405
346,0.9375
347,0.938
348,0.939
349,0.9385
350,0.9395
351,0.9375
352,0.9395
353,0.9375
354,0.94
355,0.94
356,0.9395
357,0.939
358,0.942
359,0.941
360,0.944
361,0.9415
362,0.9405
363,0.941
364,0.941
365,0.939
366,0.9415
367,0.941
368,0.9415
369,0.9415
370,0.9415
371,0.942
372,0.941
373,0.941
374,0.941
375,0.9415
376,0.941
377,0.937
378,0.9405
379,0.94
380,0.9395
381,0.9275
382,0.9285
383,0.925
384,0.9265
385,0.9255
386,0.932
387,0.929
388,0.929
389,0.9275
390,0.928
391,0.9275
392,0.929
393,0.9275
394,0.931
395,0.9295
396,0.9295
397,0.9335
398,0.931
399,0.931
400,0.9325
401,0.932
402,0.929
403,0.932
404,0.9315
405,0.929
406,0.932
407,0.93
408,0.9275
409,0.9325
410,0.9285
411,0.9325
412,0.9305
413,0.934
414,0.9375
415,0.9345
416,0.9345
417,0.9345
418,0.936
419,0.934
420,0.933
421,0.93
422,0.9305
423,0.9315
424,0.9295
425,0.9315
426,0.93
427,0.9365
428,0.9375
429,0.9375
430,0.938
431,0.9335
432,0.937
433,0.936
434,0.937
435,0.937
436,0.937
437,0.939
438,0.9375
439,0.939
440,0.9395
441,0.944
442,0.94
443,0.9355
444,0.9395
445,0.9395
446,0.931
447,0.927
448,0.931
449,0.9205
450,0.9195
451,0.9175
452,0.922
453,0.919
454,0.9245
455,0.9175
456,0.9185
457,0.912
458,0.928
459,0.9275
460,0.9265
461,0.92
462,0.9275
463,0.923
464,0.908
465,0.9135
466,0.9055
467,0.913
468,0.92
469,0.9035
470,0.893
471,0.8925
472,0.886
473,0.86
474,0.8545
475,0.8485
476,0.8195
477,0.816
478,0.538
479,0.646
480,0.6225
481,0.6265
482,0.6865
483,0.7715
484,0.7715
485,0.7695
486,0.806
487,0.7105
488,0.696
489,0.5
490,0.5
491,0.5
492,0.5
493,0.5
494,0.5
495,0.5
496,0.5
497,0.5
498,0.5
499,0.5
