num_removed,accuracy
0,0.9535
1,0.9555
2,0.954
3,0.9545
4,0.9525
5,0.952
6,0.9505
7,0.952
8,0.9525
9,0.9525
10,0.952
11,0.9515
12,0.9525
13,0.9515
14,0.953
15,0.95
16,0.9495
17,0.9495
18,0.952
19,0.953
20,0.952
21,0.9535
22,0.9485
23,0.9505
24,0.9495
25,0.951
26,0.951
27,0.951
28,0.9485
29,0.9485
30,0.9495
31,0.95
32,0.953
33,0.953
34,0.953
35,0.955
36,0.955
37,0.955
38,0.9555
39,0.9555
40,0.9535
41,0.954
42,0.9535
43,0.9535
44,0.9535
45,0.9535
46,0.9525
47,0.9525
48,0.9525
49,0.9525
50,0.9525
51,0.9525
52,0.9555
53,0.9555
54,0.9555
55,0.9555
56,0.9555
57,0.9555
58,0.954
59,0.95
60,0.95
61,0.95
62,0.95
63,0.95
64,0.949
65,0.95
66,0.95
67,0.95
68,0.95
69,0.9495
70,0.95
71,0.95
72,0.9525
73,0.9525
74,0.9525
75,0.9525
76,0.9525
77,0.9475
78,0.9475
79,0.9485
80,0.9475
81,0.9475
82,0.9475
83,0.9475
84,0.9475
85,0.945
86,0.947
87,0.946
88,0.946
89,0.946
90,0.946
91,0.9475
92,0.9475
93,0.945
94,0.946
95,0.946
96,0.945
97,0.9455
98,0.946
99,0.946
100,0.9445
101,0.9445
102,0.9445
103,0.9455
104,0.9455
105,0.945
106,0.9465
107,0.9475
108,0.9475
109,0.9475
110,0.947
111,0.947
112,0.947
113,0.9465
114,0.9485
115,0.9465
116,0.946
117,0.946
118,0.946
119,0.946
120,0.946
121,0.946
122,0.946
123,0.946
124,0.946
125,0.9515
126,0.9525
127,0.9525
128,0.9495
129,0.9435
130,0.9435
131,0.942
132,0.943
133,0.9435
134,0.9425
135,0.9425
136,0.943
137,0.9415
138,0.9415
139,0.9425
140,0.9425
141,0.9415
142,0.9415
143,0.9415
144,0.9415
145,0.9415
146,0.9415
147,0.9415
148,0.941
149,0.9415
150,0.941
151,0.941
152,0.9415
153,0.9415
154,0.9415
155,0.9415
156,0.941
157,0.9415
158,0.9415
159,0.941
160,0.941
161,0.941
162,0.941
163,0.941
164,0.941
165,0.9415
166,0.9425
167,0.9425
168,0.9415
169,0.9415
170,0.9405
171,0.9415
172,0.9415
173,0.9415
174,0.9405
175,0.9415
176,0.941
177,0.941
178,0.9405
179,0.9415
180,0.9405
181,0.941
182,0.941
183,0.9405
184,0.9405
185,0.942
186,0.942
187,0.941
188,0.942
189,0.9415
190,0.941
191,0.941
192,0.9415
193,0.942
194,0.9415
195,0.941
196,0.941
197,0.9415
198,0.9415
199,0.9415
200,0.942
201,0.9415
202,0.9415
203,0.943
204,0.942
205,0.9425
206,0.942
207,0.9425
208,0.9425
209,0.942
210,0.942
211,0.942
212,0.942
213,0.9325
214,0.9325
215,0.9325
216,0.9325
217,0.9325
218,0.932
219,0.9325
220,0.9325
221,0.933
222,0.933
223,0.932
224,0.932
225,0.933
226,0.9305
227,0.9305
228,0.9315
229,0.9315
230,0.9305
231,0.93
232,0.9325
233,0.9315
234,0.9315
235,0.931
236,0.9305
237,0.9265
238,0.926
239,0.9195
240,0.919
241,0.9195
242,0.9175
243,0.919
244,0.907
245,0.907
246,0.907
247,0.9065
248,0.892
249,0.89
250,0.888
251,0.9045
252,0.904
253,0.904
254,0.9035
255,0.906
256,0.9005
257,0.8905
258,0.8835
259,0.8825
260,0.8825
261,0.883
262,0.882
263,0.883
264,0.883
265,0.882
266,0.882
267,0.8825
268,0.882
269,0.883
270,0.883
271,0.883
272,0.882
273,0.883
274,0.883
275,0.882
276,0.882
277,0.8825
278,0.882
279,0.8825
280,0.882
281,0.8825
282,0.882
283,0.8825
284,0.8825
285,0.8825
286,0.8825
287,0.8825
288,0.882
289,0.8825
290,0.882
291,0.8825
292,0.8825
293,0.8825
294,0.8825
295,0.8815
296,0.8815
297,0.882
298,0.882
299,0.882
300,0.8815
301,0.882
302,0.882
303,0.8815
304,0.8815
305,0.882
306,0.8825
307,0.8825
308,0.8815
309,0.8825
310,0.8815
311,0.8825
312,0.8825
313,0.882
314,0.882
315,0.8815
316,0.882
317,0.882
318,0.8815
319,0.8825
320,0.882
321,0.882
322,0.882
323,0.882
324,0.882
325,0.8815
326,0.882
327,0.882
328,0.882
329,0.882
330,0.882
331,0.882
332,0.882
333,0.882
334,0.882
335,0.882
336,0.882
337,0.882
338,0.882
339,0.882
340,0.882
341,0.883
342,0.883
343,0.8825
344,0.8825
345,0.882
346,0.882
347,0.8825
348,0.882
349,0.8815
350,0.8815
351,0.8815
352,0.881
353,0.881
354,0.881
355,0.881
356,0.881
357,0.882
358,0.8815
359,0.882
360,0.8815
361,0.8815
362,0.86
363,0.882
364,0.8815
365,0.8795
366,0.882
367,0.883
368,0.883
369,0.882
370,0.882
371,0.882
372,0.9005
373,0.901
374,0.9015
375,0.9015
376,0.9005
377,0.901
378,0.9015
379,0.9015
380,0.9015
381,0.9015
382,0.9015
383,0.9015
384,0.9015
385,0.9015
386,0.9015
387,0.9015
388,0.9015
389,0.9015
390,0.9015
391,0.9015
392,0.9015
393,0.9015
394,0.9015
395,0.901
396,0.901
397,0.901
398,0.901
399,0.901
400,0.9015
401,0.9015
402,0.901
403,0.901
404,0.901
405,0.901
406,0.901
407,0.901
408,0.901
409,0.9015
410,0.9015
411,0.9015
412,0.9015
413,0.8015
414,0.7545
415,0.551
416,0.508
417,0.504
418,0.5055
419,0.5055
420,0.5055
421,0.5055
422,0.5055
423,0.5055
424,0.5045
425,0.5035
426,0.5035
427,0.5035
428,0.5035
429,0.5035
430,0.5035
431,0.5035
432,0.5035
433,0.505
434,0.5055
435,0.5055
436,0.5055
437,0.5055
438,0.5055
439,0.5055
440,0.5055
441,0.5035
442,0.505
443,0.505
444,0.5045
445,0.5035
446,0.5035
447,0.503
448,0.503
449,0.503
450,0.503
451,0.503
452,0.503
453,0.504
454,0.505
455,0.505
456,0.505
457,0.505
458,0.505
459,0.505
460,0.5055
461,0.5045
462,0.5045
463,0.504
464,0.5045
465,0.505
466,0.5045
467,0.5025
468,0.5015
469,0.506
470,0.5035
471,0.507
472,0.507
473,0.507
474,0.505
475,0.505
476,0.503
477,0.504
478,0.5035
479,0.5045
480,0.5015
481,0.5035
482,0.5095
483,0.507
484,0.5115
485,0.503
486,0.521
487,0.5325
488,0.5195
489,0.5
490,0.5
491,0.5
492,0.5
493,0.5
494,0.5
495,0.5
496,0.5
497,0.5
498,0.5
499,0.5
