num_removed,accuracy
0,0.952
1,0.9515
2,0.9525
3,0.9515
4,0.9515
5,0.9515
6,0.9515
7,0.9525
8,0.9525
9,0.952
10,0.952
11,0.952
12,0.952
13,0.952
14,0.9505
15,0.9515
16,0.953
17,0.951
18,0.951
19,0.952
20,0.952
21,0.952
22,0.9535
23,0.9535
24,0.9525
25,0.9525
26,0.953
27,0.954
28,0.954
29,0.953
30,0.953
31,0.953
32,0.952
33,0.9525
34,0.9505
35,0.9505
36,0.951
37,0.9515
38,0.952
39,0.956
40,0.9515
41,0.951
42,0.9545
43,0.953
44,0.9545
45,0.951
46,0.951
47,0.951
48,0.951
49,0.952
50,0.952
51,0.952
52,0.952
53,0.952
54,0.95
55,0.954
56,0.954
57,0.9505
58,0.9505
59,0.9515
60,0.9515
61,0.953
62,0.95
63,0.952
64,0.9515
65,0.9515
66,0.952
67,0.9515
68,0.9515
69,0.9515
70,0.9515
71,0.9515
72,0.9515
73,0.9515
74,0.952
75,0.953
76,0.9525
77,0.952
78,0.9525
79,0.9525
80,0.955
81,0.952
82,0.952
83,0.9515
84,0.952
85,0.954
86,0.9525
87,0.9525
88,0.9525
89,0.9525
90,0.9545
91,0.953
92,0.952
93,0.952
94,0.954
95,0.954
96,0.9525
97,0.9525
98,0.9525
99,0.9545
100,0.9535
101,0.9525
102,0.9535
103,0.9535
104,0.955
105,0.9545
106,0.9545
107,0.954
108,0.954
109,0.9535
110,0.9535
111,0.952
112,0.953
113,0.952
114,0.952
115,0.9515
116,0.9525
117,0.9505
118,0.9525
119,0.9485
120,0.9495
121,0.9495
122,0.9495
123,0.9495
124,0.9495
125,0.9505
126,0.95
127,0.9505
128,0.95
129,0.949
130,0.949
131,0.9495
132,0.9495
133,0.9495
134,0.95
135,0.95
136,0.949
137,0.949
138,0.9485
139,0.9485
140,0.9485
141,0.95
142,0.9505
143,0.9505
144,0.95
145,0.948
146,0.9505
147,0.948
148,0.9485
149,0.9485
150,0.9485
151,0.9485
152,0.9485
153,0.9495
154,0.9485
155,0.9495
156,0.9495
157,0.9485
158,0.95
159,0.95
160,0.948
161,0.948
162,0.952
163,0.9525
164,0.951
165,0.9525
166,0.951
167,0.951
168,0.951
169,0.951
170,0.951
171,0.95
172,0.95
173,0.95
174,0.95
175,0.949
176,0.949
177,0.949
178,0.949
179,0.949
180,0.949
181,0.949
182,0.949
183,0.949
184,0.95
185,0.9485
186,0.9495
187,0.948
188,0.9475
189,0.949
190,0.949
191,0.948
192,0.9485
193,0.949
194,0.949
195,0.9485
196,0.9465
197,0.948
198,0.948
199,0.948
200,0.947
201,0.945
202,0.946
203,0.945
204,0.945
205,0.947
206,0.95
207,0.947
208,0.946
209,0.9455
210,0.9465
211,0.947
212,0.947
213,0.944
214,0.943
215,0.943
216,0.9435
217,0.945
218,0.946
219,0.945
220,0.9465
221,0.946
222,0.9445
223,0.9465
224,0.9425
225,0.9425
226,0.9425
227,0.9425
228,0.944
229,0.944
230,0.944
231,0.944
232,0.937
233,0.937
234,0.94
235,0.939
236,0.94
237,0.9405
238,0.941
239,0.938
240,0.941
241,0.94
242,0.939
243,0.9415
244,0.94
245,0.9405
246,0.9405
247,0.94
248,0.9415
249,0.9405
250,0.941
251,0.9435
252,0.938
253,0.938
254,0.938
255,0.9365
256,0.9365
257,0.9365
258,0.9365
259,0.9375
260,0.9385
261,0.9375
262,0.9385
263,0.938
264,0.941
265,0.9385
266,0.938
267,0.938
268,0.937
269,0.936
270,0.9375
271,0.9375
272,0.936
273,0.9355
274,0.938
275,0.938
276,0.938
277,0.938
278,0.9355
279,0.938
280,0.936
281,0.935
282,0.9365
283,0.9395
284,0.939
285,0.939
286,0.939
287,0.939
288,0.9385
289,0.938
290,0.936
291,0.937
292,0.9395
293,0.9375
294,0.9365
295,0.9355
296,0.941
297,0.941
298,0.938
299,0.9405
300,0.942
301,0.942
302,0.938
303,0.9415
304,0.942
305,0.9395
306,0.94
307,0.9425
308,0.941
309,0.938
310,0.938
311,0.938
312,0.9395
313,0.9385
314,0.9395
315,0.935
316,0.941
317,0.9405
318,0.9415
319,0.941
320,0.9415
321,0.931
322,0.9315
323,0.935
324,0.933
325,0.935
326,0.935
327,0.935
328,0.9305
329,0.933
330,0.9435
331,0.9385
332,0.9415
333,0.941
334,0.9445
335,0.9425
336,0.938
337,0.938
338,0.9375
339,0.9385
340,0.9415
341,0.9415
342,0.94
343,0.94
344,0.9395
345,0.9375
346,0.9455
347,0.945
348,0.9445
349,0.9445
350,0.9445
351,0.9415
352,0.936
353,0.9365
354,0.9295
355,0.93
356,0.9305
357,0.93
358,0.9305
359,0.93
360,0.9305
361,0.934
362,0.9315
363,0.9305
364,0.932
365,0.931
366,0.9305
367,0.9305
368,0.927
369,0.93
370,0.9285
371,0.928
372,0.9295
373,0.9265
374,0.925
375,0.927
376,0.929
377,0.927
378,0.9275
379,0.9255
380,0.9255
381,0.934
382,0.9255
383,0.9255
384,0.9275
385,0.926
386,0.9255
387,0.928
388,0.9265
389,0.926
390,0.928
391,0.925
392,0.9255
393,0.9275
394,0.9265
395,0.925
396,0.925
397,0.9235
398,0.9265
399,0.917
400,0.9215
401,0.931
402,0.932
403,0.932
404,0.9315
405,0.931
406,0.9315
407,0.93
408,0.93
409,0.931
410,0.932
411,0.93
412,0.9305
413,0.93
414,0.9105
415,0.91
416,0.9105
417,0.9115
418,0.91
419,0.9115
420,0.9105
421,0.911
422,0.911
423,0.91
424,0.911
425,0.91
426,0.9105
427,0.91
428,0.91
429,0.9105
430,0.9115
431,0.912
432,0.911
433,0.911
434,0.911
435,0.913
436,0.9085
437,0.9065
438,0.9065
439,0.912
440,0.91
441,0.875
442,0.8755
443,0.875
444,0.8755
445,0.875
446,0.875
447,0.875
448,0.875
449,0.875
450,0.875
451,0.875
452,0.875
453,0.875
454,0.875
455,0.897
456,0.9265
457,0.927
458,0.926
459,0.918
460,0.9235
461,0.926
462,0.925
463,0.928
464,0.926
465,0.9255
466,0.9235
467,0.9255
468,0.923
469,0.9255
470,0.9225
471,0.9275
472,0.9285
473,0.9285
474,0.9285
475,0.9285
476,0.9285
477,0.9285
478,0.9285
479,0.9285
480,0.9285
481,0.9285
482,0.9285
483,0.8995
484,0.8995
485,0.8995
486,0.8945
487,0.57
488,0.5925
489,0.5
490,0.5
491,0.5
492,0.5
493,0.5
494,0.5
495,0.5
496,0.5
497,0.5
498,0.5
499,0.5
