num_removed,accuracy
0,0.952
1,0.9535
2,0.9535
3,0.9515
4,0.953
5,0.953
6,0.9505
7,0.952
8,0.952
9,0.952
10,0.953
11,0.953
12,0.95
13,0.9535
14,0.951
15,0.953
16,0.953
17,0.953
18,0.9525
19,0.9525
20,0.9525
21,0.9535
22,0.953
23,0.953
24,0.953
25,0.953
26,0.9525
27,0.953
28,0.9525
29,0.9525
30,0.952
31,0.952
32,0.952
33,0.9505
34,0.951
35,0.951
36,0.951
37,0.9505
38,0.9495
39,0.951
40,0.9495
41,0.9495
42,0.951
43,0.951
44,0.9505
45,0.949
46,0.949
47,0.949
48,0.949
49,0.9505
50,0.95
51,0.9475
52,0.949
53,0.949
54,0.949
55,0.95
56,0.9515
57,0.9505
58,0.9515
59,0.951
60,0.951
61,0.95
62,0.95
63,0.9475
64,0.9475
65,0.9475
66,0.952
67,0.9505
68,0.9505
69,0.9505
70,0.9525
71,0.952
72,0.952
73,0.952
74,0.952
75,0.9515
76,0.952
77,0.9505
78,0.951
79,0.9515
80,0.9515
81,0.951
82,0.951
83,0.95
84,0.9505
85,0.951
86,0.9495
87,0.9495
88,0.951
89,0.951
90,0.9505
91,0.9505
92,0.9505
93,0.9495
94,0.9505
95,0.9495
96,0.9495
97,0.951
98,0.9485
99,0.9485
100,0.9485
101,0.9485
102,0.9485
103,0.949
104,0.949
105,0.949
106,0.949
107,0.949
108,0.9495
109,0.9495
110,0.949
111,0.951
112,0.9495
113,0.9505
114,0.9505
115,0.9505
116,0.9495
117,0.9495
118,0.951
119,0.9505
120,0.95
121,0.9485
122,0.9485
123,0.945
124,0.9425
125,0.9425
126,0.9405
127,0.9445
128,0.9445
129,0.9445
130,0.9445
131,0.9455
132,0.9455
133,0.9455
134,0.946
135,0.9445
136,0.9445
137,0.9475
138,0.9455
139,0.9455
140,0.946
141,0.9455
142,0.9455
143,0.9455
144,0.9455
145,0.9445
146,0.944
147,0.946
148,0.9455
149,0.944
150,0.944
151,0.944
152,0.944
153,0.9425
154,0.942
155,0.942
156,0.942
157,0.942
158,0.942
159,0.942
160,0.9415
161,0.941
162,0.943
163,0.9405
164,0.9425
165,0.9425
166,0.946
167,0.945
168,0.943
169,0.944
170,0.944
171,0.9435
172,0.9425
173,0.9425
174,0.9425
175,0.9425
176,0.943
177,0.9425
178,0.9425
179,0.9415
180,0.943
181,0.9435
182,0.9435
183,0.9435
184,0.941
185,0.9435
186,0.9435
187,0.944
188,0.944
189,0.9445
190,0.9445
191,0.943
192,0.9425
193,0.9425
194,0.9425
195,0.943
196,0.9435
197,0.9435
198,0.942
199,0.944
200,0.9415
201,0.9415
202,0.945
203,0.9445
204,0.945
205,0.9435
206,0.9445
207,0.9415
208,0.945
209,0.9455
210,0.9435
211,0.9455
212,0.9445
213,0.9455
214,0.946
215,0.9465
216,0.9445
217,0.945
218,0.945
219,0.9455
220,0.9425
221,0.945
222,0.945
223,0.9425
224,0.946
225,0.9445
226,0.943
227,0.9445
228,0.9445
229,0.943
230,0.945
231,0.945
232,0.945
233,0.945
234,0.9455
235,0.944
236,0.946
237,0.946
238,0.9465
239,0.9465
240,0.942
241,0.9435
242,0.9435
243,0.943
244,0.9445
245,0.9435
246,0.9435
247,0.944
248,0.9435
249,0.9435
250,0.9435
251,0.9435
252,0.9455
253,0.9425
254,0.9415
255,0.9415
256,0.9415
257,0.943
258,0.943
259,0.943
260,0.942
261,0.94
262,0.94
263,0.943
264,0.941
265,0.9415
266,0.9395
267,0.941
268,0.94
269,0.9385
270,0.941
271,0.9405
272,0.94
273,0.9395
274,0.9385
275,0.9385
276,0.9365
277,0.9375
278,0.9385
279,0.9385
280,0.9375
281,0.937
282,0.9375
283,0.9375
284,0.9375
285,0.938
286,0.938
287,0.936
288,0.9365
289,0.934
290,0.937
291,0.937
292,0.9385
293,0.9395
294,0.939
295,0.9385
296,0.9405
297,0.9405
298,0.939
299,0.9385
300,0.938
301,0.938
302,0.942
303,0.9405
304,0.9385
305,0.941
306,0.94
307,0.9385
308,0.941
309,0.939
310,0.9415
311,0.9375
312,0.9375
313,0.941
314,0.943
315,0.94
316,0.9405
317,0.9405
318,0.937
319,0.9365
320,0.9365
321,0.936
322,0.938
323,0.937
324,0.9375
325,0.932
326,0.9355
327,0.933
328,0.935
329,0.934
330,0.9335
331,0.935
332,0.936
333,0.936
334,0.933
335,0.9355
336,0.9325
337,0.933
338,0.934
339,0.9325
340,0.9355
341,0.9355
342,0.935
343,0.9325
344,0.933
345,0.934
346,0.934
347,0.9345
348,0.9335
349,0.9345
350,0.934
351,0.9375
352,0.9355
353,0.9355
354,0.9355
355,0.939
356,0.94
357,0.937
358,0.9375
359,0.9375
360,0.939
361,0.9395
362,0.9395
363,0.939
364,0.9385
365,0.94
366,0.9385
367,0.94
368,0.94
369,0.9375
370,0.9405
371,0.939
372,0.9405
373,0.94
374,0.94
375,0.94
376,0.9395
377,0.939
378,0.9395
379,0.938
380,0.9365
381,0.938
382,0.94
383,0.9365
384,0.9335
385,0.935
386,0.933
387,0.938
388,0.936
389,0.9375
390,0.9365
391,0.938
392,0.9345
393,0.939
394,0.939
395,0.9395
396,0.9395
397,0.9385
398,0.9395
399,0.94
400,0.94
401,0.9395
402,0.9385
403,0.94
404,0.9385
405,0.939
406,0.94
407,0.9385
408,0.939
409,0.939
410,0.9355
411,0.938
412,0.937
413,0.939
414,0.9385
415,0.9365
416,0.918
417,0.922
418,0.9345
419,0.9365
420,0.9235
421,0.931
422,0.9395
423,0.939
424,0.937
425,0.9375
426,0.939
427,0.938
428,0.936
429,0.939
430,0.939
431,0.94
432,0.9385
433,0.9385
434,0.9265
435,0.9315
436,0.9355
437,0.933
438,0.9315
439,0.933
440,0.936
441,0.9385
442,0.936
443,0.938
444,0.937
445,0.926
446,0.929
447,0.925
448,0.919
449,0.919
450,0.923
451,0.922
452,0.9235
453,0.926
454,0.9015
455,0.894
456,0.892
457,0.8865
458,0.884
459,0.906
460,0.9005
461,0.877
462,0.93
463,0.9305
464,0.9185
465,0.9265
466,0.925
467,0.9155
468,0.9245
469,0.8945
470,0.8935
471,0.9035
472,0.9075
473,0.896
474,0.8865
475,0.8825
476,0.8985
477,0.8805
478,0.879
479,0.8855
480,0.8685
481,0.87
482,0.859
483,0.846
484,0.8535
485,0.803
486,0.906
487,0.906
488,0.906
489,0.5
490,0.5
491,0.5
492,0.5
493,0.5
494,0.5
495,0.5
496,0.5
497,0.5
498,0.5
499,0.5
