num_removed,accuracy
0,0.952
1,0.952
2,0.9505
3,0.9505
4,0.951
5,0.95
6,0.95
7,0.9485
8,0.95
9,0.9505
10,0.9505
11,0.95
12,0.95
13,0.9505
14,0.9505
15,0.951
16,0.948
17,0.948
18,0.946
19,0.947
20,0.9475
21,0.9465
22,0.9505
23,0.9505
24,0.9485
25,0.9505
26,0.95
27,0.95
28,0.95
29,0.9465
30,0.95
31,0.95
32,0.9475
33,0.9475
34,0.9505
35,0.9505
36,0.9505
37,0.9505
38,0.949
39,0.9475
40,0.9475
41,0.9475
42,0.946
43,0.9465
44,0.946
45,0.9455
46,0.9465
47,0.9465
48,0.9465
49,0.946
50,0.9475
51,0.947
52,0.9495
53,0.946
54,0.946
55,0.9465
56,0.946
57,0.946
58,0.947
59,0.947
60,0.9455
61,0.9475
62,0.946
63,0.946
64,0.9465
65,0.948
66,0.948
67,0.946
68,0.947
69,0.947
70,0.947
71,0.9475
72,0.9465
73,0.946
74,0.946
75,0.946
76,0.9475
77,0.946
78,0.9465
79,0.9465
80,0.946
81,0.9465
82,0.946
83,0.9475
84,0.9475
85,0.9445
86,0.943
87,0.942
88,0.942
89,0.942
90,0.9445
91,0.9425
92,0.9435
93,0.9435
94,0.9435
95,0.9425
96,0.942
97,0.9415
98,0.944
99,0.9445
100,0.9445
101,0.9445
102,0.9445
103,0.944
104,0.943
105,0.943
106,0.9415
107,0.9395
108,0.943
109,0.944
110,0.944
111,0.942
112,0.944
113,0.942
114,0.944
115,0.943
116,0.943
117,0.943
118,0.943
119,0.9445
120,0.9445
121,0.9485
122,0.9495
123,0.947
124,0.9485
125,0.9485
126,0.9485
127,0.948
128,0.9465
129,0.9485
130,0.9485
131,0.947
132,0.948
133,0.948
134,0.946
135,0.9465
136,0.9465
137,0.9465
138,0.9475
139,0.9475
140,0.947
141,0.9475
142,0.9475
143,0.9475
144,0.946
145,0.946
146,0.9445
147,0.9445
148,0.946
149,0.946
150,0.9435
151,0.944
152,0.9435
153,0.9455
154,0.9455
155,0.946
156,0.9445
157,0.945
158,0.944
159,0.947
160,0.9475
161,0.946
162,0.9475
163,0.9465
164,0.946
165,0.947
166,0.947
167,0.947
168,0.947
169,0.9455
170,0.9475
171,0.948
172,0.949
173,0.947
174,0.947
175,0.9465
176,0.948
177,0.9485
178,0.947
179,0.947
180,0.947
181,0.947
182,0.9455
183,0.949
184,0.9475
185,0.948
186,0.9465
187,0.9465
188,0.9445
189,0.9455
190,0.946
191,0.9455
192,0.9455
193,0.946
194,0.9465
195,0.945
196,0.945
197,0.945
198,0.947
199,0.946
200,0.9445
201,0.946
202,0.946
203,0.9455
204,0.945
205,0.9455
206,0.946
207,0.946
208,0.9455
209,0.9455
210,0.9455
211,0.9465
212,0.945
213,0.946
214,0.946
215,0.9445
216,0.9455
217,0.946
218,0.945
219,0.945
220,0.946
221,0.947
222,0.947
223,0.947
224,0.947
225,0.947
226,0.945
227,0.946
228,0.945
229,0.9465
230,0.9465
231,0.947
232,0.947
233,0.946
234,0.946
235,0.947
236,0.946
237,0.947
238,0.9465
239,0.9465
240,0.9455
241,0.9455
242,0.9455
243,0.9455
244,0.9445
245,0.9435
246,0.9435
247,0.9435
248,0.942
249,0.942
250,0.9435
251,0.9415
252,0.9435
253,0.943
254,0.943
255,0.944
256,0.9435
257,0.9415
258,0.9415
259,0.9415
260,0.944
261,0.9445
262,0.9445
263,0.9445
264,0.943
265,0.941
266,0.9445
267,0.943
268,0.943
269,0.943
270,0.9425
271,0.943
272,0.9425
273,0.9415
274,0.9415
275,0.944
276,0.943
277,0.9435
278,0.941
279,0.941
280,0.944
281,0.9415
282,0.9415
283,0.9425
284,0.941
285,0.941
286,0.941
287,0.941
288,0.941
289,0.941
290,0.941
291,0.941
292,0.9425
293,0.942
294,0.942
295,0.944
296,0.9425
297,0.942
298,0.9405
299,0.944
300,0.941
301,0.9435
302,0.9415
303,0.9385
304,0.939
305,0.941
306,0.94
307,0.942
308,0.9405
309,0.9415
310,0.9415
311,0.941
312,0.943
313,0.9415
314,0.943
315,0.9415
316,0.943
317,0.944
318,0.941
319,0.9425
320,0.9405
321,0.94
322,0.9375
323,0.937
324,0.9405
325,0.938
326,0.9365
327,0.936
328,0.9385
329,0.936
330,0.935
331,0.936
332,0.9355
333,0.9425
334,0.9415
335,0.9395
336,0.943
337,0.9415
338,0.9405
339,0.9405
340,0.939
341,0.942
342,0.941
343,0.9415
344,0.9415
345,0.9385
346,0.9415
347,0.9415
348,0.943
349,0.943
350,0.942
351,0.941
352,0.9415
353,0.941
354,0.9425
355,0.941
356,0.941
357,0.9435
358,0.942
359,0.947
360,0.944
361,0.946
362,0.942
363,0.943
364,0.943
365,0.9445
366,0.9465
367,0.9445
368,0.944
369,0.942
370,0.941
371,0.941
372,0.941
373,0.9415
374,0.9415
375,0.9405
376,0.942
377,0.9395
378,0.9455
379,0.944
380,0.947
381,0.946
382,0.943
383,0.944
384,0.945
385,0.946
386,0.948
387,0.944
388,0.944
389,0.944
390,0.9435
391,0.9435
392,0.943
393,0.944
394,0.944
395,0.945
396,0.945
397,0.947
398,0.947
399,0.9445
400,0.944
401,0.942
402,0.945
403,0.937
404,0.937
405,0.9385
406,0.94
407,0.939
408,0.9375
409,0.94
410,0.939
411,0.939
412,0.9385
413,0.939
414,0.939
415,0.939
416,0.939
417,0.9395
418,0.9395
419,0.9385
420,0.9425
421,0.9375
422,0.9375
423,0.9395
424,0.939
425,0.942
426,0.9455
427,0.945
428,0.945
429,0.9455
430,0.946
431,0.9435
432,0.9395
433,0.941
434,0.939
435,0.938
436,0.9355
437,0.94
438,0.935
439,0.934
440,0.9135
441,0.917
442,0.894
443,0.8995
444,0.897
445,0.888
446,0.904
447,0.902
448,0.903
449,0.906
450,0.9035
451,0.906
452,0.906
453,0.907
454,0.907
455,0.911
456,0.9005
457,0.9055
458,0.907
459,0.91
460,0.912
461,0.906
462,0.9085
463,0.905
464,0.9065
465,0.9075
466,0.9095
467,0.9015
468,0.9005
469,0.846
470,0.8665
471,0.8675
472,0.9005
473,0.91
474,0.917
475,0.911
476,0.889
477,0.8615
478,0.879
479,0.9055
480,0.8775
481,0.8955
482,0.859
483,0.853
484,0.882
485,0.7535
486,0.6585
487,0.549
488,0.5455
489,0.5
490,0.5
491,0.5
492,0.5
493,0.5
494,0.5
495,0.5
496,0.5
497,0.5
498,0.5
499,0.5
