num_removed,accuracy
0,0.9425
1,0.9425
2,0.942
3,0.9425
4,0.9425
5,0.943
6,0.943
7,0.942
8,0.9415
9,0.9415
10,0.942
11,0.942
12,0.9415
13,0.941
14,0.941
15,0.939
16,0.94
17,0.9395
18,0.9405
19,0.94
20,0.942
21,0.9415
22,0.9405
23,0.9405
24,0.9405
25,0.9405
26,0.9415
27,0.9415
28,0.9415
29,0.9415
30,0.9425
31,0.9415
32,0.9425
33,0.9425
34,0.9425
35,0.9415
36,0.942
37,0.942
38,0.942
39,0.942
40,0.9415
41,0.9415
42,0.9435
43,0.9415
44,0.9415
45,0.941
46,0.942
47,0.942
48,0.942
49,0.9415
50,0.9415
51,0.942
52,0.939
53,0.94
54,0.9395
55,0.94
56,0.9405
57,0.9405
58,0.9375
59,0.9375
60,0.9375
61,0.936
62,0.938
63,0.938
64,0.938
65,0.936
66,0.9365
67,0.937
68,0.9375
69,0.938
70,0.9375
71,0.9365
72,0.9355
73,0.938
74,0.938
75,0.9375
76,0.9375
77,0.9385
78,0.9375
79,0.9375
80,0.9355
81,0.9385
82,0.936
83,0.9365
84,0.9365
85,0.9365
86,0.9365
87,0.937
88,0.937
89,0.937
90,0.9385
91,0.9385
92,0.9385
93,0.9385
94,0.937
95,0.937
96,0.9415
97,0.938
98,0.938
99,0.9375
100,0.94
101,0.94
102,0.94
103,0.94
104,0.9435
105,0.9425
106,0.941
107,0.9355
108,0.939
109,0.938
110,0.9425
111,0.939
112,0.939
113,0.9395
114,0.941
115,0.941
116,0.9375
117,0.941
118,0.941
119,0.9405
120,0.9405
121,0.939
122,0.939
123,0.939
124,0.9425
125,0.9395
126,0.9385
127,0.9395
128,0.9405
129,0.9395
130,0.94
131,0.936
132,0.936
133,0.936
134,0.9365
135,0.938
136,0.9375
137,0.942
138,0.9405
139,0.9415
140,0.941
141,0.943
142,0.9385
143,0.94
144,0.94
145,0.94
146,0.94
147,0.94
148,0.941
149,0.939
150,0.939
151,0.94
152,0.941
153,0.94
154,0.9385
155,0.9395
156,0.94
157,0.9395
158,0.941
159,0.9405
160,0.94
161,0.94
162,0.94
163,0.9395
164,0.942
165,0.942
166,0.938
167,0.942
168,0.9405
169,0.9395
170,0.94
171,0.9405
172,0.94
173,0.9425
174,0.941
175,0.9435
176,0.9425
177,0.942
178,0.9425
179,0.938
180,0.938
181,0.939
182,0.9385
183,0.938
184,0.9365
185,0.937
186,0.936
187,0.936
188,0.938
189,0.9375
190,0.937
191,0.938
192,0.939
193,0.937
194,0.936
195,0.936
196,0.936
197,0.938
198,0.936
199,0.9385
200,0.9405
201,0.9395
202,0.94
203,0.9395
204,0.9405
205,0.939
206,0.94
207,0.941
208,0.9375
209,0.938
210,0.9375
211,0.9385
212,0.9395
213,0.9375
214,0.9375
215,0.9375
216,0.9385
217,0.939
218,0.941
219,0.941
220,0.935
221,0.9285
222,0.9285
223,0.9285
224,0.93
225,0.9325
226,0.9355
227,0.932
228,0.932
229,0.9325
230,0.9355
231,0.9345
232,0.937
233,0.9375
234,0.9375
235,0.935
236,0.9385
237,0.9385
238,0.9335
239,0.9335
240,0.9325
241,0.935
242,0.9335
243,0.932
244,0.9335
245,0.9315
246,0.931
247,0.931
248,0.931
249,0.9305
250,0.9305
251,0.931
252,0.9305
253,0.931
254,0.9305
255,0.9305
256,0.9305
257,0.931
258,0.931
259,0.929
260,0.93
261,0.93
262,0.9285
263,0.9285
264,0.9305
265,0.93
266,0.9285
267,0.9295
268,0.931
269,0.9285
270,0.9285
271,0.9295
272,0.9295
273,0.9315
274,0.9285
275,0.9285
276,0.9325
277,0.93
278,0.9295
279,0.933
280,0.93
281,0.933
282,0.93
283,0.9285
284,0.929
285,0.9265
286,0.9275
287,0.921
288,0.9285
289,0.9235
290,0.921
291,0.9225
292,0.926
293,0.926
294,0.928
295,0.929
296,0.926
297,0.926
298,0.9315
299,0.9265
300,0.924
301,0.9245
302,0.921
303,0.9175
304,0.917
305,0.9165
306,0.9175
307,0.9185
308,0.9185
309,0.9155
310,0.9155
311,0.9215
312,0.9215
313,0.921
314,0.9195
315,0.9175
316,0.9175
317,0.919
318,0.9185
319,0.9165
320,0.9165
321,0.915
322,0.92
323,0.9185
324,0.9165
325,0.917
326,0.917
327,0.915
328,0.92
329,0.92
330,0.92
331,0.922
332,0.92
333,0.915
334,0.915
335,0.914
336,0.915
337,0.915
338,0.915
339,0.912
340,0.924
341,0.92
342,0.9225
343,0.9215
344,0.9215
345,0.9115
346,0.919
347,0.9115
348,0.9105
349,0.913
350,0.908
351,0.91
352,0.9115
353,0.912
354,0.9125
355,0.91
356,0.9095
357,0.909
358,0.9085
359,0.9105
360,0.906
361,0.906
362,0.907
363,0.9075
364,0.908
365,0.907
366,0.905
367,0.9045
368,0.91
369,0.9065
370,0.9035
371,0.908
372,0.906
373,0.904
374,0.9015
375,0.9005
376,0.8995
377,0.9005
378,0.9045
379,0.9005
380,0.901
381,0.897
382,0.9015
383,0.892
384,0.895
385,0.889
386,0.894
387,0.8925
388,0.896
389,0.898
390,0.8975
391,0.8995
392,0.8985
393,0.8985
394,0.898
395,0.8945
396,0.8945
397,0.8795
398,0.8845
399,0.8825
400,0.881
401,0.8845
402,0.88
403,0.879
404,0.8805
405,0.8805
406,0.8875
407,0.8845
408,0.886
409,0.8635
410,0.8665
411,0.872
412,0.873
413,0.8655
414,0.863
415,0.867
416,0.8635
417,0.867
418,0.861
419,0.863
420,0.8585
421,0.8345
422,0.835
423,0.835
424,0.824
425,0.833
426,0.826
427,0.861
428,0.8565
429,0.857
430,0.8505
431,0.824
432,0.8345
433,0.8405
434,0.836
435,0.809
436,0.815
437,0.8085
438,0.811
439,0.8305
440,0.833
441,0.804
442,0.7645
443,0.767
444,0.774
445,0.781
446,0.7755
447,0.779
448,0.7955
449,0.789
450,0.776
451,0.769
452,0.761
453,0.7625
454,0.7445
455,0.756
456,0.791
457,0.7935
458,0.796
459,0.7905
460,0.795
461,0.7825
462,0.7895
463,0.792
464,0.786
