num_removed,accuracy
0,0.9425
1,0.944
2,0.944
3,0.9435
4,0.943
5,0.9425
6,0.9455
7,0.947
8,0.946
9,0.9445
10,0.943
11,0.944
12,0.9435
13,0.944
14,0.9425
15,0.9425
16,0.943
17,0.943
18,0.943
19,0.942
20,0.943
21,0.943
22,0.942
23,0.943
24,0.9415
25,0.9415
26,0.9425
27,0.942
28,0.942
29,0.942
30,0.9425
31,0.9425
32,0.942
33,0.9425
34,0.942
35,0.942
36,0.943
37,0.9415
38,0.9415
39,0.942
40,0.9415
41,0.9395
42,0.9395
43,0.9405
44,0.9415
45,0.9415
46,0.941
47,0.94
48,0.9415
49,0.94
50,0.94
51,0.9395
52,0.941
53,0.941
54,0.941
55,0.94
56,0.94
57,0.939
58,0.94
59,0.94
60,0.9395
61,0.9395
62,0.94
63,0.94
64,0.9405
65,0.9415
66,0.9405
67,0.9405
68,0.94
69,0.94
70,0.9395
71,0.9395
72,0.939
73,0.9365
74,0.94
75,0.938
76,0.9395
77,0.9395
78,0.94
79,0.939
80,0.9405
81,0.9385
82,0.9385
83,0.9385
84,0.9365
85,0.9365
86,0.9385
87,0.937
88,0.938
89,0.9355
90,0.936
91,0.9365
92,0.9365
93,0.9365
94,0.9355
95,0.9355
96,0.935
97,0.935
98,0.936
99,0.935
100,0.936
101,0.9365
102,0.9375
103,0.937
104,0.936
105,0.936
106,0.9365
107,0.937
108,0.9355
109,0.9355
110,0.9355
111,0.935
112,0.9355
113,0.9355
114,0.935
115,0.935
116,0.935
117,0.935
118,0.937
119,0.935
120,0.935
121,0.9365
122,0.9375
123,0.9375
124,0.9355
125,0.936
126,0.938
127,0.937
128,0.937
129,0.937
130,0.937
131,0.937
132,0.9355
133,0.937
134,0.937
135,0.936
136,0.937
137,0.9375
138,0.9375
139,0.9375
140,0.935
141,0.935
142,0.9385
143,0.9385
144,0.936
145,0.9325
146,0.932
147,0.934
148,0.9335
149,0.933
150,0.935
151,0.9345
152,0.9335
153,0.9325
154,0.933
155,0.935
156,0.933
157,0.936
158,0.935
159,0.9335
160,0.9335
161,0.9355
162,0.9355
163,0.9345
164,0.9355
165,0.933
166,0.934
167,0.933
168,0.9355
169,0.9345
170,0.9345
171,0.9335
172,0.9355
173,0.9345
174,0.9345
175,0.9335
176,0.935
177,0.9355
178,0.936
179,0.9335
180,0.9335
181,0.9335
182,0.935
183,0.9345
184,0.935
185,0.936
186,0.9335
187,0.9315
188,0.932
189,0.9325
190,0.934
191,0.9335
192,0.9335
193,0.9335
194,0.933
195,0.9325
196,0.936
197,0.9345
198,0.935
199,0.935
200,0.9355
201,0.9355
202,0.9355
203,0.9345
204,0.933
205,0.9285
206,0.929
207,0.9295
208,0.9285
209,0.9275
210,0.929
211,0.9285
212,0.9285
213,0.9285
214,0.927
215,0.9275
216,0.9285
217,0.9275
218,0.9285
219,0.9285
220,0.93
221,0.929
222,0.932
223,0.929
224,0.929
225,0.9295
226,0.929
227,0.9305
228,0.932
229,0.9305
230,0.9305
231,0.928
232,0.931
233,0.928
234,0.929
235,0.925
236,0.924
237,0.9185
238,0.9245
239,0.9085
240,0.902
241,0.887
242,0.868
243,0.855
244,0.845
245,0.808
246,0.8085
247,0.753
248,0.7685
249,0.777
250,0.77
251,0.7705
252,0.764
253,0.7645
254,0.7645
255,0.7555
256,0.7555
257,0.776
258,0.773
259,0.769
260,0.7685
261,0.768
262,0.768
263,0.768
264,0.763
265,0.719
266,0.74
267,0.7155
268,0.7365
269,0.731
270,0.728
271,0.7195
272,0.729
273,0.714
274,0.714
275,0.7535
276,0.714
277,0.7455
278,0.736
279,0.7455
280,0.7385
281,0.748
282,0.762
283,0.7265
284,0.7485
285,0.7485
286,0.721
287,0.728
288,0.73
289,0.7225
290,0.729
291,0.7265
292,0.724
293,0.728
294,0.7495
295,0.725
296,0.7455
297,0.744
298,0.7565
299,0.7515
300,0.7475
301,0.7515
302,0.734
303,0.8425
304,0.8425
305,0.843
306,0.8405
307,0.844
308,0.838
309,0.8505
310,0.8525
311,0.844
312,0.8375
313,0.861
314,0.837
315,0.837
316,0.862
317,0.835
318,0.8545
319,0.8475
320,0.8465
321,0.8485
322,0.844
323,0.844
324,0.8535
325,0.8495
326,0.8515
327,0.852
328,0.8485
329,0.844
330,0.8455
331,0.8475
332,0.8375
333,0.847
334,0.8495
335,0.847
336,0.83
337,0.8375
338,0.8505
339,0.823
340,0.8445
341,0.845
342,0.824
343,0.845
344,0.8245
345,0.825
346,0.854
347,0.8575
348,0.8395
349,0.844
350,0.8525
351,0.8525
352,0.8365
353,0.8365
354,0.832
355,0.8225
356,0.835
357,0.845
358,0.8345
359,0.833
360,0.8395
361,0.848
362,0.842
363,0.8265
364,0.8345
365,0.8345
366,0.8315
367,0.74
368,0.74
369,0.741
370,0.7435
371,0.746
372,0.7665
373,0.767
374,0.767
