num_removed,accuracy
0,0.9425
1,0.942
2,0.942
3,0.9445
4,0.9455
5,0.9435
6,0.9435
7,0.9435
8,0.9435
9,0.947
10,0.945
11,0.9455
12,0.9435
13,0.9435
14,0.9435
15,0.9425
16,0.9425
17,0.943
18,0.945
19,0.945
20,0.944
21,0.945
22,0.9435
23,0.943
24,0.943
25,0.943
26,0.943
27,0.9435
28,0.9445
29,0.9455
30,0.945
31,0.945
32,0.9455
33,0.944
34,0.945
35,0.9435
36,0.943
37,0.9425
38,0.9435
39,0.9435
40,0.9435
41,0.9415
42,0.9435
43,0.943
44,0.944
45,0.944
46,0.944
47,0.944
48,0.944
49,0.944
50,0.944
51,0.9435
52,0.9445
53,0.943
54,0.943
55,0.943
56,0.9425
57,0.943
58,0.942
59,0.9435
60,0.9425
61,0.9425
62,0.9385
63,0.9385
64,0.939
65,0.9395
66,0.94
67,0.939
68,0.9395
69,0.941
70,0.9395
71,0.9395
72,0.9395
73,0.942
74,0.9395
75,0.942
76,0.94
77,0.939
78,0.937
79,0.942
80,0.9385
81,0.9385
82,0.9395
83,0.9395
84,0.9395
85,0.9405
86,0.94
87,0.9395
88,0.9405
89,0.9405
90,0.9385
91,0.9415
92,0.9395
93,0.939
94,0.939
95,0.9395
96,0.9395
97,0.9395
98,0.9395
99,0.94
100,0.939
101,0.939
102,0.942
103,0.939
104,0.939
105,0.939
106,0.9395
107,0.9405
108,0.9395
109,0.939
110,0.9405
111,0.94
112,0.9415
113,0.9415
114,0.94
115,0.9405
116,0.94
117,0.9415
118,0.94
119,0.94
120,0.9395
121,0.9395
122,0.941
123,0.942
124,0.9415
125,0.9405
126,0.9405
127,0.9405
128,0.9405
129,0.9405
130,0.9405
131,0.9385
132,0.939
133,0.94
134,0.9405
135,0.94
136,0.9405
137,0.9385
138,0.9385
139,0.941
140,0.94
141,0.942
142,0.942
143,0.938
144,0.941
145,0.9395
146,0.9395
147,0.9395
148,0.9405
149,0.9395
150,0.9395
151,0.9395
152,0.9405
153,0.9405
154,0.9385
155,0.94
156,0.94
157,0.9405
158,0.9405
159,0.9405
160,0.9395
161,0.9395
162,0.94
163,0.9395
164,0.9395
165,0.9395
166,0.9395
167,0.941
168,0.942
169,0.942
170,0.9395
171,0.942
172,0.943
173,0.943
174,0.944
175,0.9425
176,0.944
177,0.9435
178,0.9435
179,0.9435
180,0.9415
181,0.9365
182,0.937
183,0.937
184,0.9425
185,0.943
186,0.9395
187,0.9415
188,0.9415
189,0.9405
190,0.9395
191,0.939
192,0.939
193,0.9425
194,0.943
195,0.939
196,0.943
197,0.941
198,0.9365
199,0.932
200,0.932
201,0.9335
202,0.931
203,0.93
204,0.9305
205,0.93
206,0.931
207,0.932
208,0.9335
209,0.934
210,0.934
211,0.9335
212,0.9335
213,0.9335
214,0.934
215,0.934
216,0.9335
217,0.9355
218,0.9345
219,0.935
220,0.934
221,0.935
222,0.935
223,0.933
224,0.933
225,0.934
226,0.931
227,0.931
228,0.9385
229,0.9355
230,0.9385
231,0.9385
232,0.9445
233,0.941
234,0.939
235,0.9395
236,0.937
237,0.939
238,0.9355
239,0.9355
240,0.9355
241,0.9355
242,0.9365
243,0.9345
244,0.9345
245,0.934
246,0.9325
247,0.932
248,0.932
249,0.931
250,0.931
251,0.933
252,0.933
253,0.933
254,0.9315
255,0.9285
256,0.9315
257,0.933
258,0.9335
259,0.932
260,0.9325
261,0.933
262,0.9305
263,0.932
264,0.932
265,0.934
266,0.932
267,0.9325
268,0.931
269,0.9315
270,0.9315
271,0.9315
272,0.9325
273,0.933
274,0.934
275,0.937
276,0.9345
277,0.9345
278,0.9345
279,0.9355
280,0.9375
281,0.9355
282,0.938
283,0.9385
284,0.9345
285,0.9355
286,0.934
287,0.934
288,0.934
289,0.93
290,0.936
291,0.9345
292,0.9335
293,0.9355
294,0.933
295,0.939
296,0.934
297,0.935
298,0.9355
299,0.929
300,0.936
301,0.934
302,0.935
303,0.937
304,0.915
305,0.921
306,0.9215
307,0.9225
308,0.916
309,0.916
310,0.921
311,0.9185
312,0.9205
313,0.9215
314,0.918
315,0.9215
316,0.9215
317,0.9205
318,0.92
319,0.9155
320,0.922
321,0.9205
322,0.9205
323,0.922
324,0.9185
325,0.92
326,0.9255
327,0.924
328,0.926
329,0.9275
330,0.9255
331,0.9245
332,0.9235
333,0.9275
334,0.9265
335,0.9395
336,0.9395
337,0.934
338,0.935
339,0.9345
340,0.933
341,0.9355
342,0.9335
343,0.933
344,0.934
345,0.9345
346,0.9365
347,0.932
348,0.934
349,0.9355
350,0.933
351,0.934
352,0.932
353,0.928
354,0.932
355,0.9305
356,0.929
357,0.929
358,0.9295
359,0.93
360,0.928
361,0.931
362,0.9315
363,0.93
364,0.93
365,0.9285
366,0.9275
367,0.931
368,0.93
369,0.93
370,0.933
371,0.931
372,0.932
373,0.927
374,0.9285
375,0.9235
376,0.9245
377,0.9285
378,0.9255
379,0.926
380,0.926
381,0.9245
382,0.923
383,0.924
384,0.918
385,0.9215
386,0.9205
387,0.918
388,0.9135
389,0.916
390,0.91
391,0.9195
392,0.9215
393,0.9225
394,0.918
395,0.918
396,0.9205
397,0.9235
398,0.923
399,0.92
400,0.919
401,0.918
402,0.9165
403,0.9095
404,0.909
405,0.911
406,0.9055
407,0.906
408,0.904
409,0.9135
410,0.9045
411,0.9105
412,0.906
413,0.8955
414,0.9015
415,0.8865
416,0.8905
417,0.8915
418,0.8695
419,0.838
420,0.845
421,0.8375
422,0.831
423,0.839
424,0.8425
425,0.846
426,0.7985
427,0.822
428,0.8375
429,0.821
430,0.817
431,0.802
432,0.7995
433,0.778
434,0.7515
435,0.7595
436,0.754
437,0.76
438,0.76
439,0.7355
440,0.7
441,0.7015
442,0.733
443,0.7445
444,0.73
445,0.7375
446,0.709
447,0.7545
448,0.6985
449,0.7045
450,0.7045
451,0.693
452,0.6965
453,0.6935
454,0.683
455,0.6925
456,0.706
457,0.706
458,0.7105
459,0.699
460,0.687
461,0.688
462,0.6935
463,0.6825
464,0.6885
465,0.6935
466,0.686
467,0.692
468,0.642
469,0.639
470,0.6725
471,0.6325
472,0.639
473,0.6425
474,0.595
475,0.6695
476,0.669
477,0.602
478,0.6275
479,0.6585
480,0.6135
481,0.634
482,0.6305
483,0.5705
484,0.538
485,0.514
486,0.516
487,0.512
488,0.538
489,0.5
490,0.5
491,0.5
492,0.5
493,0.5
494,0.5
495,0.5
496,0.5
497,0.5
498,0.5
499,0.5
