num_removed,accuracy
0,0.955
1,0.953
2,0.9525
3,0.953
4,0.953
5,0.953
6,0.9535
7,0.953
8,0.9505
9,0.9505
10,0.9505
11,0.9505
12,0.951
13,0.9525
14,0.9525
15,0.95
16,0.95
17,0.9525
18,0.9495
19,0.9495
20,0.9495
21,0.949
22,0.947
23,0.9465
24,0.946
25,0.944
26,0.943
27,0.942
28,0.943
29,0.9425
30,0.9425
31,0.9415
32,0.943
33,0.9425
34,0.944
35,0.944
36,0.944
37,0.944
38,0.944
39,0.9435
40,0.9435
41,0.944
42,0.944
43,0.945
44,0.945
45,0.943
46,0.943
47,0.944
48,0.9455
49,0.9455
50,0.9435
51,0.9445
52,0.9445
53,0.9435
54,0.942
55,0.944
56,0.9425
57,0.9445
58,0.944
59,0.9455
60,0.9445
61,0.945
62,0.945
63,0.9445
64,0.9445
65,0.9425
66,0.9445
67,0.9455
68,0.9455
69,0.9465
70,0.947
71,0.9455
72,0.9455
73,0.94
74,0.942
75,0.9415
76,0.9415
77,0.9415
78,0.9415
79,0.9405
80,0.939
81,0.94
82,0.9405
83,0.94
84,0.9435
85,0.9435
86,0.9435
87,0.939
88,0.939
89,0.94
90,0.94
91,0.9425
92,0.945
93,0.942
94,0.9435
95,0.9435
96,0.9435
97,0.9435
98,0.943
99,0.9405
100,0.9405
101,0.9375
102,0.9405
103,0.939
104,0.941
105,0.941
106,0.94
107,0.9375
108,0.9425
109,0.944
110,0.944
111,0.941
112,0.941
113,0.937
114,0.9435
115,0.9435
116,0.945
117,0.9435
118,0.9445
119,0.947
120,0.947
121,0.9435
122,0.9435
123,0.938
124,0.9425
125,0.9425
126,0.9425
127,0.943
128,0.9415
129,0.9405
130,0.9405
131,0.941
132,0.94
133,0.94
134,0.941
135,0.941
136,0.9385
137,0.939
138,0.939
139,0.9405
140,0.9395
141,0.939
142,0.939
143,0.9365
144,0.939
145,0.939
146,0.9395
147,0.94
148,0.939
149,0.9365
150,0.9365
151,0.938
152,0.9395
153,0.938
154,0.9375
155,0.9395
156,0.941
157,0.941
158,0.9395
159,0.9395
160,0.9415
161,0.9365
162,0.9355
163,0.9355
164,0.938
165,0.94
166,0.938
167,0.9385
168,0.9345
169,0.935
170,0.9355
171,0.9355
172,0.935
173,0.932
174,0.935
175,0.934
176,0.934
177,0.934
178,0.9355
179,0.935
180,0.935
181,0.935
182,0.936
183,0.936
184,0.936
185,0.936
186,0.935
187,0.9325
188,0.9325
189,0.931
190,0.931
191,0.931
192,0.9335
193,0.9315
194,0.93
195,0.9325
196,0.9325
197,0.9325
198,0.9325
199,0.932
200,0.9325
201,0.932
202,0.933
203,0.933
204,0.9325
205,0.9325
206,0.9325
207,0.9355
208,0.9365
209,0.9355
210,0.9355
211,0.934
212,0.934
213,0.937
214,0.9295
215,0.9325
216,0.9325
217,0.9345
218,0.93
219,0.931
220,0.93
221,0.9305
222,0.93
223,0.928
224,0.928
225,0.93
226,0.928
227,0.9325
228,0.9315
229,0.9275
230,0.931
231,0.929
232,0.9285
233,0.931
