num_removed,accuracy
0,0.955
1,0.9525
2,0.954
3,0.954
4,0.9545
5,0.9545
6,0.954
7,0.9535
8,0.9535
9,0.9545
10,0.952
11,0.9545
12,0.9545
13,0.9545
14,0.952
15,0.9545
16,0.955
17,0.9555
18,0.9555
19,0.9535
20,0.9525
21,0.953
22,0.952
23,0.953
24,0.9525
25,0.9525
26,0.9525
27,0.954
28,0.954
29,0.953
30,0.954
31,0.954
32,0.954
33,0.954
34,0.954
35,0.9535
36,0.9535
37,0.9545
38,0.955
39,0.955
40,0.953
41,0.953
42,0.9535
43,0.954
44,0.9545
45,0.9555
46,0.9545
47,0.9545
48,0.9545
49,0.953
50,0.954
51,0.9525
52,0.952
53,0.9535
54,0.9525
55,0.954
56,0.9555
57,0.9545
58,0.952
59,0.9535
60,0.954
61,0.9525
62,0.9535
63,0.9535
64,0.9535
65,0.953
66,0.955
67,0.9535
68,0.9525
69,0.955
70,0.954
71,0.953
72,0.953
73,0.951
74,0.951
75,0.9515
76,0.9515
77,0.9515
78,0.952
79,0.952
80,0.952
81,0.952
82,0.952
83,0.9515
84,0.9495
85,0.95
86,0.951
87,0.952
88,0.95
89,0.95
90,0.95
91,0.95
92,0.95
93,0.951
94,0.951
95,0.95
96,0.9525
97,0.9525
98,0.9525
99,0.951
100,0.9485
101,0.9495
102,0.9505
103,0.9505
104,0.9505
105,0.9485
106,0.9485
107,0.949
108,0.949
109,0.9515
110,0.9515
111,0.9515
112,0.9515
113,0.951
114,0.95
115,0.9515
116,0.9505
117,0.951
118,0.9505
119,0.95
120,0.9485
121,0.95
122,0.95
123,0.9485
124,0.9515
125,0.9515
126,0.9515
127,0.9525
128,0.9515
129,0.9505
130,0.9495
131,0.951
132,0.951
133,0.951
134,0.951
135,0.9515
136,0.9505
137,0.951
138,0.9505
139,0.951
140,0.9525
141,0.953
142,0.951
143,0.9515
144,0.952
145,0.9505
146,0.9515
147,0.952
148,0.951
149,0.9515
150,0.9515
151,0.952
152,0.952
153,0.952
154,0.9525
155,0.9515
156,0.9535
157,0.953
158,0.952
159,0.953
160,0.952
161,0.952
162,0.952
163,0.952
164,0.9515
165,0.9515
166,0.9515
167,0.9515
168,0.953
169,0.953
170,0.9525
171,0.9545
172,0.955
173,0.956
174,0.9525
175,0.9535
176,0.9555
177,0.9535
178,0.9545
179,0.9575
180,0.9535
181,0.9535
182,0.9535
183,0.953
184,0.9555
185,0.9555
186,0.953
187,0.9545
188,0.952
189,0.954
190,0.9515
191,0.9525
192,0.9525
193,0.9525
194,0.9515
195,0.9515
196,0.9505
197,0.9505
198,0.9515
199,0.951
200,0.9505
201,0.951
202,0.9505
203,0.953
204,0.952
205,0.949
206,0.949
207,0.952
208,0.9515
209,0.9525
210,0.9505
211,0.9505
212,0.9535
213,0.9515
214,0.952
215,0.952
216,0.951
217,0.9525
218,0.952
219,0.952
220,0.9545
221,0.9515
222,0.9525
223,0.953
224,0.953
225,0.953
226,0.953
227,0.952
228,0.955
229,0.953
230,0.9525
231,0.9535
232,0.954
233,0.954
234,0.954
235,0.9535
236,0.951
237,0.954
238,0.9525
239,0.9545
240,0.953
241,0.953
242,0.9565
243,0.9545
244,0.956
245,0.9555
246,0.955
247,0.9495
248,0.951
249,0.952
250,0.9535
251,0.9515
252,0.9525
253,0.9525
254,0.9545
255,0.9535
256,0.9535
257,0.9535
258,0.9545
259,0.9545
260,0.9545
261,0.954
262,0.956
263,0.9555
264,0.9545
265,0.9555
266,0.955
267,0.9545
268,0.9555
269,0.956
270,0.956
271,0.9565
272,0.956
273,0.956
274,0.9545
275,0.956
276,0.9535
277,0.955
278,0.9555
279,0.955
280,0.956
281,0.954
282,0.953
283,0.9555
284,0.954
285,0.954
286,0.955
287,0.955
288,0.953
289,0.953
290,0.953
291,0.9535
292,0.954
293,0.953
294,0.9535
295,0.954
296,0.954
297,0.9515
298,0.952
299,0.954
300,0.9525
301,0.9535
302,0.954
303,0.953
304,0.952
305,0.9525
306,0.951
