num_removed,accuracy
0,0.955
1,0.9535
2,0.952
3,0.953
4,0.9535
5,0.9535
6,0.9535
7,0.953
8,0.953
9,0.953
10,0.9535
11,0.9525
12,0.9525
13,0.9515
14,0.9525
15,0.9525
16,0.952
17,0.9525
18,0.952
19,0.9525
20,0.95
21,0.95
22,0.9515
23,0.954
24,0.9525
25,0.9515
26,0.9525
27,0.9525
28,0.9525
29,0.954
30,0.9515
31,0.95
32,0.95
33,0.95
34,0.9485
35,0.9485
36,0.95
37,0.9515
38,0.951
39,0.951
40,0.9505
41,0.9505
42,0.95
43,0.948
44,0.949
45,0.951
46,0.951
47,0.948
48,0.9495
49,0.9475
50,0.9425
51,0.9455
52,0.944
53,0.9425
54,0.9445
55,0.945
56,0.945
57,0.9505
58,0.949
59,0.943
60,0.944
61,0.9475
62,0.947
63,0.947
64,0.947
65,0.947
66,0.947
67,0.9455
68,0.9475
69,0.945
70,0.9435
71,0.9435
72,0.948
73,0.943
74,0.943
75,0.943
76,0.943
77,0.943
78,0.943
79,0.943
80,0.943
81,0.9415
82,0.9425
83,0.9365
84,0.9375
85,0.9365
86,0.939
87,0.936
88,0.936
89,0.9365
90,0.937
91,0.935
92,0.9365
93,0.9365
94,0.939
95,0.94
96,0.939
97,0.9395
98,0.94
99,0.931
100,0.931
101,0.9335
102,0.94
103,0.9365
104,0.939
105,0.9385
106,0.939
107,0.9365
108,0.9365
109,0.9365
110,0.936
111,0.9375
112,0.936
113,0.936
114,0.941
115,0.936
116,0.9385
117,0.939
118,0.939
119,0.934
120,0.9325
121,0.9355
122,0.9375
123,0.9285
124,0.9295
125,0.929
126,0.9275
127,0.9275
128,0.9275
129,0.9285
130,0.9285
131,0.93
132,0.9295
133,0.9295
134,0.931
135,0.9305
136,0.932
137,0.9405
138,0.9405
139,0.9405
140,0.9405
141,0.9315
142,0.931
143,0.9305
144,0.9315
145,0.9335
146,0.931
147,0.931
148,0.9325
149,0.9325
150,0.9315
151,0.931
152,0.9285
153,0.9285
154,0.927
155,0.9295
156,0.929
157,0.929
158,0.929
159,0.931
160,0.9295
161,0.9255
162,0.927
163,0.927
164,0.926
165,0.9255
166,0.9255
167,0.9255
168,0.9245
169,0.926
170,0.925
171,0.925
172,0.925
173,0.925
174,0.9255
175,0.9255
176,0.9255
177,0.9255
178,0.927
179,0.9245
180,0.9295
181,0.9305
182,0.9295
183,0.9275
184,0.924
185,0.924
186,0.924
187,0.924
188,0.926
189,0.925
190,0.925
191,0.923
192,0.923
193,0.924
194,0.9195
195,0.9215
196,0.9205
197,0.922
198,0.9215
199,0.92
200,0.92
201,0.92
202,0.92
203,0.92
204,0.922
205,0.922
206,0.922
207,0.922
208,0.922
209,0.922
210,0.922
211,0.92
212,0.9225
213,0.9225
214,0.9225
215,0.9225
216,0.922
217,0.9205
218,0.922
219,0.922
220,0.9275
221,0.9275
222,0.9235
223,0.926
224,0.926
225,0.9275
226,0.9275
227,0.9275
228,0.9295
229,0.9295
230,0.928
231,0.9285
232,0.9285
233,0.9285
234,0.9285
235,0.9285
236,0.9295
237,0.928
238,0.928
239,0.9285
240,0.929
241,0.9285
242,0.9285
243,0.928
244,0.929
245,0.9285
246,0.9285
247,0.9285
248,0.9285
249,0.9285
250,0.9285
251,0.928
252,0.929
253,0.929
254,0.929
255,0.929
256,0.9275
257,0.9295
258,0.929
259,0.9295
260,0.9285
261,0.9295
262,0.9295
263,0.9295
264,0.929
265,0.9275
266,0.9275
267,0.9275
268,0.9275
269,0.9275
270,0.9275
271,0.928
272,0.9275
273,0.928
274,0.928
275,0.9285
276,0.9285
277,0.9285
278,0.9285
279,0.9285
280,0.929
281,0.9285
282,0.929
283,0.928
284,0.9285
285,0.9285
286,0.9285
287,0.928
288,0.9285
289,0.9285
290,0.9285
291,0.928
292,0.928
293,0.928
294,0.928
295,0.928
296,0.9285
297,0.9285
298,0.928
299,0.9285
300,0.9285
301,0.9285
302,0.928
303,0.928
304,0.928
305,0.928
306,0.928
307,0.928
308,0.928
309,0.9285
310,0.929
311,0.929
312,0.929
313,0.929
314,0.9285
315,0.9285
316,0.9285
317,0.9285
318,0.929
319,0.929
320,0.9285
321,0.9285
322,0.9285
323,0.9285
324,0.9285
325,0.929
326,0.929
327,0.929
328,0.9295
329,0.9285
330,0.9295
331,0.9295
332,0.9295
333,0.929
334,0.9295
335,0.9295
336,0.9295
337,0.9295
338,0.9295
339,0.9295
340,0.9295
341,0.9295
342,0.9295
343,0.928
344,0.928
345,0.928
346,0.9285
347,0.9285
348,0.9265
349,0.9215
350,0.9215
351,0.9215
352,0.923
353,0.9215
354,0.9215
355,0.8675
356,0.8675
357,0.886
358,0.8865
359,0.8865
360,0.8865
361,0.9045
362,0.904
363,0.8825
364,0.883
365,0.883
366,0.883
367,0.883
368,0.8835
369,0.909
370,0.9075
371,0.908
372,0.908
373,0.908
374,0.908
375,0.908
376,0.911
377,0.912
378,0.912
379,0.9115
380,0.9115
381,0.9225
382,0.922
383,0.923
384,0.9225
385,0.924
386,0.924
387,0.9235
388,0.9235
389,0.923
390,0.923
391,0.923
392,0.9235
393,0.923
394,0.9225
395,0.9225
396,0.923
397,0.923
398,0.923
399,0.923
400,0.922
401,0.8605
402,0.8605
403,0.8605
404,0.8605
405,0.8605
406,0.8605
407,0.8605
408,0.8605
409,0.8605
410,0.8605
411,0.8605
412,0.856
413,0.856
414,0.856
415,0.856
416,0.856
417,0.856
418,0.856
419,0.856
420,0.856
421,0.856
422,0.856
423,0.856
424,0.856
425,0.924
426,0.924
427,0.924
428,0.924
429,0.924
430,0.924
431,0.924
432,0.924
433,0.924
434,0.924
435,0.924
436,0.927
437,0.9275
438,0.927
439,0.9275
440,0.928
441,0.928
442,0.928
443,0.929
444,0.929
445,0.929
446,0.9285
447,0.9285
448,0.9285
449,0.929
450,0.928
451,0.927
452,0.9265
453,0.9255
454,0.9255
455,0.9245
456,0.9245
457,0.924
458,0.928
459,0.921
460,0.921
461,0.918
462,0.9195
463,0.919
464,0.921
465,0.9175
466,0.915
467,0.868
468,0.885
469,0.8845
470,0.8655
471,0.729
472,0.729
473,0.7405
474,0.76
475,0.768
476,0.809
477,0.78
478,0.7785
479,0.796
480,0.782
481,0.767
482,0.5545
483,0.5545
484,0.55
485,0.5545
486,0.585
487,0.4865
488,0.482
489,0.481
490,0.481
491,0.481
492,0.481
493,0.481
494,0.481
495,0.481
496,0.481
497,0.481
498,0.519
499,0.481
